"assembly","mouse","baseMean","fold_change","significance","mean_d0_abundance","mean_d5_abundance","type","colonization"
"AZC3J_13","AZC3J",714.267237591693,0.277659847462663,"significantly decreased",0.000980396227161832,0.000353251422561662,"native","unstable"
"AZC3J_18","AZC3J",4279.97220482902,0.125980118592576,"significantly decreased",0.00641205228138948,0.00107694639697026,"native","unstable"
"AZC3J_21","AZC3J",1150.94469075531,5.36182259819891,"significantly increased",0.000309882185991722,0.00226214748426228,"foreign","non-colonized"
"AZC3J_28","AZC3J",623.755258960472,0.036349195687467,"significantly decreased",0.00105288900974086,0.0000503268575326333,"native","unstable"
"AZC3J_3","AZC3J",844.70699149598,1.38650854401784,"no significant difference",0.000676311704948892,0.00115251897897575,"native","stable"
"AZC3J_32","AZC3J",1698.62853313471,2.91136531024176,"significantly increased",0.000739548877943014,0.00281333201601119,"foreign","non-colonized"
"AZC3J_34","AZC3J",4840.08757983039,1.85147287488699,"no significant difference",0.00301121567545606,0.00694346331510305,"native","stable"
"AZC3J_43","AZC3J",240.380625289441,0.979634123258063,"no significant difference",0.000214565409878927,0.000275419745185873,"foreign","non-colonized"
"AZC3J_46","AZC3J",971.467438132184,0.653377427449019,"no significant difference",0.000997748540996035,0.000924041070963044,"native","stable"
"AZC3J_51","AZC3J",2.35984523166923,0.938575781934964,"no significant difference",0.000000999170885855393,0.00000124286717571132,"native","stable"
"AZC3J_55","AZC3J",1213.55322934375,0.114917270751534,"significantly decreased",0.00186906101823412,0.00028263875773017,"native","unstable"
"AZC3J_58","AZC3J",629.412978121268,0.923687235938323,"no significant difference",0.00061777955981238,0.000657797109356609,"foreign","non-colonized"
"AZC3J_64","AZC3J",982.212924557113,0.190456887368818,"significantly decreased",0.00138141782564733,0.000356593067847952,"native","unstable"
"AZC3J_73","AZC3J",1941.30805730705,1.19241832100216,"no significant difference",0.00144021555295591,0.00221786809436467,"native","stable"
"AZC3J_74","AZC3J",5635.2011717862,1.9768637889275,"no significant difference",0.00318628732528157,0.0082894613305802,"native","stable"
"AZC3J_76","AZC3J",5192.703688293,0.0781734933198955,"significantly decreased",0.00831043937167042,0.000839496187859062,"native","unstable"
"AZC3J_79","AZC3J",857.049603563818,0.298348490645041,"no significant difference",0.00103086402794776,0.00046218542612338,"native","stable"
"AZC3J_80","AZC3J",3445.72947850218,0.145170290539307,"no significant difference",0.00581728692782175,0.00111745215992737,"native","stable"
"AZC3J_81","AZC3J",1007.02138285914,1.28419699906485,"no significant difference",0.000777920568733675,0.00134362535878082,"native","stable"
"AZC3J_87","AZC3J",10485.5471152424,0.225164671543271,"significantly decreased",0.0138826840635295,0.00448187120730537,"native","unstable"
"AZC3J_88","AZC3J",1335.03733661853,2.08449161140897,"no significant difference",0.000725056441411469,0.00200181950343534,"foreign","non-colonized"
"AZC3J_90","AZC3J",160.381644565389,0.475963173316394,"significantly decreased",0.000189302366013089,0.0001206627592937,"foreign","non-colonized"
"AZC3J_91","AZC3J",1157.33153757211,0.840358772340763,"no significant difference",0.00113498562805381,0.00124458132216548,"native","stable"
"AZC3J_99","AZC3J",1023.74706784936,0.282589511231838,"significantly decreased",0.00138071398427829,0.000533656673456911,"native","unstable"
"AZC5T_104","AZC5T",909.276614028792,1.03627940988406,"no significant difference",0.000800798366483671,0.00107158595235943,"native","stable"
"AZC5T_106","AZC5T",1219.22560934387,17.6477775333023,"significantly increased",0.000109099797005985,0.00257098886992119,"foreign","non-colonized"
"AZC5T_107","AZC5T",6231.57222829313,0.176673851284115,"significantly decreased",0.00914301238478103,0.00211248058545206,"native","unstable"
"AZC5T_108","AZC5T",59.5541421138899,0.954956836995396,"no significant difference",0.000049827151827972,0.0000615018422227301,"foreign","non-colonized"
"AZC5T_109","AZC5T",6079.76243842464,5.89746453353546,"significantly increased",0.00151496756565608,0.0118586354380968,"native","stable"
"AZC5T_119","AZC5T",888.884273591401,1.37876766588002,"no significant difference",0.000716411133669914,0.0012143779415786,"native","stable"
"AZC5T_120","AZC5T",661.909853603074,0.0106642068406827,"significantly decreased",0.00113426440217776,0.000014587992980431,"native","unstable"
"AZC5T_122","AZC5T",1025.79466047605,0.315215290169919,"significantly decreased",0.00134283907822721,0.000554429347831776,"native","unstable"
"AZC5T_14","AZC5T",2316.28776000732,0.562278925265538,"no significant difference",0.00271279264858961,0.0017476564787401,"native","stable"
"AZC5T_19","AZC5T",4491.16469334664,0.200895015248442,"significantly decreased",0.00631150416371597,0.00170588643707,"native","unstable"
"AZC5T_21","AZC5T",1032.41412419443,6.20135951691153,"significantly increased",0.000242102079703381,0.0020595452692646,"foreign","non-colonized"
"AZC5T_22","AZC5T",619.434135132649,0.0355330656630871,"significantly decreased",0.00104503346214788,0.0000483690403033538,"native","unstable"
"AZC5T_26","AZC5T",883.812835694416,0.630257199400927,"no significant difference",0.000920006070490513,0.000820603807068912,"native","stable"
"AZC5T_30","AZC5T",1112.5720953837,0.941465294553425,"no significant difference",0.000899009924966353,0.00114509198417473,"native","stable"
"AZC5T_32","AZC5T",9.58305871825234,0.25991333021983,"significantly decreased",0.0000122187695921008,0.0000035392405030994,"foreign","non-colonized"
"AZC5T_34","AZC5T",560.21987045426,7.71427875211888,"significantly increased",0.000107180851545994,0.00110232664524196,"foreign","non-colonized"
"AZC5T_37","AZC5T",988.195418268245,0.192074647340526,"significantly decreased",0.0014481014414745,0.000364438562926649,"native","unstable"
"AZC5T_38","AZC5T",2017.32352957894,0.245264856199826,"significantly decreased",0.00268125372058605,0.000892733500677558,"native","unstable"
"AZC5T_39","AZC5T",186.950098916681,0.356416249160538,"no significant difference",0.000227616841182169,0.000122516388026253,"foreign","non-colonized"
"AZC5T_41","AZC5T",203.730313328538,0.058911571305446,"significantly decreased",0.000307902668145904,0.0000235801306200789,"foreign","non-colonized"
"AZC5T_44","AZC5T",1675.20268984563,0.202736699380839,"no significant difference",0.00235324466841114,0.000590814957737176,"native","stable"
"AZC5T_51","AZC5T",84.8330123902689,0.21402924559329,"no significant difference",0.0001081212444489,0.0000307213969629855,"foreign","non-colonized"
"AZC5T_52","AZC5T",625.779181742296,0.443749639594267,"no significant difference",0.000673234502375258,0.000387985998611099,"foreign","non-colonized"
"AZC5T_57","AZC5T",6342.18342220067,20.0579854887568,"no significant difference",0.000552052390892076,0.0157952675661797,"native","stable"
"AZC5T_64","AZC5T",2383.9083795133,0.648606994418684,"no significant difference",0.00268923545538515,0.00240754641759903,"native","stable"
"AZC5T_66","AZC5T",4295.91971803535,0.222562986628414,"significantly decreased",0.00608592681936777,0.00175865724420482,"native","unstable"
"AZC5T_68","AZC5T",5869.54993025547,0.818956085250507,"no significant difference",0.00623627016628254,0.00690018636574555,"native","stable"
"AZC5T_69","AZC5T",3882.44181761413,0.0880486694071102,"significantly decreased",0.00673731180857785,0.000725428547339355,"native","unstable"
"AZC5T_78","AZC5T",1323.92178825267,0.754254465377125,"no significant difference",0.00137186503112944,0.0013254461821961,"native","stable"
"AZC5T_8","AZC5T",611.545541270734,0.900681402316454,"no significant difference",0.000587364973217739,0.000693863089756491,"native","stable"
"AZC5T_80","AZC5T",1893.02390157277,0.266998723650203,"no significant difference",0.00254246190702479,0.000817087593394178,"native","stable"
"AZC5T_84","AZC5T",2.86533135713005,0.901032775734295,"no significant difference",0.00000110418661361581,0.00000183481954950765,"foreign","non-colonized"
"AZC5T_85","AZC5T",2144.91921831009,1.29952199723214,"no significant difference",0.00164852010982902,0.00282780475219436,"native","stable"
"AZC5T_87","AZC5T",1004.76780990156,0.337244271054381,"no significant difference",0.00118956108431842,0.000580881691946938,"native","stable"
"AZC5T_9","AZC5T",842.795563965937,5.02987304479468,"significantly increased",0.000252111063786736,0.00157068861714053,"foreign","non-colonized"
"AZC5T_93","AZC5T",5650.67842941614,0.442494031278516,"no significant difference",0.0066175340013874,0.0036809258829702,"native","stable"
"AZC5T_94","AZC5T",4500.45158074241,0.156843472348514,"significantly decreased",0.00668810497314577,0.00138702048794474,"native","unstable"
"AZC5T_97","AZC5T",16545.7544242995,0.153908824077795,"significantly decreased",0.0247840937881642,0.00494868137274221,"native","unstable"
"AZC5T_98","AZC5T",1095.41037107483,0.118352449485898,"significantly decreased",0.00168144786895785,0.000260865999350351,"native","unstable"
"AZC7E_101","AZC7E",3306.15126574008,160.079421294133,"significantly increased",0.0000334991574740967,0.00742509238314663,"foreign","colonized"
"AZC7E_104","AZC7E",1684.50146895006,67.863093726985,"significantly increased",0.0000400646668119186,0.00390510106884122,"foreign","non-colonized"
"AZC7E_105","AZC7E",164.888992301592,0.623241588668791,"no significant difference",0.000191545767250035,0.000153577174363977,"foreign","non-colonized"
"AZC7E_106","AZC7E",99.5440109379417,1.48008704947982,"no significant difference",0.000067174949056749,0.000145955226995357,"foreign","non-colonized"
"AZC7E_109","AZC7E",3951.906883258,1.38931959265018,"no significant difference",0.00280558453026436,0.00523171729895028,"native","stable"
"AZC7E_111","AZC7E",2254.40780643731,11.5231628586317,"significantly increased",0.000306691043761684,0.00458553279874372,"foreign","non-colonized"
"AZC7E_113","AZC7E",37651.3244902066,110.705731449299,"significantly increased",0.000572697212498673,0.0850936819392945,"foreign","colonized"
"AZC7E_114","AZC7E",1892.10906383543,0.207608558014438,"significantly decreased",0.00258816424398686,0.000726377470700198,"native","unstable"
"AZC7E_115","AZC7E",3.96087266241046,0.500573895603863,"no significant difference",0.00000356605219752447,0.00000202068843462767,"foreign","non-colonized"
"AZC7E_116","AZC7E",393.335477559671,338.429509549575,"significantly increased",0.000000861010251461953,0.00100814610053062,"foreign","non-colonized"
"AZC7E_12","AZC7E",1654.72498253462,0.506855079871979,"no significant difference",0.00188606645682118,0.00122571569253876,"native","stable"
"AZC7E_13","AZC7E",111.780205591524,1.57315533707954,"no significant difference",0.0000753015780511943,0.000161957313236725,"foreign","non-colonized"
"AZC7E_15","AZC7E",24608.8711018176,0.841717334112462,"no significant difference",0.0241282741999187,0.0226442781119651,"native","stable"
"AZC7E_16","AZC7E",1228.25041148522,0.125977110023063,"significantly decreased",0.00186958347010912,0.000308663623475081,"native","unstable"
"AZC7E_17","AZC7E",1547.9125361363,3.8738213342695,"significantly increased",0.000553913970650632,0.00273550856012329,"foreign","non-colonized"
"AZC7E_2","AZC7E",2289.47485054604,19.008001403201,"significantly increased",0.000191214959483946,0.00462821480694791,"foreign","non-colonized"
"AZC7E_23","AZC7E",820.305142104402,7.08428847749665,"significantly increased",0.000173912745039462,0.00153672581343052,"foreign","non-colonized"
"AZC7E_24","AZC7E",219.002649796821,1.69650809652707,"significantly increased",0.000137974209753032,0.000314194953762142,"foreign","non-colonized"
"AZC7E_25","AZC7E",5908.17045910779,3.08694439952775,"no significant difference",0.0024324486327927,0.00978274690356478,"native","stable"
"AZC7E_26","AZC7E",2628.90790929297,36.7529914212775,"significantly increased",0.000115726861170411,0.0059146133196834,"foreign","colonized"
"AZC7E_29","AZC7E",1583.71597443492,0.318161202475566,"no significant difference",0.00194647719065725,0.00087275317908309,"native","stable"
"AZC7E_3","AZC7E",9767.33832185157,292.716381468112,"significantly increased",0.0000542082153122038,0.0228150609582367,"foreign","colonized"
"AZC7E_32","AZC7E",1170.13705252833,42.8772753836589,"significantly increased",0.0000439939620805424,0.00251557854727384,"foreign","non-colonized"
"AZC7E_34","AZC7E",812.538992983735,5.60834115303794,"significantly increased",0.000208143880963416,0.00159826192469974,"foreign","non-colonized"
"AZC7E_36","AZC7E",2072.61991390248,18.6832430259416,"significantly increased",0.000177960326274429,0.00436441381138871,"foreign","non-colonized"
"AZC7E_37","AZC7E",2238.34332910904,24.6671270373998,"significantly increased",0.000148707203294637,0.00476941597421156,"foreign","non-colonized"
"AZC7E_38","AZC7E",10431.2634579339,92.6569359273299,"significantly increased",0.000181955140375047,0.0233617431017306,"foreign","colonized"
"AZC7E_39","AZC7E",31130.3220734594,0.147789899681977,"significantly decreased",0.0469774000200497,0.00892781277790683,"native","unstable"
"AZC7E_4","AZC7E",1179.76194901536,91.6575244986324,"significantly increased",0.0000203104729373112,0.00259163683230904,"foreign","non-colonized"
"AZC7E_42","AZC7E",179.566940104112,0.264920463448004,"significantly decreased",0.000246967817529798,0.0000863952107135395,"foreign","non-colonized"
"AZC7E_45","AZC7E",7588.64321726998,0.00583892568783958,"no significant difference",0.0115875779866721,0.000100803155040375,"native","stable"
"AZC7E_48","AZC7E",472.903154089068,0.562923548744615,"no significant difference",0.000504222489112829,0.000389133992726088,"foreign","non-colonized"
"AZC7E_5","AZC7E",528.544980319598,0.432986964451909,"no significant difference",0.00057028481174279,0.000321018540611107,"foreign","non-colonized"
"AZC7E_51","AZC7E",984.639416658626,0.463294750191857,"no significant difference",0.00124042987893727,0.000651950049144563,"native","stable"
"AZC7E_54","AZC7E",17833.409017704,4.99546726766104,"significantly increased",0.00505990149718251,0.0334458827936,"native","stable"
"AZC7E_55","AZC7E",184.088590849544,0.515461668023465,"significantly decreased",0.000206988203077387,0.000143874227644139,"foreign","non-colonized"
"AZC7E_57","AZC7E",1314.35551274218,0.244321553575589,"no significant difference",0.00203955609937114,0.000637527922901937,"native","stable"
"AZC7E_58","AZC7E",4426.71980696229,103.872791696392,"significantly increased",0.0000697496082993429,0.00905784083296758,"foreign","colonized"
"AZC7E_59","AZC7E",944.736842819601,0.329324477451037,"significantly decreased",0.00117702185719704,0.000527879640465321,"native","unstable"
"AZC7E_60","AZC7E",2610.5489153796,1.77030872118149,"no significant difference",0.00162119254347724,0.00375315873070109,"native","stable"
"AZC7E_61","AZC7E",5178.03554801564,0.135051746475144,"significantly decreased",0.00788282852361184,0.00134591685993992,"native","unstable"
"AZC7E_62","AZC7E",247.22899512056,1.03326573103736,"no significant difference",0.000217299202885495,0.000297180373300575,"foreign","non-colonized"
"AZC7E_64","AZC7E",2516.31115866182,0.129505018786256,"significantly decreased",0.00376546736908203,0.00063278775287363,"native","unstable"
"AZC7E_68","AZC7E",4516.93815083601,16.3568471209814,"significantly increased",0.000449473830360655,0.00926517252426586,"foreign","colonized"
"AZC7E_69","AZC7E",392.404337148411,445.508778058085,"significantly increased",0.000000522288134871405,0.000888934811471099,"native","stable"
"AZC7E_70","AZC7E",11953.9535649002,15.7964213238193,"significantly increased",0.00121475120680416,0.0252138729314447,"native","stable"
"AZC7E_71","AZC7E",858.122638472609,8.60936746900363,"significantly increased",0.000152856252432438,0.00175515523083927,"foreign","non-colonized"
"AZC7E_72","AZC7E",2.95286577243258,3.75429563747061,"no significant difference",0.000000343457103252409,0.00000402066893680253,"foreign","non-colonized"
"AZC7E_73","AZC7E",29396.6636009048,0.338668201240912,"no significant difference",0.0369199197165981,0.0164469017422029,"native","stable"
"AZC7E_76","AZC7E",735.280037690644,1.34112798568073,"no significant difference",0.0006049569225109,0.00099744947534738,"foreign","non-colonized"
"AZC7E_77","AZC7E",3436.65526198307,1.39751927814765,"no significant difference",0.00259934361616326,0.00491071565211712,"native","stable"
"AZC7E_78","AZC7E",881.607934989426,0.668035272505037,"no significant difference",0.000895676842418668,0.000850656338733344,"native","stable"
"AZC7E_79","AZC7E",2715.93490861831,71.3215194459523,"significantly increased",0.0000637153521890517,0.00606073510738206,"foreign","colonized"
"AZC7E_80","AZC7E",35.2731257718624,0.951001276691421,"no significant difference",0.0000318064816125463,0.0000401335993518545,"foreign","non-colonized"
"AZC7E_81","AZC7E",1551.45947876774,11.1770146028879,"significantly increased",0.000208698543023648,0.00315887637913579,"foreign","non-colonized"
"AZC7E_82","AZC7E",723.030661779827,0.00723140182647266,"significantly decreased",0.00124524933111631,0.0000109839698176888,"native","unstable"
"AZC7E_84","AZC7E",928.575789418353,24.7115105158729,"significantly increased",0.0000584244002844699,0.00195145043181027,"foreign","non-colonized"
"AZC7E_87","AZC7E",2893.34546580447,271.799758098895,"significantly increased",0.0000171502786908429,0.00651620800508706,"foreign","colonized"
"AZC7E_88","AZC7E",1019.70083686906,7.79973906154708,"significantly increased",0.00019327291159953,0.0020534838751394,"foreign","non-colonized"
"AZC7E_89","AZC7E",19190.5841262707,0.59000147023586,"no significant difference",0.0200064615750753,0.0159946230401156,"native","stable"
"AZC7E_90","AZC7E",996.285595671544,4.41525272706873,"significantly increased",0.000315289226939584,0.00182232106651316,"foreign","non-colonized"
"AZC7E_91","AZC7E",260.614510685177,0.209807621649231,"significantly decreased",0.00038294319429073,0.00010928418741799,"foreign","non-colonized"
"AZC7E_93","AZC7E",1336.95407160359,5.85628743815878,"no significant difference",0.000319825003021112,0.00240155629536333,"foreign","non-colonized"
"AZC7E_94","AZC7E",762.161766312358,8.60081911990408,"significantly increased",0.00013506750786324,0.00152174009820306,"foreign","non-colonized"
"AZC7E_95","AZC7E",861.563601187014,47.6613781805381,"significantly increased",0.0000287428428818434,0.00189982585366365,"foreign","non-colonized"
"AZC7E_96","AZC7E",5307.38783777701,0.301781344664672,"significantly decreased",0.00706400541380833,0.00276496910436482,"native","unstable"
"AZC7E_97","AZC7E",620.407083189523,0.861093045888181,"no significant difference",0.000596081681142038,0.000593422843786853,"foreign","non-colonized"
"AZC9C_102","AZC9C",190.239029579766,1.83519890885873,"significantly increased",0.000113118804580852,0.000282083406003666,"foreign","non-colonized"
"AZC9C_103","AZC9C",1080.87425482651,1.26857578926813,"no significant difference",0.000766133167226463,0.00136233102470433,"native","stable"
"AZC9C_106","AZC9C",35.0488826116118,0.525250297188214,"no significant difference",0.000034307148150876,0.000023454302340742,"native","stable"
"AZC9C_112","AZC9C",1588.18470338519,0.36373822808455,"no significant difference",0.00190589872324301,0.000941655466041278,"native","stable"
"AZC9C_113","AZC9C",2063.13675919748,0.617470618562798,"significantly decreased",0.00226395410456029,0.00183988667941681,"native","unstable"
"AZC9C_116","AZC9C",2276.31870311176,0.939692773172137,"no significant difference",0.00211126014485684,0.00258486208107715,"native","stable"
"AZC9C_14","AZC9C",155.965939597096,0.908581679548058,"no significant difference",0.000125765060214108,0.000149775333427599,"foreign","non-colonized"
"AZC9C_18","AZC9C",2589.56441517392,0.248244251460262,"no significant difference",0.00354871784775151,0.00106529444945838,"native","stable"
"AZC9C_25","AZC9C",1144.42116471193,3.92785304272624,"significantly increased",0.000396913301706576,0.00206578646101124,"foreign","non-colonized"
"AZC9C_27","AZC9C",838.996176949574,4.87092695405433,"significantly increased",0.000259934060053955,0.00155932227410346,"foreign","non-colonized"
"AZC9C_29","AZC9C",395.8584992879,0.553457208231451,"no significant difference",0.000402624009440763,0.000324439945192176,"native","stable"
"AZC9C_32","AZC9C",2116.57542442928,0.145299589868984,"significantly decreased",0.00316544297927466,0.000609364672996744,"native","unstable"
"AZC9C_34","AZC9C",204.40424056813,0.00318612418415829,"significantly decreased",0.000352166817887333,0.000000440845845427604,"foreign","non-colonized"
"AZC9C_40","AZC9C",1456.765289301,1.32159024336036,"no significant difference",0.00107737217942873,0.00189188202843442,"native","stable"
"AZC9C_53","AZC9C",2153.9024825479,0.273426592093017,"significantly decreased",0.00292209562539977,0.00102618731901351,"native","unstable"
"AZC9C_54","AZC9C",4827.28687136671,0.197735550593598,"significantly decreased",0.00681830844870208,0.00182166639232708,"native","unstable"
"AZC9C_57","AZC9C",194.893583767092,0.360498618709452,"no significant difference",0.000236800218223409,0.000128177859303309,"foreign","non-colonized"
"AZC9C_6","AZC9C",34966.4940951121,0.192660613671305,"significantly decreased",0.0507852733228006,0.0126052355815961,"native","unstable"
"AZC9C_61","AZC9C",755.469790380619,0.00401898334789422,"significantly decreased",0.00130356153132296,0.00000594414044764571,"native","unstable"
"AZC9C_68","AZC9C",4575.40933375253,5.52358834675975,"significantly increased",0.00119630505640996,0.00859089213198769,"native","stable"
"AZC9C_7","AZC9C",7940.0789578865,5.20740407856293,"significantly increased",0.00215125095520088,0.0146526101623515,"native","stable"
"AZC9C_71","AZC9C",7088.43058544064,0.212192491963405,"significantly decreased",0.0101642838894568,0.00279879316094216,"native","unstable"
"AZC9C_75","AZC9C",12968.3367676446,0.0733330943648951,"significantly decreased",0.0203776992346655,0.00199473658880075,"native","unstable"
"AZC9C_86","AZC9C",860.597858039933,0.239895169830583,"significantly decreased",0.00119269555697155,0.000379487693046645,"native","unstable"
"AZC9C_88","AZC9C",3751.67287455775,7.262945422203,"significantly increased",0.000763790576971404,0.00734360124123686,"foreign","colonized"
