"assembly","mouse","baseMean","fold_change","significance","mean_d0_abundance","mean_d5_abundance","type","colonization"
"AZC3J_1","AZC3J",1010.78035508154,1.01587772871699,"no significant difference",0.00100544304347056,0.00105401727056764,"foreign","non-colonized"
"AZC3J_13","AZC3J",1282.84498534795,0.509522795337181,"no significant difference",0.00169425379545655,0.000842156231394634,"native","stable"
"AZC3J_18","AZC3J",6990.61018181065,1.33922919288311,"no significant difference",0.00596584015022336,0.00825088909932405,"native","stable"
"AZC3J_20","AZC3J",146.358533494202,1.29499957294469,"no significant difference",0.000127235911937331,0.000169031063083489,"foreign","non-colonized"
"AZC3J_21","AZC3J",696.674477360155,0.370162462319568,"no significant difference",0.0010055084845349,0.000389454071427626,"foreign","non-colonized"
"AZC3J_25","AZC3J",2.74558194548271,0.813921431426239,"no significant difference",0.00000214736444992342,0.00000133152917920816,"foreign","non-colonized"
"AZC3J_26","AZC3J",208.0098686478,1.34959786477123,"no significant difference",0.000175216324876695,0.000250421321129662,"foreign","non-colonized"
"AZC3J_28","AZC3J",1886.92437067889,0.156939316465284,"no significant difference",0.00330568584600127,0.000504544469066674,"native","stable"
"AZC3J_3","AZC3J",922.511808151845,1.74296651443419,"no significant difference",0.000666819671952411,0.00122470221040605,"native","stable"
"AZC3J_31","AZC3J",284.489709778314,1.1637440575735,"no significant difference",0.000263074953458612,0.000316999141048433,"foreign","non-colonized"
"AZC3J_32","AZC3J",996.02765114668,1.99968675739148,"significantly increased",0.00065942580121141,0.00135654486337723,"foreign","non-colonized"
"AZC3J_34","AZC3J",3187.19289672225,1.2222702719507,"no significant difference",0.00286417734518053,0.00364531931661953,"native","stable"
"AZC3J_45","AZC3J",560.457829212734,0.63443111770793,"no significant difference",0.000681535111498401,0.000427251439718867,"foreign","non-colonized"
"AZC3J_46","AZC3J",1238.12005470626,1.03665135754122,"no significant difference",0.00121009277941574,0.00126444442731765,"native","stable"
"AZC3J_49","AZC3J",710.325697842362,1.4166206030479,"no significant difference",0.000588141053464357,0.000819594296383211,"foreign","non-colonized"
"AZC3J_51","AZC3J",1.24673887282985,0.651137462225793,"no significant difference",0.000000335830814837664,0.000000351178090575269,"native","stable"
"AZC3J_55","AZC3J",942.301639945836,0.200791512473277,"significantly decreased",0.00155546574943513,0.000317108913241629,"native","unstable"
"AZC3J_56","AZC3J",155.544033780992,1.4973003955874,"no significant difference",0.000123893988344971,0.00018640245876378,"foreign","non-colonized"
