"assembly","mouse","baseMean","fold_change","significance","mean_d0_abundance","mean_d5_abundance","type","colonization"
"AZC3J_1","AZC3J",840.299020040503,1.21234842889981,"no significant difference",0.000744990906138737,0.000979954040901987,"foreign","non-colonized"
"AZC3J_10","AZC3J",294.75848703866,1.07149332517267,"no significant difference",0.000256249428455854,0.00034831370180943,"foreign","non-colonized"
"AZC3J_13","AZC3J",823.322675799788,0.437562843889251,"no significant difference",0.00105815756919269,0.000525500412267494,"native","stable"
"AZC3J_18","AZC3J",6432.07849848987,0.905559693350072,"no significant difference",0.00655055453905079,0.0064560357561898,"native","stable"
"AZC3J_2","AZC3J",237.767445895973,0.729005174378861,"no significant difference",0.000273241717401697,0.00021489262368008,"foreign","non-colonized"
"AZC3J_26","AZC3J",229.731161687457,1.26940319903129,"no significant difference",0.000193980263155446,0.000281487036853566,"foreign","non-colonized"
"AZC3J_28","AZC3J",100.332300617074,1.00380760987065,"no significant difference",0.0000967529226762138,0.0000998403200139548,"native","stable"
"AZC3J_3","AZC3J",1202.75412723433,0.720288042485739,"no significant difference",0.00138648734464057,0.00106242177957325,"native","stable"
"AZC3J_34","AZC3J",2705.65286158179,1.31984158295884,"no significant difference",0.00227996851835594,0.00324443115015664,"native","stable"
"AZC3J_45","AZC3J",248.488350243672,0.986902463404405,"no significant difference",0.00024841826807275,0.000265923007028039,"foreign","non-colonized"
"AZC3J_46","AZC3J",1179.9309156696,0.387671712865746,"no significant difference",0.0015493373983758,0.000672017514506951,"native","stable"
"AZC3J_51","AZC3J",1.48788055602272,0.904658010388193,"no significant difference",0.000000518246182083877,0.000000705234438207782,"native","stable"
"AZC3J_55","AZC3J",1649.45090653855,0.533831097301161,"no significant difference",0.00209085975718539,0.00118349532737139,"native","stable"
"AZC3J_6","AZC3J",394.467254850037,0.72228195546162,"no significant difference",0.000412583534123802,0.000377432852652596,"foreign","non-colonized"
"AZC3J_62","AZC3J",122.213627779848,0.81034970884861,"no significant difference",0.000128201426362262,0.000114913679341501,"foreign","non-colonized"
"AZC3J_63","AZC3J",101.161208440583,1.68501404340302,"no significant difference",0.000073739459920101,0.000129026239538868,"foreign","non-colonized"
"AZC3J_64","AZC3J",898.487320732196,0.791205718671275,"no significant difference",0.000933026358179295,0.000856586631378243,"native","stable"
"AZC3J_70","AZC3J",392.824460652676,1.06064902338469,"no significant difference",0.000365264656928617,0.000435697154107419,"foreign","non-colonized"
"AZC3J_71","AZC3J",637.252765700696,0.68662921466201,"no significant difference",0.000721079825340708,0.000543966285625549,"foreign","non-colonized"
"AZC3J_73","AZC3J",1001.76313969285,1.28000724729163,"no significant difference",0.000874743020885676,0.00113140651644258,"native","stable"
"AZC3J_74","AZC3J",3310.15973341946,0.925466575153375,"no significant difference",0.00332089104487332,0.0034024190459956,"native","stable"
"AZC3J_76","AZC3J",8620.31705023931,0.766722163539721,"significantly decreased",0.00938696425535443,0.00800275936528782,"native","unstable"
"AZC3J_79","AZC3J",764.671128836001,0.983355857516782,"no significant difference",0.000737222113609185,0.000811023798953133,"native","stable"
"AZC3J_80","AZC3J",7862.76986315872,0.879049439530354,"no significant difference",0.00858875287976449,0.00721139580244388,"native","stable"
"AZC3J_81","AZC3J",995.061775053551,0.865573111282146,"no significant difference",0.00105927101210923,0.000964190716570092,"native","stable"
"AZC3J_87","AZC3J",5440.93137037048,0.568628358319372,"no significant difference",0.00714754121515253,0.00386159430036089,"native","stable"
"AZC3J_91","AZC3J",971.642174194538,1.63126706773569,"significantly increased",0.000715733316688769,0.00129512313953555,"native","stable"
"AZC3J_92","AZC3J",632.878864477571,0.485681405266707,"no significant difference",0.000838265179840627,0.000429481826899898,"foreign","non-colonized"
"AZC3J_95","AZC3J",18.6110763895655,2.02400099954755,"no significant difference",0.0000118693059170841,0.0000240432729154337,"foreign","non-colonized"
"AZC3J_99","AZC3J",1060.51489702067,0.654396702088827,"no significant difference",0.00119073966830182,0.000902031172689863,"native","stable"
"AZC5T_1","AZC5T",127.06001588642,0.710568649951341,"no significant difference",0.000139378411446103,0.000112258600508675,"foreign","non-colonized"
"AZC5T_104","AZC5T",519.324026347647,1.31785282552843,"no significant difference",0.000434879064325442,0.000631880304898991,"native","stable"
"AZC5T_107","AZC5T",9557.32833033237,0.777320825676831,"significantly decreased",0.0103545477829029,0.00894022232357784,"native","unstable"
"AZC5T_109","AZC5T",1660.07356339425,0.924762248471033,"no significant difference",0.00167365378603092,0.00167094008761034,"native","stable"
"AZC5T_111","AZC5T",299.240156988409,0.729923708424893,"no significant difference",0.000345280181146574,0.00026113637952319,"foreign","non-colonized"
"AZC5T_115","AZC5T",1.76983791630881,0.678493783375191,"no significant difference",0.000000640803462292714,0.000000606854348791942,"foreign","non-colonized"
"AZC5T_119","AZC5T",1272.16411228708,0.713834690280799,"no significant difference",0.00147640753778858,0.00111590951152624,"native","stable"
"AZC5T_12","AZC5T",460.113222630612,0.878755310656834,"no significant difference",0.000472662968291009,0.000460386457944696,"foreign","non-colonized"
"AZC5T_120","AZC5T",954.014692089279,0.0841868823674519,"no significant difference",0.00178997322238603,0.000147475608636173,"native","stable"
"AZC5T_122","AZC5T",1533.67879578193,0.989201285392611,"no significant difference",0.00148989367230142,0.00162271890014171,"native","stable"
"AZC5T_14","AZC5T",2710.399890762,1.5015249482123,"no significant difference",0.00213221766125011,0.00360935366154552,"native","stable"
"AZC5T_17","AZC5T",273.082131907857,0.516485924000505,"no significant difference",0.000330409360961705,0.000195965277701213,"foreign","non-colonized"
"AZC5T_19","AZC5T",4334.74107142509,0.838940215592257,"no significant difference",0.00439467821811185,0.00427963122106845,"native","stable"
"AZC5T_22","AZC5T",102.033708882605,1.09278869457554,"no significant difference",0.0000932505567251643,0.000104967218879223,"native","stable"
"AZC5T_24","AZC5T",138.81601066671,1.26092398770903,"no significant difference",0.000119138948813572,0.000165568346093193,"foreign","non-colonized"
"AZC5T_26","AZC5T",1086.20965647076,0.395576254142214,"no significant difference",0.00141814368540958,0.000629909644105091,"native","stable"
"AZC5T_30","AZC5T",1603.16860341684,1.62544842670612,"no significant difference",0.00110189979052224,0.00226714780889438,"native","stable"
"AZC5T_34","AZC5T",111.384956316366,0.770080474473683,"no significant difference",0.000119825219598153,0.000101834191226473,"foreign","non-colonized"
"AZC5T_37","AZC5T",1986.26621344076,1.02787102706183,"no significant difference",0.00191544299409407,0.00207880202993542,"native","stable"
"AZC5T_38","AZC5T",2515.42550690313,0.851227280435214,"no significant difference",0.00261179562165819,0.0024798246714402,"native","stable"
"AZC5T_4","AZC5T",358.44476099614,1.13981951095586,"no significant difference",0.000327111008845155,0.000406141379769963,"foreign","non-colonized"
