"assembly","mouse","baseMean","fold_change","significance","mean_d0_abundance","mean_d5_abundance","type","colonization"
"AZC3J_13","AZC3J",67.9408830706987,0.69128771080206,"no significant difference",0.0000824823202418369,0.0000654766370815688,"foreign","non-colonized"
"AZC3J_18","AZC3J",1209.62832640533,0.413698094350874,"no significant difference",0.00141451574253885,0.000755219986859809,"foreign","non-colonized"
"AZC3J_21","AZC3J",754.815956671346,0.813718405449849,"no significant difference",0.000909765772676846,0.000760094392489382,"native","stable"
"AZC3J_28","AZC3J",185.332739080568,0.311185818980424,"significantly decreased",0.000252851318698901,0.0000954694206186378,"foreign","non-colonized"
"AZC3J_3","AZC3J",750.493903511265,0.727015924731298,"no significant difference",0.000683331987691144,0.000703714160986747,"foreign","non-colonized"
"AZC3J_32","AZC3J",3276.40094203609,0.616470657071407,"no significant difference",0.00365188734651864,0.00266625157099701,"native","stable"
"AZC3J_34","AZC3J",1778.15389426155,1.58630113743536,"significantly increased",0.00131245168505994,0.00245313411039488,"native","stable"
"AZC3J_43","AZC3J",2008.21408559662,1.00401593008423,"no significant difference",0.00151879285698695,0.00245964768143465,"native","stable"
"AZC3J_46","AZC3J",42.5680271307271,0.351992167322029,"no significant difference",0.0000637106731701134,0.0000249138885489307,"foreign","non-colonized"
"AZC3J_51","AZC3J",14.8011873213253,1.31978629635366,"no significant difference",0.0000117876709357261,0.0000167748994979344,"native","stable"
"AZC3J_55","AZC3J",56.664895770106,0.141021780245329,"no significant difference",0.0000733631238542842,0.0000132349855185454,"native","stable"
"AZC3J_58","AZC3J",2014.75420187278,0.42190278501495,"no significant difference",0.0032582951599839,0.00123750243797956,"native","stable"
"AZC3J_64","AZC3J",101.892683431817,0.109934605639661,"no significant difference",0.000206201123029357,0.0000208250257546631,"foreign","non-colonized"
"AZC3J_73","AZC3J",1108.6114164582,1.63098143179039,"no significant difference",0.000872041107583454,0.00142475667128015,"foreign","non-colonized"
"AZC3J_74","AZC3J",12258.363792672,0.441823730093158,"no significant difference",0.0149682319881319,0.00813032674433298,"native","stable"
"AZC3J_76","AZC3J",1056.95721972366,0.375850932005258,"no significant difference",0.00136116270489027,0.000624209977741498,"native","stable"
"AZC3J_79","AZC3J",11.4118053975001,0.0519560293841589,"significantly decreased",0.0000155467297106334,0.000000209332771452859,"native","unstable"
"AZC3J_80","AZC3J",31.6389750365543,0.924246023794025,"no significant difference",0.0000307745761459408,0.0000334056431932719,"foreign","non-colonized"
"AZC3J_81","AZC3J",1981.31146095014,1.88968289582261,"no significant difference",0.00118801690033055,0.00297325395594775,"native","stable"
"AZC3J_87","AZC3J",145.376978813029,0.164315345633537,"no significant difference",0.000196610487687381,0.0000428974321668416,"foreign","non-colonized"
"AZC3J_88","AZC3J",2257.28548579322,0.497502216350453,"no significant difference",0.00270114272347576,0.00161004922997903,"native","stable"
"AZC3J_90","AZC3J",4275.32022698586,1.93171571299403,"no significant difference",0.00322705253911716,0.00600914448575401,"native","stable"
"AZC3J_91","AZC3J",1122.88439393115,1.79482943401843,"no significant difference",0.0007621128427162,0.00165126822196111,"native","stable"
"AZC3J_99","AZC3J",228.260078682448,0.319217065164221,"no significant difference",0.000332861381831697,0.000127672410100546,"foreign","non-colonized"
"AZC5T_104","AZC5T",5777.66364267725,1.22138005836884,"no significant difference",0.00506417098263437,0.00725839243322682,"native","stable"
"AZC5T_106","AZC5T",4174.40102325148,0.295321030863086,"no significant difference",0.00534425218154277,0.00213736762450561,"native","stable"
"AZC5T_107","AZC5T",2279.95499934297,0.486241425021246,"no significant difference",0.00274425889684424,0.00161834896532855,"native","stable"
"AZC5T_108","AZC5T",4996.69247936691,2713.0020363393,"significantly increased",0.00000221002823561112,0.0110447367842537,"native","stable"
"AZC5T_109","AZC5T",10659.7237705342,0.704192120420014,"no significant difference",0.0114211717709163,0.00916563598537331,"native","stable"
"AZC5T_119","AZC5T",716.54124330166,0.75961261831554,"no significant difference",0.000646062469345081,0.000686717034659184,"foreign","non-colonized"
"AZC5T_120","AZC5T",3.03058158642635,0.612337285646518,"no significant difference",0.00000232836444580683,0.00000135431654972179,"native","stable"
"AZC5T_122","AZC5T",459.482080505861,0.519522321521289,"no significant difference",0.000538223346757437,0.000334762740463126,"foreign","non-colonized"
"AZC5T_14","AZC5T",284.173134864704,2.84068915201606,"no significant difference",0.000141690585024166,0.000494524523369512,"foreign","non-colonized"
"AZC5T_19","AZC5T",435.789948288806,0.0958052373842424,"no significant difference",0.000915397683650185,0.0000814502403686589,"foreign","non-colonized"
