"assembly","mouse","baseMean","fold_change","significance","mean_d0_abundance","mean_d5_abundance","type","colonization"
"AZC3J_1","AZC3J",933.846807889799,1.13653277297885,"no significant difference",0.000869995557952441,0.00107077606042969,"foreign","non-colonized"
"AZC3J_13","AZC3J",300.459193957586,0.68310808838442,"no significant difference",0.000319024495306596,0.000277310951401493,"foreign","non-colonized"
"AZC3J_18","AZC3J",734.263234132327,1.43237744608927,"no significant difference",0.000576328733875866,0.000907623385846707,"foreign","non-colonized"
"AZC3J_20","AZC3J",152.001446956784,0.762403180816272,"no significant difference",0.00017477904073583,0.000138336059138531,"foreign","non-colonized"
"AZC3J_21","AZC3J",2356.67225582767,1.50802075690226,"no significant difference",0.00192780513843824,0.00305130549826632,"native","stable"
"AZC3J_25","AZC3J",6.74088065436075,0.446468980765759,"no significant difference",0.00000728407145776836,0.00000378834317816433,"foreign","non-colonized"
"AZC3J_26","AZC3J",243.12140774391,0.833239353849679,"no significant difference",0.000273201370664587,0.000226374265532053,"foreign","non-colonized"
"AZC3J_28","AZC3J",112.675008611558,2.03604615995641,"no significant difference",0.0000685862288834827,0.000155653689249166,"foreign","non-colonized"
"AZC3J_31","AZC3J",308.135777408055,1.22607600794198,"no significant difference",0.000270247870275973,0.000370650618259346,"foreign","non-colonized"
"AZC3J_32","AZC3J",2471.74410488015,0.817697940471485,"no significant difference",0.00261413042889914,0.00234897564626865,"native","stable"
"AZC3J_34","AZC3J",2598.60930206284,1.26702583167726,"no significant difference",0.00225488535963732,0.0031373927615141,"native","stable"
"AZC3J_43","AZC3J",2386.23296988029,0.784981575955969,"no significant difference",0.00282242686774414,0.0020960021270195,"native","stable"
"AZC3J_45","AZC3J",470.426861534141,0.420701209702665,"no significant difference",0.000693592071162159,0.000287367057269829,"foreign","non-colonized"
"AZC3J_46","AZC3J",563.829048583889,0.525024469275656,"no significant difference",0.000683101789101142,0.000412265429119324,"foreign","non-colonized"
"AZC3J_49","AZC3J",291.501959523588,1.20807455119948,"no significant difference",0.000274670009312203,0.000326534301361125,"foreign","non-colonized"
"AZC3J_51","AZC3J",34307.0574389887,0.0000619329441326692,"significantly decreased",0.0594518347433586,0.00000327560012571508,"native","unstable"
"AZC3J_55","AZC3J",52.4222921138275,10.4536260749604,"no significant difference",0.00000713919573985075,0.0000937655236456139,"native","stable"
"AZC3J_56","AZC3J",171.903491133479,1.00987517262334,"no significant difference",0.000165340648009595,0.000183956967502043,"foreign","non-colonized"
"AZC3J_57","AZC3J",47.4239370975356,0.581450499799801,"no significant difference",0.0000534153045652819,0.0000391331715687428,"foreign","non-colonized"
"AZC3J_58","AZC3J",3349.03887755259,1.02980509438754,"no significant difference",0.00349547742183749,0.00338609885532533,"native","stable"
"AZC3J_59","AZC3J",144.364678374814,1.28627968459117,"no significant difference",0.000124644616995591,0.000175722110960998,"foreign","non-colonized"
"AZC3J_6","AZC3J",50.077154237722,1.35944971994255,"no significant difference",0.0000395090431145946,0.0000623488348402763,"foreign","non-colonized"
"AZC3J_60","AZC3J",158.976786776534,1.67322099523104,"no significant difference",0.000111620675477616,0.000217965089335731,"foreign","non-colonized"
"AZC3J_61","AZC3J",839.669692577831,1.59473221773431,"no significant difference",0.000661917030627783,0.00105536544038361,"foreign","non-colonized"
"AZC3J_64","AZC3J",618.356365461604,2.10896037901795,"no significant difference",0.000409312379124757,0.000859693404688803,"foreign","non-colonized"
"AZC3J_71","AZC3J",91.1450979244937,0.519276690601327,"no significant difference",0.000105331897826847,0.000069888939179384,"foreign","non-colonized"
"AZC3J_73","AZC3J",1449.23393217394,0.743415175849651,"no significant difference",0.00172825468003291,0.0012638985866378,"foreign","non-colonized"
"AZC3J_74","AZC3J",7934.74219425371,0.632310025629188,"no significant difference",0.00941416960926534,0.00645199158853482,"native","stable"
"AZC3J_76","AZC3J",957.503478914608,0.798268732031021,"no significant difference",0.000994574716513242,0.000905032338419371,"native","stable"
"AZC3J_77","AZC3J",1309.45554154604,0.852804709305159,"no significant difference",0.00146618548283511,0.00126550653657865,"foreign","non-colonized"
"AZC3J_79","AZC3J",9.81324612485738,0.521488607505901,"no significant difference",0.0000105505800950849,0.00000627707663758279,"native","stable"
"AZC3J_81","AZC3J",867.296549861554,1.23826474245495,"no significant difference",0.000761608944925376,0.00104723003296106,"native","stable"
"AZC3J_82","AZC3J",731.865938215262,2.37440507587707,"no significant difference",0.000420536839341753,0.0011563662488142,"foreign","non-colonized"
"AZC3J_87","AZC3J",98.1332983360704,0.925667717923637,"no significant difference",0.0000933576682711089,0.000100571575060559,"foreign","non-colonized"
"AZC3J_88","AZC3J",1761.93174983966,0.800557999054117,"no significant difference",0.00189475209125893,0.00164906363116061,"native","stable"
"AZC3J_9","AZC3J",219.497812282753,0.589694769215478,"no significant difference",0.000255936509984498,0.000172540555878108,"foreign","non-colonized"
"AZC3J_90","AZC3J",5168.0973326257,1.30513133932034,"no significant difference",0.00471838286636588,0.00600626641557344,"native","stable"
"AZC3J_91","AZC3J",764.810773751143,1.08158105396908,"no significant difference",0.000733844546961016,0.000850181765396334,"native","stable"
"AZC3J_95","AZC3J",76.8722908770114,1.40931942289406,"no significant difference",0.0000653380338395816,0.00009015264205998,"foreign","non-colonized"
"AZC3J_99","AZC3J",337.862785181812,0.457520770558475,"no significant difference",0.000428259958547717,0.000234354785215831,"foreign","non-colonized"
