"assembly","mouse","baseMean","fold_change","significance","mean_d0_abundance","mean_d5_abundance","type","colonization"
"AZC3J_1","AZC3J",2526.76943742646,0.808992457606039,"no significant difference",0.00293264648802969,0.00219304216549703,"native","stable"
"AZC3J_13","AZC3J",723.150886270289,0.326166350287572,"no significant difference",0.00116243995759993,0.000350352684773685,"native","stable"
"AZC3J_18","AZC3J",70954.7026044782,0.0381706456240007,"significantly decreased",0.143358589878464,0.0052940531706872,"native","unstable"
"AZC3J_20","AZC3J",2165.4520822345,0.804080588415169,"no significant difference",0.00259210429539207,0.00196746413994261,"native","stable"
"AZC3J_21","AZC3J",3414.54521175788,0.67454789430487,"no significant difference",0.00440000239204413,0.00265656765866043,"native","stable"
"AZC3J_25","AZC3J",2500.40681195186,0.740123188332562,"no significant difference",0.0029773899733388,0.0020096423919522,"native","stable"
"AZC3J_26","AZC3J",779.076456348236,0.904235473752081,"no significant difference",0.000861206423813544,0.000702192842234698,"native","stable"
"AZC3J_28","AZC3J",3332.12253517465,0.958204143557984,"no significant difference",0.00358870740566425,0.00332896661615207,"native","stable"
"AZC3J_31","AZC3J",1649.78889510885,1.00549787754904,"no significant difference",0.00173326864570327,0.00161299655633455,"native","stable"
"AZC3J_32","AZC3J",2133.15951663928,1.92339667853659,"significantly increased",0.00153529220292616,0.00269800034425836,"native","stable"
"AZC3J_34","AZC3J",16440.3309627665,0.796701320152234,"no significant difference",0.0188520713635103,0.013568544026554,"native","stable"
"AZC3J_43","AZC3J",314.644164420297,0.717299104110348,"no significant difference",0.000385862401536741,0.000255245381396427,"foreign","non-colonized"
"AZC3J_45","AZC3J",1202.01503624708,0.14001341058496,"significantly decreased",0.00218697319214506,0.000295047942192221,"native","unstable"
"AZC3J_46","AZC3J",2721.53992826648,0.498870435154154,"no significant difference",0.00386499439858593,0.0018264461800381,"native","stable"
"AZC3J_49","AZC3J",6265.62969061787,1.11279827369897,"no significant difference",0.00636365329995602,0.00667114514562811,"native","stable"
"AZC3J_51","AZC3J",74.0410274902907,0.26947144105275,"no significant difference",0.000118758826945939,0.0000282647617367243,"foreign","non-colonized"
"AZC3J_55","AZC3J",1698.03984110088,0.00534216626020203,"significantly decreased",0.00348855662776071,0.0000174330707361994,"native","unstable"
"AZC3J_56","AZC3J",4453.46654041778,1.94414007862933,"no significant difference",0.00319143140539761,0.0058457621813277,"native","stable"
"AZC3J_57","AZC3J",915.538644142677,0.570073021764289,"no significant difference",0.00122088259459484,0.000661592756192378,"native","stable"
"AZC3J_58","AZC3J",1427.75034212345,11.4230254312762,"significantly increased",0.00024261049475745,0.00242012107744205,"foreign","non-colonized"
"AZC3J_59","AZC3J",2797.23493825079,0.428437234778464,"no significant difference",0.00401016741625507,0.00152591276694199,"native","stable"
"AZC3J_6","AZC3J",8869.31188568637,0.540605467408318,"no significant difference",0.0119756760223247,0.00592875700191788,"native","stable"
"AZC3J_60","AZC3J",2346.914018408,0.402884514153763,"no significant difference",0.00356595358212339,0.0012181269499789,"native","stable"
"AZC3J_61","AZC3J",993.943906857941,0.89159510529176,"no significant difference",0.00108454822876699,0.000881839086902656,"native","stable"
"AZC3J_64","AZC3J",8317.14836852664,2.50287880503931,"no significant difference",0.00514486866625171,0.0120063633154685,"native","stable"
"AZC3J_71","AZC3J",581.074631817043,0.0854340632557611,"significantly decreased",0.00113265007620331,0.0000909612629440361,"native","unstable"
"AZC3J_73","AZC3J",1472.50176410503,1.16467587678863,"no significant difference",0.00142193038434676,0.00146718616395948,"native","stable"
"AZC3J_74","AZC3J",29377.4533452063,0.139375618630798,"significantly decreased",0.0542122502627735,0.00687419023663326,"native","unstable"
"AZC3J_76","AZC3J",966.880530362649,12.6086689931608,"significantly increased",0.000148280473326245,0.00174833065643981,"foreign","non-colonized"
"AZC3J_77","AZC3J",696.222654730166,0.90885059056165,"no significant difference",0.00075916463336398,0.000623952206755713,"native","stable"
"AZC3J_79","AZC3J",7355.54104308923,0.490448431354456,"no significant difference",0.0103659291308867,0.00495467362607086,"native","stable"
"AZC3J_81","AZC3J",1163.79815180966,0.86363186946725,"no significant difference",0.00130994967211367,0.00104328451142844,"native","stable"
"AZC3J_82","AZC3J",16255.7733644404,0.749025997951694,"no significant difference",0.0190381427401812,0.0126585402452688,"native","stable"
"AZC3J_87","AZC3J",17300.4971814646,0.187081173440228,"significantly decreased",0.0307894818579748,0.00537894790758852,"native","unstable"
"AZC3J_88","AZC3J",2639.1910376618,0.840919415856785,"no significant difference",0.00302356170613408,0.00229896524576721,"native","stable"
"AZC3J_9","AZC3J",745.005348013018,0.171390666875294,"significantly decreased",0.00134121661170806,0.000211385808489351,"native","unstable"
"AZC3J_90","AZC3J",769.778676935732,1.46914733028206,"no significant difference",0.000666786594998287,0.000923512485788438,"foreign","non-colonized"
"AZC3J_91","AZC3J",1588.41315292379,1.72144743628851,"significantly increased",0.0012302566701409,0.00192180759346885,"native","stable"
"AZC3J_95","AZC3J",2505.30160184469,2.21642682157366,"no significant difference",0.00159642732957249,0.00336786207278303,"native","stable"
"AZC3J_99","AZC3J",1519.55033591681,0.0855693858747034,"significantly decreased",0.00294564564218476,0.000228842776787857,"native","unstable"
"AZC5T_104","AZC5T",877.946724286228,1.39334332846998,"no significant difference",0.000773807088815007,0.000961750292892733,"foreign","non-colonized"
"AZC5T_106","AZC5T",14048.2449614556,0.0545485676137256,"significantly decreased",0.0280383733710337,0.00136881599738331,"native","unstable"
"AZC5T_107","AZC5T",2031.4768996724,4.57629179141586,"significantly increased",0.000765327178413761,0.00325123800798168,"foreign","non-colonized"
"AZC5T_108","AZC5T",9.25776427807484,1.07968264152409,"no significant difference",0.00000827124388650394,0.00000836632048808153,"foreign","non-colonized"
"AZC5T_109","AZC5T",4985.17670021525,30.2269226887858,"significantly increased",0.000335381173549006,0.00936016327106277,"foreign","colonized"
"AZC5T_115","AZC5T",4521.97659848166,0.000358977054999196,"significantly decreased",0.00924162984897327,0.00000202073578112081,"native","unstable"
"AZC5T_120","AZC5T",3.70247770221642,0.396781042138548,"no significant difference",0.00000478363799133891,0.000000725717829494898,"foreign","non-colonized"
"AZC5T_21","AZC5T",3130.06726381557,0.669398666534196,"no significant difference",0.00404570064855178,0.00241983612037007,"native","stable"
"AZC5T_22","AZC5T",3150.25627942473,0.952156654694003,"no significant difference",0.00340164495769934,0.0031391815050791,"native","stable"
"AZC5T_26","AZC5T",2434.60499464706,0.50524804328271,"no significant difference",0.00344195028663093,0.0016493961828512,"native","stable"
"AZC5T_32","AZC5T",28.6372789269616,2.12105193314742,"no significant difference",0.0000181751588781316,0.0000367833299504988,"foreign","non-colonized"
"AZC5T_34","AZC5T",844.632356505779,9.20819941358046,"significantly increased",0.000172694388905888,0.00143832348422743,"foreign","non-colonized"
"AZC5T_39","AZC5T",244.571185915047,16.5893007707712,"significantly increased",0.0000281726955394361,0.000448217376729821,"foreign","non-colonized"
"AZC5T_41","AZC5T",18.0227085166642,1.03854467876204,"no significant difference",0.0000176440083215264,0.0000174845010234028,"foreign","non-colonized"
"AZC5T_51","AZC5T",43.5114430198894,0.25111157948191,"no significant difference",0.0000737999751193089,0.0000162299272409434,"foreign","non-colonized"
"AZC5T_52","AZC5T",335.06270101173,0.791239791383424,"no significant difference",0.00039742921357646,0.000267785808321921,"foreign","non-colonized"
"AZC5T_64","AZC5T",8670.43585820112,2.25454964025819,"no significant difference",0.00564385862402134,0.0120073805708869,"native","stable"
"AZC5T_66","AZC5T",606.050984722364,859.456036314837,"significantly increased",0.000000602349149950058,0.00118022028588232,"foreign","non-colonized"
"AZC5T_67","AZC5T",2120.35983380848,0.417876564772638,"no significant difference",0.00318646455953924,0.00112875426546961,"native","stable"
"AZC5T_68","AZC5T",181.153044210367,0.622570870821167,"no significant difference",0.000236158895590027,0.000134585472181571,"foreign","non-colonized"
"AZC5T_69","AZC5T",12657.9722412452,0.506040744980659,"no significant difference",0.0182151819261831,0.00870991451334041,"native","stable"
"AZC5T_78","AZC5T",571.588346983247,0.651768945651619,"no significant difference",0.000726406573159025,0.000429479875360922,"foreign","non-colonized"
"AZC5T_8","AZC5T",165.255129505552,0.846180934750067,"no significant difference",0.000186684464440979,0.000142346954698628,"foreign","non-colonized"
"AZC5T_84","AZC5T",1.76004534092137,1.45486210799492,"no significant difference",0.000000879768383360559,0.00000100934632260172,"foreign","non-colonized"
"AZC5T_85","AZC5T",1388.2141901225,0.729507825693005,"significantly decreased",0.00168909328085231,0.0011267026051193,"native","unstable"
"AZC5T_87","AZC5T",3658.00614190167,0.503613693274571,"no significant difference",0.00511492804467702,0.00250659858709438,"native","stable"
"AZC5T_9","AZC5T",94.336196324532,0.697772031766421,"significantly decreased",0.000115382982913947,0.0000734658424625081,"foreign","non-colonized"
"AZC5T_93","AZC5T",1800.73804104806,5.13890449020771,"significantly increased",0.000614497227105461,0.00281234227596227,"foreign","non-colonized"
"AZC5T_94","AZC5T",456.259103415282,6.76597155615244,"significantly increased",0.000122358841086734,0.000755927647273964,"foreign","non-colonized"
"AZC5T_97","AZC5T",1760.12404377734,5.10784181492265,"significantly increased",0.000605598490600149,0.00277733132604881,"foreign","non-colonized"
"AZC5T_98","AZC5T",354.551890718787,0.00794272284165529,"significantly decreased",0.000725429454051307,0.00000416851492831221,"native","unstable"
"AZC7E_101","AZC7E",6587.21747324859,45.1352762080918,"significantly increased",0.000299403026667016,0.01252718944102,"foreign","colonized"
"AZC7E_104","AZC7E",7337.38528141229,313.938615547769,"significantly increased",0.000048372724668227,0.0132301741556253,"foreign","colonized"
"AZC7E_105","AZC7E",189.744085273884,10.46422607841,"no significant difference",0.0000339083235469997,0.000313410907950257,"foreign","non-colonized"
"AZC7E_106","AZC7E",315.831651226724,64.9770932554263,"significantly increased",0.00000925750093416842,0.000575280862866126,"foreign","non-colonized"
"AZC7E_107","AZC7E",2203.75596941529,0.410136460482568,"no significant difference",0.00333080899337471,0.00115775521184492,"native","stable"
"AZC7E_109","AZC7E",2792.42582375744,6.78939104166501,"significantly increased",0.000753543078231567,0.00467813899546976,"foreign","non-colonized"
"AZC7E_111","AZC7E",1651.85599317084,39.3372767105019,"significantly increased",0.0000850558869317888,0.00305244120287167,"foreign","non-colonized"
"AZC7E_113","AZC7E",33798.9854546329,716.447091234871,"significantly increased",0.0000981250355008399,0.0657878451862525,"foreign","colonized"
"AZC7E_115","AZC7E",2.23417354599076,1.36393357088447,"no significant difference",0.00000142225137531404,0.00000167852602509976,"foreign","non-colonized"
"AZC7E_116","AZC7E",5921.06603664059,0.309895357595733,"no significant difference",0.00924154909429823,0.0025305600553565,"native","stable"
"AZC7E_12","AZC7E",3076.98802448068,15.3131823899416,"significantly increased",0.000394343502563689,0.00535299112692345,"foreign","colonized"
"AZC7E_13","AZC7E",87.8089732351919,1.15031252697732,"no significant difference",0.0000852694827118232,0.0000875981310960719,"foreign","non-colonized"
"AZC7E_15","AZC7E",159.88032404461,0.749103402983472,"significantly decreased",0.000191852224193366,0.000131542779373075,"foreign","non-colonized"
"AZC7E_16","AZC7E",318.498016927377,0.00735763789471089,"significantly decreased",0.000651915858934262,0.00000362654601155712,"native","unstable"
"AZC7E_17","AZC7E",1753.43925248254,57.6233135608889,"significantly increased",0.0000619415561556064,0.00325450054569223,"foreign","non-colonized"
"AZC7E_2","AZC7E",3516.40103535769,110.264206903466,"significantly increased",0.0000655960283928316,0.00656497271786323,"foreign","colonized"
"AZC7E_23","AZC7E",7840.65680237542,43.4046605910417,"significantly increased",0.000371015143488349,0.0138883902283273,"foreign","colonized"
"AZC7E_24","AZC7E",103.177942454354,0.863139832079085,"no significant difference",0.00011535342649201,0.0000897983620984253,"foreign","non-colonized"
"AZC7E_25","AZC7E",8633.39385278757,0.560367332688638,"no significant difference",0.0116348941216133,0.00585880427270431,"native","stable"
"AZC7E_26","AZC7E",5292.22519963225,118.906821325298,"significantly increased",0.0000922738742670275,0.0105075085410686,"foreign","colonized"
"AZC7E_29","AZC7E",1151.41767665765,0.576119316577991,"significantly decreased",0.0015418027752823,0.000804614029453574,"native","unstable"
"AZC7E_3","AZC7E",6381.86054566616,226.747046032709,"significantly increased",0.0000580999754417252,0.0116704246434106,"foreign","colonized"
"AZC7E_32","AZC7E",5096.00995089086,93.168586072635,"significantly increased",0.000113117894717177,0.00940716696989072,"foreign","colonized"
"AZC7E_34","AZC7E",2553.7392781873,0.675080072115552,"no significant difference",0.0032885364681764,0.00198196689661719,"native","stable"
"AZC7E_36","AZC7E",1778.49170137301,56.2226006773683,"significantly increased",0.0000645608609654567,0.00334519007463884,"foreign","non-colonized"
"AZC7E_37","AZC7E",4813.0131904234,97.2557311978024,"significantly increased",0.000101795550782917,0.00874742262855532,"foreign","colonized"
"AZC7E_38","AZC7E",12475.4835595694,248.030388292093,"significantly increased",0.00010466183022742,0.0248606215190668,"foreign","colonized"
"AZC7E_39","AZC7E",4254.25456264241,745.221867307849,"significantly increased",0.0000107951506730341,0.00795470413438324,"foreign","colonized"
"AZC7E_4","AZC7E",11452.2734959025,0.0497560457440716,"significantly decreased",0.0229609849505428,0.00100527572628791,"native","unstable"
"AZC7E_42","AZC7E",152.14257050674,0.870782071329783,"no significant difference",0.000172017985907369,0.000139084624779014,"foreign","non-colonized"
"AZC7E_45","AZC7E",292.019507003119,575.03073291951,"significantly increased",0.000000098332279180425,0.000525770707843128,"native","stable"
"AZC7E_47","AZC7E",3180.93455440892,0.0701406159770961,"no significant difference",0.00644332188423006,0.000375726227909583,"native","stable"
"AZC7E_48","AZC7E",183.607630433624,9.95276761095324,"significantly increased",0.0000343852067319337,0.000315645957512828,"foreign","non-colonized"
"AZC7E_5","AZC7E",129.167853990645,8.11137271592625,"no significant difference",0.0000287565789084337,0.000208215317386473,"foreign","non-colonized"
"AZC7E_54","AZC7E",22124.2145327033,8.66586050375954,"significantly increased",0.00481909068132627,0.0383255623332191,"native","stable"
"AZC7E_55","AZC7E",358.104345163116,0.518643304616165,"no significant difference",0.000503928828716459,0.000235535863560229,"foreign","non-colonized"
"AZC7E_58","AZC7E",5953.59303400641,71.6896100176037,"significantly increased",0.000171472489658919,0.0116171375759644,"foreign","colonized"
"AZC7E_60","AZC7E",2673.10138616155,5.0047923079191,"significantly increased",0.000936646798696433,0.0043073537583645,"native","stable"
"AZC7E_61","AZC7E",2283.51310385722,38.8685326699899,"significantly increased",0.000119729980195179,0.00434831759849874,"foreign","non-colonized"
"AZC7E_62","AZC7E",809.396391942703,2.57841708465875,"no significant difference",0.000480469139956838,0.0011385515824463,"foreign","non-colonized"
"AZC7E_68","AZC7E",4689.81310984891,49.2658765953255,"significantly increased",0.000195273100310325,0.00880244130240328,"foreign","colonized"
"AZC7E_69","AZC7E",3667.68453634188,0.233902873546048,"no significant difference",0.00644337983917172,0.00137304294936393,"native","stable"
"AZC7E_70","AZC7E",8925.22429306952,9.87284679207514,"significantly increased",0.00172762171489255,0.0152083582013771,"native","stable"
"AZC7E_71","AZC7E",539.665194283084,10.6596651694163,"significantly increased",0.0000965663623822239,0.00095155197864595,"foreign","non-colonized"
"AZC7E_72","AZC7E",7497.00252278855,0.000619912700196117,"significantly decreased",0.0156847146913075,0.00000740567458815191,"native","unstable"
"AZC7E_73","AZC7E",7218.03429158621,30.0480467458322,"significantly increased",0.000487479297884551,0.0127194106294558,"foreign","colonized"
"AZC7E_74","AZC7E",332.667007972634,0.739981059076698,"no significant difference",0.000405645706502564,0.000267945191513187,"native","stable"
"AZC7E_76","AZC7E",62.7912458552762,1.45676083579264,"no significant difference",0.0000524800155231084,0.0000732730001979006,"foreign","non-colonized"
"AZC7E_77","AZC7E",159.932999850135,0.709296836373203,"significantly decreased",0.000195609120867849,0.000126901259890182,"foreign","non-colonized"
"AZC7E_78","AZC7E",2560.46829604292,0.514142563674469,"no significant difference",0.00359947749104537,0.00175470994199863,"native","stable"
"AZC7E_79","AZC7E",3505.91080244857,22.1425806832999,"significantly increased",0.000318066536028128,0.00659337615686891,"foreign","colonized"
