"assembly","mouse","baseMean","fold_change","significance","mean_d0_abundance","mean_d5_abundance","type","colonization"
"AZC3J_1","AZC3J",2652.28172152854,1.42246705147002,"no significant difference",0.00211438179924889,0.00319818451089962,"native","stable"
"AZC3J_10","AZC3J",324.111255183099,0.956458974004827,"no significant difference",0.000292479381339437,0.00031844644826399,"foreign","non-colonized"
"AZC3J_13","AZC3J",1405.77656693885,0.631823167607762,"no significant difference",0.00159619929451024,0.00108676467486701,"native","stable"
"AZC3J_18","AZC3J",136591.707608845,0.719102062528013,"no significant difference",0.154683129330994,0.115740505168308,"native","stable"
"AZC3J_2","AZC3J",575.668256229918,1.38971038387486,"no significant difference",0.000446039389371687,0.000708463867314782,"foreign","non-colonized"
"AZC3J_20","AZC3J",3406.21682433597,2.62191301079289,"no significant difference",0.00179329302379939,0.00474154174298849,"native","stable"
"AZC3J_21","AZC3J",2063.67719585436,1.31488709928792,"no significant difference",0.00181212429792359,0.00245947113731353,"native","stable"
"AZC3J_25","AZC3J",5081.74725323085,1.42870594911525,"no significant difference",0.00413700200042807,0.00589444386878193,"native","stable"
"AZC3J_26","AZC3J",841.998529294877,0.714544522197328,"no significant difference",0.000959863126787598,0.000710964562531431,"native","stable"
"AZC3J_28","AZC3J",7735.85317527847,1.03003642101132,"no significant difference",0.00702770957838473,0.00785444047835052,"native","stable"
"AZC3J_31","AZC3J",1188.18157397694,1.01873344172273,"no significant difference",0.00116001515578277,0.00121256390810597,"native","stable"
"AZC3J_32","AZC3J",1503.00669545794,0.72424277194657,"no significant difference",0.00164668108692062,0.00128868563320812,"native","stable"
"AZC3J_34","AZC3J",14769.9070145435,1.67998752877654,"no significant difference",0.0105132127310656,0.0184097698398779,"native","stable"
"AZC3J_45","AZC3J",781.180008896934,0.554343244811962,"no significant difference",0.00101366573210686,0.000573801979914972,"native","stable"
"AZC3J_46","AZC3J",4102.10646257974,0.60415825162933,"no significant difference",0.00472941191821683,0.00310108674298364,"native","stable"
"AZC3J_49","AZC3J",10128.4331796191,4.85516849189052,"no significant difference",0.00301749991151299,0.0164204005442984,"native","stable"
"AZC3J_55","AZC3J",8273.63056325567,0.136857511777272,"significantly decreased",0.0134305660880252,0.00196626036965254,"native","unstable"
"AZC3J_56","AZC3J",3367.98377864138,1.7788498188235,"no significant difference",0.00244568656290528,0.00445909984408318,"native","stable"
"AZC3J_57","AZC3J",2389.84098695734,0.259514352278732,"significantly decreased",0.00372786461217212,0.000996869166779692,"native","unstable"
"AZC3J_59","AZC3J",6247.52882176461,1.47356751763463,"no significant difference",0.00515378698954823,0.00759009680894963,"native","stable"
"AZC3J_6","AZC3J",5558.82984525246,1.84462754249451,"no significant difference",0.00371370047737311,0.00721249678659095,"native","stable"
"AZC3J_60","AZC3J",2465.21791700191,0.666699115358742,"no significant difference",0.00264802017045169,0.00200254172280588,"native","stable"
"AZC3J_61","AZC3J",1352.33939627801,1.26361271694947,"no significant difference",0.00117327189772797,0.00157349361898279,"native","stable"
"AZC3J_62","AZC3J",524.243284655017,0.76736622942406,"no significant difference",0.000558231614993383,0.000464587335698937,"foreign","non-colonized"
"AZC3J_63","AZC3J",591.387533280042,2.02691145307516,"no significant difference",0.000366184850535875,0.000830669173662981,"foreign","non-colonized"
"AZC3J_64","AZC3J",11388.0128210541,1.94671253855563,"no significant difference",0.00669316691234033,0.0151227191261192,"native","stable"
"AZC3J_70","AZC3J",851.569546481413,1.11438231502774,"no significant difference",0.000793620388726237,0.000921628459998411,"foreign","non-colonized"
"AZC3J_71","AZC3J",1645.6563674731,0.4294068415179,"significantly decreased",0.00218081279010966,0.00099208593387419,"native","unstable"
"AZC3J_73","AZC3J",297.485375915921,1.86343306577126,"no significant difference",0.000206039069892725,0.000407609972788145,"native","stable"
"AZC3J_74","AZC3J",45684.7883394138,0.754640396178512,"significantly decreased",0.0500518153118004,0.0401344492848763,"native","unstable"
"AZC3J_77","AZC3J",1022.95335434326,0.584838147221599,"no significant difference",0.00115703914449619,0.000767427520396057,"native","stable"
"AZC3J_79","AZC3J",9276.077689205,0.78111301982472,"no significant difference",0.00906778773438277,0.00822236808798942,"native","stable"
"AZC3J_81","AZC3J",1389.4734443023,1.68228750784695,"significantly increased",0.000990904759766775,0.00177293209646731,"native","stable"
"AZC3J_82","AZC3J",9961.24145593559,0.556148237242979,"no significant difference",0.0127193738835322,0.0072829951410514,"native","stable"
"AZC3J_87","AZC3J",30462.1154987286,0.814425999637637,"no significant difference",0.0321269726418833,0.027516525945634,"native","stable"
"AZC3J_88","AZC3J",2646.28612297963,0.740142775096805,"no significant difference",0.0029178635115041,0.0022724665077943,"native","stable"
"AZC3J_9","AZC3J",1730.19133482936,0.723767725233772,"no significant difference",0.00199549234319065,0.00147454525697261,"native","stable"
"AZC3J_91","AZC3J",1499.57480913783,1.97167997575975,"no significant difference",0.00100808146207288,0.00205037162592871,"native","stable"
"AZC3J_92","AZC3J",395.456373269613,0.765501623012961,"no significant difference",0.00039808057514334,0.00036240471765445,"foreign","non-colonized"
"AZC3J_95","AZC3J",1523.73928022589,0.999237787752831,"no significant difference",0.00158405735900558,0.00163223891851215,"native","stable"
"AZC3J_99","AZC3J",2131.74993853456,0.800303246135392,"no significant difference",0.00218052613558553,0.00188785496357252,"native","stable"
