"assembly","mouse","baseMean","fold_change","significance","mean_d0_abundance","mean_d5_abundance","type","colonization"
"AZC3J_1","AZC3J",1038.33052472514,0.933927426903217,"no significant difference",0.00107257378694621,0.00109253803940544,"native","stable"
"AZC3J_10","AZC3J",1298.02468124824,1.7211908823645,"significantly increased",0.000921137182364652,0.00182396097675912,"native","stable"
"AZC3J_13","AZC3J",1414.05474997247,0.37402880017183,"significantly decreased",0.00195134686361399,0.000796511292742612,"native","unstable"
"AZC3J_18","AZC3J",7561.20879934499,0.365451545590278,"no significant difference",0.00998688895101908,0.00393295875679736,"native","stable"
"AZC3J_2","AZC3J",1330.05404207589,0.864369646624323,"no significant difference",0.00135955359064701,0.00138152459432009,"native","stable"
"AZC3J_26","AZC3J",1839.21631662513,1.27456057307902,"no significant difference",0.00154276741443753,0.00230508546111998,"native","stable"
"AZC3J_28","AZC3J",36.9038340816643,0.47829308650944,"significantly decreased",0.0000459541485585493,0.0000236844038014971,"foreign","non-colonized"
"AZC3J_3","AZC3J",1257.69249560045,1.52363260338851,"no significant difference",0.000890015854271317,0.00156001204520863,"foreign","non-colonized"
"AZC3J_34","AZC3J",4144.69914752165,0.885667202202952,"no significant difference",0.00440698670207472,0.00426553011366192,"native","stable"
"AZC3J_45","AZC3J",798.807904337063,0.507765287292597,"no significant difference",0.00104301993971548,0.00062115687790813,"native","stable"
"AZC3J_46","AZC3J",263.589462537736,1.62300670756906,"no significant difference",0.00018844441146151,0.000304272769173843,"foreign","non-colonized"
"AZC3J_51","AZC3J",7.28353734163176,0.839422886414547,"no significant difference",0.0000068421583093225,0.00000561967952181564,"foreign","non-colonized"
"AZC3J_55","AZC3J",6.55182315744844,4.67711966137254,"no significant difference",0.00000101471726558379,0.0000121526410238492,"foreign","non-colonized"
"AZC3J_6","AZC3J",9277.71210541867,1.06103867768177,"no significant difference",0.00915335222949266,0.0104393287127929,"native","stable"
"AZC3J_62","AZC3J",4434.95412509445,0.0145155074715163,"no significant difference",0.0102696446903727,0.000133700580192939,"native","stable"
"AZC3J_63","AZC3J",752.732785351486,0.554821302717926,"no significant difference",0.00103134900602657,0.000585585699683909,"native","stable"
"AZC3J_64","AZC3J",59.8944085424591,0.565264991615438,"significantly decreased",0.0000724104132275779,0.00004610964210332,"foreign","non-colonized"
"AZC3J_70","AZC3J",2009.8325654473,0.965145393475657,"no significant difference",0.00178544133508457,0.00204085527672903,"native","stable"
"AZC3J_71","AZC3J",662.291611104697,1.22139347785389,"no significant difference",0.000487077688266965,0.000787519932780616,"native","stable"
"AZC3J_73","AZC3J",520.691939097028,2.17161474818338,"no significant difference",0.000321648163818851,0.000819411492690493,"foreign","non-colonized"
"AZC3J_74","AZC3J",2148.3819064885,216.302952070498,"significantly increased",0.0000161173865302017,0.00468244459117708,"foreign","non-colonized"
"AZC3J_76","AZC3J",5256.76406140241,6849.08714671321,"significantly increased",0.000000510876345394949,0.0114248621323862,"foreign","colonized"
"AZC3J_79","AZC3J",7.84566605917725,0.687616815969115,"no significant difference",0.00000743590783231599,0.00000530335104797575,"foreign","non-colonized"
"AZC3J_80","AZC3J",330.214162038071,1.39804646569525,"no significant difference",0.000260361517198954,0.000396714281051916,"foreign","non-colonized"
"AZC3J_81","AZC3J",11032.1279401512,1.71403810376587,"no significant difference",0.00811494585428313,0.0141923365565842,"native","stable"
"AZC3J_87","AZC3J",557.860528641332,77.2799862403285,"significantly increased",0.0000120214730928824,0.0012956751597397,"foreign","non-colonized"
"AZC3J_91","AZC3J",780.745934391315,0.988161603416906,"no significant difference",0.000795121141901909,0.00084526038083547,"foreign","non-colonized"
"AZC3J_92","AZC3J",997.223985746817,0.213932843124102,"significantly decreased",0.00145786942158659,0.00036913791315539,"native","unstable"
"AZC3J_95","AZC3J",1857.83357009988,0.226515557047698,"no significant difference",0.0024167093175839,0.000833510280338893,"native","stable"
"AZC3J_99","AZC3J",2404.67973497072,0.487798116121942,"no significant difference",0.00279412216593941,0.00171779894477463,"native","stable"
"AZC5T_1","AZC5T",68.9899982017331,66.3152052372587,"significantly increased",0.00000118030595874141,0.000146419432744739,"native","stable"
"AZC5T_104","AZC5T",1433.57186321348,0.81344216372138,"significantly decreased",0.00153789250490677,0.00138279851254676,"native","unstable"
"AZC5T_107","AZC5T",5738.3600884989,124.888947528358,"significantly increased",0.0000884657175317206,0.0123696949514921,"foreign","colonized"
"AZC5T_109","AZC5T",1314.13995292667,1.21381540564756,"no significant difference",0.00106604624250675,0.00146812917385478,"foreign","non-colonized"
"AZC5T_111","AZC5T",237.80923944643,0.240838627052437,"no significant difference",0.000302701496832548,0.000110840447841549,"native","stable"
"AZC5T_115","AZC5T",1.02417980672132,0.899191120850686,"no significant difference",0.000000324141961109141,0.000000194051346654975,"native","stable"
"AZC5T_119","AZC5T",3537.64480692468,1.62882456246397,"no significant difference",0.00241261744825089,0.00447291208976323,"native","stable"
"AZC5T_12","AZC5T",237.455044103224,309.620229036815,"significantly increased",0.000000412222730469999,0.000515278943980187,"native","stable"
"AZC5T_120","AZC5T",38.3016452301507,0.141598205144468,"no significant difference",0.0000519074636413206,0.0000102593081940279,"foreign","non-colonized"
"AZC5T_122","AZC5T",385.641940861329,149.26556870891,"significantly increased",0.00000392495949035996,0.00082881550504133,"foreign","non-colonized"
"AZC5T_14","AZC5T",304.186710555009,0.910143305018366,"no significant difference",0.000314437547255169,0.000310640244934471,"foreign","non-colonized"
"AZC5T_17","AZC5T",709.48394286399,0.29572182435297,"no significant difference",0.000939348367007192,0.000323469982340241,"native","stable"
"AZC5T_19","AZC5T",152.833668278234,0.518638879635386,"significantly decreased",0.000183077125692869,0.000109370057663185,"foreign","non-colonized"
"AZC5T_22","AZC5T",22.2784372247487,0.293946454813768,"significantly decreased",0.0000315139523130915,0.00000948126897528397,"foreign","non-colonized"
"AZC5T_24","AZC5T",1064.18409246516,0.0828381327158687,"no significant difference",0.00227436719556338,0.000175542926501973,"native","stable"
"AZC5T_26","AZC5T",376.638719461206,0.917167314732291,"no significant difference",0.000351041600508203,0.00035043660379273,"foreign","non-colonized"
"AZC5T_30","AZC5T",4391.52284955085,0.174390554420003,"significantly decreased",0.00749968430328877,0.00123739726238053,"native","unstable"
