"assembly","mouse","baseMean","fold_change","significance","mean_d0_abundance","mean_d5_abundance","type","colonization"
"AZC3J_1","AZC3J",1020.98844395458,0.722193078543339,"no significant difference",0.00142990539471126,0.000736459450877432,"native","stable"
"AZC3J_10","AZC3J",1585.94495108535,1.40665971800062,"no significant difference",0.00165265146438953,0.00160024136564483,"native","stable"
"AZC3J_13","AZC3J",1240.82783807793,0.305099007545374,"no significant difference",0.00199771846349816,0.000485675046602743,"native","stable"
"AZC3J_18","AZC3J",3692.55653676187,0.1207482327947,"significantly decreased",0.00756186734181338,0.0006806599017931,"native","unstable"
"AZC3J_2","AZC3J",1534.71344786376,0.661085133823185,"no significant difference",0.00227083645767212,0.00099830929765335,"native","stable"
"AZC3J_21","AZC3J",428.325972966887,0.486078468019612,"significantly decreased",0.00069201373353875,0.000246033844862465,"foreign","non-colonized"
"AZC3J_26","AZC3J",1280.73889034889,0.613281101247042,"no significant difference",0.00194638519723783,0.000782676471673656,"native","stable"
"AZC3J_32","AZC3J",2218.83065428566,301.433207133414,"significantly increased",0.0000151825848631303,0.00371904563605692,"foreign","non-colonized"
"AZC3J_34","AZC3J",4489.91404131654,0.825490464205252,"no significant difference",0.00593404704166092,0.00360148207876695,"native","stable"
"AZC3J_43","AZC3J",250.309950796064,0.771968419842822,"no significant difference",0.00033754488166563,0.000187702506601585,"foreign","non-colonized"
"AZC3J_45","AZC3J",616.548927621604,0.565721406870113,"significantly decreased",0.000891350306362221,0.000388915364341629,"native","unstable"
"AZC3J_51","AZC3J",5.17773871930787,0.505627662807815,"no significant difference",0.00000680406991990303,0.00000208821013626667,"foreign","non-colonized"
"AZC3J_55","AZC3J",4.36259117746657,0.237942630389421,"no significant difference",0.00000716152023533502,0.000000575221610835694,"foreign","non-colonized"
"AZC3J_58","AZC3J",671.087900605612,0.485387680434188,"no significant difference",0.00110621638794507,0.000414144697075922,"foreign","non-colonized"
"AZC3J_6","AZC3J",7257.75296237448,0.941316271468955,"no significant difference",0.0093237034331632,0.00585913737109445,"native","stable"
"AZC3J_62","AZC3J",123.525023509353,289.891258557042,"significantly increased",0.000000210534787348327,0.000214041538967333,"native","stable"
"AZC3J_63","AZC3J",1002.79974540326,0.649555150596664,"no significant difference",0.00144915217462311,0.000720603133104239,"native","stable"
"AZC3J_70","AZC3J",884.211980994246,0.431508980304911,"no significant difference",0.00147640762325573,0.000433371965518274,"native","stable"
"AZC3J_71","AZC3J",712.032472588599,0.735891805152835,"no significant difference",0.000835150019515718,0.000476347655850426,"native","stable"
"AZC3J_74","AZC3J",6947.67254352012,815.760672778722,"significantly increased",0.0000183098515683207,0.0117217344453165,"foreign","colonized"
"AZC3J_76","AZC3J",2069.1220663707,3109.71087988854,"significantly increased",0.000000504018060118633,0.00345847387620551,"foreign","non-colonized"
"AZC3J_79","AZC3J",13.1256735857332,2.39704845509943,"significantly increased",0.00000800120255213572,0.000014924954535503,"foreign","non-colonized"
"AZC3J_81","AZC3J",9122.23008422327,0.838366437580245,"no significant difference",0.0121232143624548,0.00720166872037046,"native","stable"
"AZC3J_88","AZC3J",1359.95949638766,64.1899492781718,"significantly increased",0.0000474773558128464,0.00229798038954345,"foreign","non-colonized"
"AZC3J_90","AZC3J",102.257527578358,1.24799813942043,"no significant difference",0.000106462417257201,0.0000983182821386138,"foreign","non-colonized"
"AZC3J_91","AZC3J",817.209659829533,0.663053074981571,"no significant difference",0.00119367797045984,0.000565773161780887,"foreign","non-colonized"
"AZC3J_92","AZC3J",363.064022263307,0.125409660588144,"significantly decreased",0.000755970509706282,0.0000658676060540723,"native","unstable"
"AZC3J_95","AZC3J",1249.85210205302,0.889837232768983,"no significant difference",0.00159868432540895,0.00090827194225294,"native","stable"
"AZC3J_99","AZC3J",2849.41996877989,0.632412113497567,"no significant difference",0.00387275462948433,0.00171953981112718,"native","stable"
"AZC5T_1","AZC5T",43.6058332477015,66.9673486147905,"significantly increased",0.000000528446017566406,0.0000736076896648987,"native","stable"
"AZC5T_104","AZC5T",1557.36605602781,0.881464348166564,"no significant difference",0.00198934603889474,0.00129031139644665,"native","stable"
"AZC5T_106","AZC5T",3875.19240486466,1790.19040198388,"significantly increased",0.00000353445356841719,0.00663774935971545,"foreign","colonized"
"AZC5T_107","AZC5T",3071.44537014419,61.1111334367839,"significantly increased",0.000117173849972116,0.00508413233563503,"foreign","colonized"
"AZC5T_108","AZC5T",7.00423064740894,1.47894623088081,"no significant difference",0.00000497709419142392,0.00000594389830968454,"foreign","non-colonized"
"AZC5T_109","AZC5T",5581.29558637949,14.3195487178285,"significantly increased",0.000837679164735829,0.00898312716458559,"foreign","colonized"
"AZC5T_111","AZC5T",1119.39490840699,0.0260972315168221,"significantly decreased",0.00267527040200514,0.0000492661630352426,"native","unstable"
"AZC5T_115","AZC5T",1.71643820429913,1.01125500944722,"no significant difference",0.000000694342988410363,0.000000408143799112017,"native","stable"
"AZC5T_119","AZC5T",1676.27422208284,1.05692172151728,"no significant difference",0.00218434921394166,0.00135792833912158,"native","stable"
"AZC5T_12","AZC5T",6058.43066311429,0.0981172382476757,"no significant difference",0.0106513921747186,0.000920766454423592,"native","stable"
"AZC5T_120","AZC5T",369.172088190007,0.0047223897841426,"significantly decreased",0.000977826263813843,0.00000196483817454127,"foreign","non-colonized"
"AZC5T_17","AZC5T",554.587216915617,0.41221568462377,"no significant difference",0.000872040921916886,0.00026770705912645,"native","stable"
"AZC5T_21","AZC5T",243.059430976418,0.639344022494654,"no significant difference",0.0003306412653281,0.000162945790611958,"foreign","non-colonized"
"AZC5T_24","AZC5T",1498.91158509641,0.425523077138324,"no significant difference",0.00287317335345667,0.000852460342832719,"native","stable"
"AZC5T_30","AZC5T",4529.42132375034,0.15972695981413,"significantly decreased",0.00974826006996901,0.0011376779046286,"native","unstable"
"AZC5T_32","AZC5T",16.701758660039,1.26613566485286,"no significant difference",0.0000145102129995751,0.0000148019325874834,"foreign","non-colonized"
"AZC5T_34","AZC5T",1532.56077217055,3556.21621872342,"significantly increased",0.000000338121089274677,0.0026364731196784,"native","stable"
"AZC5T_39","AZC5T",207.132515607759,1.19618472193503,"no significant difference",0.000222835776214333,0.000174744937626644,"foreign","non-colonized"
"AZC5T_4","AZC5T",2487.85737532339,0.299041490849796,"significantly decreased",0.00461224864070315,0.000944756143597542,"native","unstable"
"AZC5T_41","AZC5T",6.65707057829445,1.72105348318342,"no significant difference",0.00000452526951169273,0.00000671062711499499,"foreign","non-colonized"
"AZC5T_47","AZC5T",4055.1581355511,0.356013305778118,"significantly decreased",0.00662719972055099,0.00189022484159277,"native","unstable"
"AZC5T_49","AZC5T",58.8968237827628,136.85574543763,"significantly increased",0.000000147796160982947,0.000100207764512695,"native","stable"
"AZC5T_51","AZC5T",77.4748417187015,0.284505931876946,"significantly decreased",0.000150692430929187,0.0000277983592238797,"native","unstable"
"AZC5T_52","AZC5T",342.336560600153,2.0711654395742,"significantly increased",0.000257301645694807,0.000395940585459173,"foreign","non-colonized"
"AZC5T_53","AZC5T",40.9662347622848,94.3833077950569,"significantly increased",0.000000147796160982947,0.0000689207477372765,"native","stable"
"AZC5T_58","AZC5T",35.100444682684,80.2258246765669,"significantly increased",0.000000295592321965893,0.0000583811044906745,"native","stable"
"AZC5T_61","AZC5T",33.4740830812462,51.2367721254461,"significantly increased",0.000000317911230218079,0.0000562887590499938,"native","stable"
"AZC5T_63","AZC5T",2588.35943241405,1.68169912074912,"no significant difference",0.00201759701048934,0.00286887097249171,"native","stable"
"AZC5T_64","AZC5T",5373.59181615763,1.30355796639122,"no significant difference",0.00471626650953069,0.00473672681595654,"native","stable"
"AZC5T_65","AZC5T",3540.45985606422,0.54839523589898,"no significant difference",0.00559494798207984,0.0021065269645769,"native","stable"
"AZC5T_66","AZC5T",2061.9599124015,0.674266904534972,"no significant difference",0.00249755470093582,0.00146119364562577,"native","stable"
"AZC5T_67","AZC5T",2021.94029068563,0.867446565690373,"no significant difference",0.0025154232115311,0.00160169994718881,"native","stable"
