"assembly","mouse","baseMean","fold_change","significance","mean_d0_abundance","mean_d5_abundance","type","colonization"
"AZC3J_1","AZC3J",1140.91045188926,0.961885991317164,"no significant difference",0.00116835028721404,0.00111629093065097,"native","stable"
"AZC3J_10","AZC3J",1395.52730098457,1.17392720244532,"no significant difference",0.00128725678234181,0.00150160449964045,"native","stable"
"AZC3J_13","AZC3J",1564.26326609471,0.705563590003269,"no significant difference",0.00184840148607455,0.00123855827737066,"native","stable"
"AZC3J_18","AZC3J",57152.8766296476,15.0959872166023,"significantly increased",0.0071204161711103,0.105906399394159,"native","stable"
"AZC3J_2","AZC3J",623.208097239232,0.598594549578904,"no significant difference",0.000779201252767695,0.000464053793623653,"native","stable"
"AZC3J_20","AZC3J",479.9334774726,0.99854285876129,"no significant difference",0.00048323367356491,0.000482370918175124,"foreign","non-colonized"
"AZC3J_21","AZC3J",541.993160500719,1.04111576307315,"no significant difference",0.000532507148416023,0.000562366536416803,"foreign","non-colonized"
"AZC3J_25","AZC3J",106.188175540273,59.7103525586138,"significantly increased",0.00000263206880556045,0.000205993482964013,"foreign","non-colonized"
"AZC3J_26","AZC3J",1116.36013142357,0.317148068257415,"significantly decreased",0.001698065756756,0.000537682640717422,"native","unstable"
"AZC3J_28","AZC3J",104.064119493331,0.315792709977213,"no significant difference",0.0001594710222702,0.0000501132174240103,"foreign","non-colonized"
"AZC3J_31","AZC3J",272.311594733491,0.887748397418546,"no significant difference",0.000289122217767769,0.000253887535189149,"foreign","non-colonized"
"AZC3J_32","AZC3J",653.43808877021,79.6634589268151,"significantly increased",0.0000150152790688328,0.00126181796501381,"foreign","non-colonized"
"AZC3J_34","AZC3J",4986.82423035324,1.03689286777528,"no significant difference",0.004927016922018,0.00508502860503898,"native","stable"
"AZC3J_45","AZC3J",1124.92481485795,0.81171799747326,"no significant difference",0.00124504291810244,0.00100644255392666,"native","stable"
"AZC3J_46","AZC3J",290.757558312933,1.03068518469916,"no significant difference",0.000286754395367094,0.000275025599598831,"foreign","non-colonized"
"AZC3J_49","AZC3J",41.3198292355536,1.28742589257035,"no significant difference",0.0000354609724064091,0.0000457900899520709,"foreign","non-colonized"
"AZC3J_55","AZC3J",651.255836453541,190.597184146386,"significantly increased",0.00000636517345826489,0.0013201150012426,"foreign","non-colonized"
"AZC3J_56","AZC3J",150.393308736344,0.97026130403451,"no significant difference",0.000153087194230637,0.000146822796043883,"foreign","non-colonized"
"AZC3J_57","AZC3J",14.272107780504,0.682962294119296,"no significant difference",0.0000163243145685815,0.0000103968631459155,"foreign","non-colonized"
"AZC3J_59","AZC3J",139.8976050943,1.02775443471195,"no significant difference",0.000138303990445031,0.000140412834199202,"foreign","non-colonized"
"AZC3J_6","AZC3J",6360.0126773849,1.08914550764821,"no significant difference",0.00614302453456481,0.00686577845064868,"native","stable"
"AZC3J_60","AZC3J",193.732954919297,1.14800563297353,"no significant difference",0.000179877664744511,0.000211240395630775,"foreign","non-colonized"
"AZC3J_61","AZC3J",315.133103932914,0.924140651028396,"no significant difference",0.000328503042242364,0.000301733704341052,"foreign","non-colonized"
"AZC3J_62","AZC3J",7728.75580773432,0.0286653136433717,"no significant difference",0.0152924166856766,0.000422023772221166,"native","stable"
"AZC3J_63","AZC3J",986.177584540538,0.923123483544144,"no significant difference",0.00103307222920715,0.000960445445386862,"native","stable"
"AZC3J_64","AZC3J",90.3942237769369,1.09910728344757,"no significant difference",0.000086014482238205,0.000094598393382235,"foreign","non-colonized"
"AZC3J_70","AZC3J",1308.35011115695,0.865869203675381,"no significant difference",0.00140474059229654,0.00119739418926662,"native","stable"
"AZC3J_71","AZC3J",920.699660340659,0.487317685401113,"no significant difference",0.00123629517043852,0.000601078230847142,"native","stable"
"AZC3J_73","AZC3J",356.228716477804,0.820801822524929,"no significant difference",0.000391793927684078,0.000325443921367095,"foreign","non-colonized"
"AZC3J_74","AZC3J",26589.2190412806,2321.95135482364,"significantly increased",0.0000222981200938509,0.0517138648191014,"foreign","colonized"
"AZC3J_77","AZC3J",377.425136719771,0.910476075691366,"no significant difference",0.000395102381798942,0.000351148924663825,"foreign","non-colonized"
"AZC3J_79","AZC3J",6.99315376638243,0.653268385499993,"no significant difference",0.00000760506098767622,0.00000420889243955576,"foreign","non-colonized"
"AZC3J_81","AZC3J",9430.51443214026,1.09928588012744,"no significant difference",0.00905283577352393,0.00989365914848497,"native","stable"
"AZC3J_82","AZC3J",520.901321778216,1.20871764145931,"no significant difference",0.00047308599634291,0.000571545016199279,"foreign","non-colonized"
"AZC3J_87","AZC3J",5411.6143962675,873.057664919419,"significantly increased",0.0000113902368831282,0.0108082780052737,"foreign","colonized"
"AZC3J_88","AZC3J",813.027130587407,35.6506825018929,"significantly increased",0.0000432331809020425,0.00154958768341011,"foreign","non-colonized"
"AZC3J_9","AZC3J",171.984233859323,0.491810972221446,"no significant difference",0.000231884003851943,0.000110492604480919,"foreign","non-colonized"
"AZC3J_91","AZC3J",866.570276946417,1.05735950647879,"no significant difference",0.000844494337842484,0.000884666460585928,"foreign","non-colonized"
"AZC3J_92","AZC3J",1151.51514993966,1.35573886722766,"no significant difference",0.000976757684819351,0.00130714322459829,"native","stable"
"AZC3J_95","AZC3J",683.185117415144,1.84835398797384,"no significant difference",0.000478490531389652,0.000844541264521999,"native","stable"
"AZC3J_99","AZC3J",4303.16625810133,0.378483812228532,"significantly decreased",0.0062549211972617,0.00239993164769272,"native","unstable"
