taxon,distance,sample_id,donor,recipient,mean_d0_abundance,fold_change,colonization,colonization_binary,independence,donor_diversity,recipient_diversity,diversity_ratio,donor_abd
AZC3J_9,0.218948332276238,JtoT,J,T,0.00023188400385194,0.491810972221446,non-colonized,0,14.83,3.43373291554281,3.54157208843192,0.969550479223237,0.00108250317454301
AZC3J_20,0.649047031202352,JtoT,J,T,0.00048323367356491,0.99854285876129,non-colonized,0,13.66,3.43373291554281,3.54157208843192,0.969550479223237,0.00279077331816578
AZC3J_21,0.366075020085849,JtoT,J,T,0.00053250714841602,1.04111576307315,non-colonized,0,15,3.43373291554281,3.54157208843192,0.969550479223237,0.00263032099998215
AZC3J_25,3.13172796063131,JtoT,J,T,2.63206880556e-06,59.7103525586138,non-colonized,0,8.8,3.43373291554281,3.54157208843192,0.969550479223237,0.00372341498817721
AZC3J_28,1.81405933062817,JtoT,J,T,0.0001594710222702,0.315792709977213,non-colonized,0,21.44,3.43373291554281,3.54157208843192,0.969550479223237,0.00500693115701161
AZC3J_32,0.42886638258786,JtoT,J,T,1.501527906883e-05,79.6634589268151,non-colonized,0,21.22,3.43373291554281,3.54157208843192,0.969550479223237,0.00166604060145371
AZC3J_49,2.61196031191156,JtoT,J,T,3.54609724064e-05,1.28742589257035,non-colonized,0,15.25,3.43373291554281,3.54157208843192,0.969550479223237,0.00461959417267201
AZC3J_55,5.88084939420432,JtoT,J,T,6.36517345826e-06,190.597184146386,non-colonized,0,8.96,3.43373291554281,3.54157208843192,0.969550479223237,0.0132311008271681
AZC3J_56,0.434948875675544,JtoT,J,T,0.00015308719423063,0.97026130403451,non-colonized,0,15.43,3.43373291554281,3.54157208843192,0.969550479223237,0.0029966073490803
AZC3J_57,0.506218814376833,JtoT,J,T,1.632431456858e-05,0.682962294119296,non-colonized,0,3.02,3.43373291554281,3.54157208843192,0.969550479223237,0.0022042615656964
AZC3J_59,0.718395622848455,JtoT,J,T,0.00013830399044503,1.02775443471195,non-colonized,0,13.07,3.43373291554281,3.54157208843192,0.969550479223237,0.00321537057123428
AZC3J_61,0.332487274451105,JtoT,J,T,0.00032850304224236,0.924140651028396,non-colonized,0,16.16,3.43373291554281,3.54157208843192,0.969550479223237,0.00137559099334246
