taxon,donor,donor_abd
AZC3J_13,C,0.00112697279799133
AZC3J_18,C,0.00652994452033371
AZC3J_28,C,0.00124144966154271
AZC3J_3,C,0.00102917854809112
AZC3J_34,C,0.00334891464615622
AZC3J_46,C,0.00121119290471012
AZC3J_51,C,0.00183868298339302
AZC3J_55,C,0.00183685743952635
AZC3J_64,C,0.0010382431058123
AZC3J_73,C,0.00135892305075464
AZC3J_74,C,0.00299393748080737
AZC3J_76,C,0.00805089673362314
AZC3J_79,C,0.00149444317387499
AZC3J_80,C,0.00531568150999541
AZC3J_81,C,0.00103241154492784
AZC3J_87,C,0.0119676780737841
AZC3J_91,C,0.00111626343341504
AZC3J_99,C,0.00145017130932965
AZC5T_104,C,0.00106287715073152
AZC5T_107,C,0.00887974548098104
AZC5T_109,C,0.00149299562816683
AZC5T_119,C,0.00110006823055418
AZC5T_120,C,0.00133432155486683
AZC5T_122,C,0.00135418092930838
AZC5T_14,C,0.00224073427380195
AZC5T_19,C,0.00492652384000024
AZC5T_22,C,0.00121580146881621
AZC5T_26,C,0.00111628031474413
AZC5T_30,C,0.00128747321373441
AZC5T_37,C,0.00166407431306826
AZC5T_38,C,0.00226493916568254
AZC5T_44,C,0.00433160082745968
AZC5T_57,C,0.00156050644446396
AZC5T_64,C,0.00377654949058466
AZC5T_66,C,0.00547105947533756
AZC5T_68,C,0.00348883905424741
AZC5T_69,C,0.0024471055054213
AZC5T_78,C,0.00142102362666187
AZC5T_8,C,0.00205705256398713
AZC5T_80,C,0.00305704936539615
AZC5T_85,C,0.00195963834685264
AZC5T_87,C,0.00161794663627634
AZC5T_93,C,0.00663609706096819
AZC5T_94,C,0.00891450993121277
AZC5T_97,C,0.0255720512496273
AZC5T_98,C,0.00168424829330767
AZC7E_109,C,0.0027537467191685
AZC7E_114,C,0.00219958126205081
AZC7E_12,C,0.00221297626178767
AZC7E_15,C,0.0116366875331291
AZC7E_16,C,0.00184362804230428
AZC7E_25,C,0.00226167674674075
AZC7E_29,C,0.0016583878515645
AZC7E_39,C,0.0486409448037517
AZC7E_45,C,0.00606628398735759
AZC7E_51,C,0.00167754437934131
AZC7E_54,C,0.00485628526488685
AZC7E_57,C,0.00165109549433303
AZC7E_59,C,0.00101057482270251
AZC7E_60,C,0.00159530504165245
AZC7E_61,C,0.0076897872459555
AZC7E_64,C,0.00401192826560343
AZC7E_69,C,0.00212943280538323
AZC7E_70,C,0.00116444902764972
AZC7E_73,C,0.0336757711458629
AZC7E_77,C,0.00172919486471091
AZC7E_78,C,0.00110127915092205
AZC7E_82,C,0.00146929660159025
