taxon,colonization_binary,distance,independence,mean_d0_abundance,diversity_ratio
AZC3J_9,0,0.218948332276238,14.83,0.00023188400385194,0.969550479223237
AZC3J_20,0,0.649047031202352,13.66,0.00048323367356491,0.969550479223237
AZC3J_21,0,0.366075020085849,15,0.00053250714841602,0.969550479223237
AZC3J_25,0,3.13172796063131,8.8,2.63206880556e-06,0.969550479223237
AZC3J_28,0,1.81405933062817,21.44,0.0001594710222702,0.969550479223237
AZC3J_32,0,0.42886638258786,21.22,1.501527906883e-05,0.969550479223237
AZC3J_49,0,2.61196031191156,15.25,3.54609724064e-05,0.969550479223237
AZC3J_55,0,5.88084939420432,8.96,6.36517345826e-06,0.969550479223237
AZC3J_56,0,0.434948875675544,15.43,0.00015308719423063,0.969550479223237
AZC3J_57,0,0.506218814376833,3.02,1.632431456858e-05,0.969550479223237
AZC3J_59,0,0.718395622848455,13.07,0.00013830399044503,0.969550479223237
AZC3J_61,0,0.332487274451105,16.16,0.00032850304224236,0.969550479223237
AZC3J_64,0,1.86262832514001,14.69,8.60144822382e-05,0.969550479223237
AZC3J_73,0,0.253927201878515,15.02,0.00039179392768407,0.969550479223237
AZC3J_74,1,12.3822936695738,21.95,2.229812009385e-05,0.969550479223237
AZC3J_77,0,0.269004493977111,16.6,0.00039510238179894,0.969550479223237
AZC3J_79,0,5.33816935156181,3.32,7.60506098767e-06,0.969550479223237
AZC3J_82,0,3.48070623549275,15.71,0.00047308599634291,0.969550479223237
AZC3J_87,1,10.4280701330805,17.24,1.139023688312e-05,0.969550479223237
AZC3J_88,0,0.761876553052929,21.87,4.323318090204e-05,0.969550479223237
AZC3J_91,0,0.370610225747873,14.65,0.00084449433784248,0.969550479223237
AZC5T_21,0,0.306970774213491,13.42,0.00028846881150108,0.969550479223237
AZC5T_22,0,1.71109149702498,21.31,0.00014095415809029,0.969550479223237
AZC5T_69,0,3.36128999819508,16.7,0.00038042880112886,0.969550479223237
AZC5T_87,0,1.24422459286173,3.66,6.318252276115e-05,0.969550479223237
AZC5T_98,0,0.884894576496688,8.38,2.80367714143e-06,0.969550479223237
AZC5T_106,1,5.44796162832147,18.45,2.46830043269e-06,0.969550479223237
AZC7E_4,1,4.04450275214751,15.54,1.01481114921e-06,0.969550479223237
AZC7E_16,0,0.786055287371896,8.68,1.708605372547e-05,0.969550479223237
AZC7E_25,1,3.31517277042275,21.26,4.570483067947e-05,0.969550479223237
AZC7E_34,0,0.478472749851391,13.03,0.00024572190425294,0.969550479223237
AZC7E_54,0,1.3366736167828,20.95,2.446042133632e-05,0.969550479223237
AZC7E_60,0,0.32125086910269,20.98,2.36192008564e-06,0.969550479223237
AZC7E_70,0,0.475067572426963,19.64,1.58002527963e-06,0.969550479223237
AZC7E_74,0,0.48994265352345,17.53,0.00030415374739939,0.969550479223237
AZC7E_116,0,3.03365590387444,6.12,7.1213105137e-06,0.969550479223237
AZC9C_6,0,0.406895237004574,22.55,2.05285686907e-06,0.969550479223237
AZC9C_7,1,3.66373662359638,22.1,2.74152807413e-06,0.969550479223237
AZC9C_25,0,0.378863082116966,22.61,0.00025291464528406,0.969550479223237
AZC9C_30,0,0.372264911201836,3.26,2.494894774695e-05,0.969550479223237
AZC9C_68,0,1.08339759463144,22.38,0.00044193118268263,0.969550479223237
AZC9C_69,0,2.94020132808439,10.78,8.346103880041e-05,0.969550479223237
AZC9C_80,0,0.373029077242435,9.47,5.653405873206e-05,0.969550479223237
AZC9C_81,0,0.266070480598569,14.89,0.00037293474747311,0.969550479223237
