,33-0,D-15U,77-6,22-6,90-6,16-0,D-6Fryst,D-6Fresk,78-6,12-6,11-6,75-0,89-6,89-0,31-0,12-0,D-7Fryst,D-15Fryst,24-6,66-6,88-0,D-13U,D-4,23-0,19-6,D-9Feresk,24-0,18-0,3-6,77-0,D-12,25-6,25-0,64-6,11-0,54-0,D-9Fryst,30-6,66-0,D-3,32-6,D-10,32-0,56-6,56-0,59-6,71-0,37-0,3-0,D-2,59-0,64-0,30-0,31-6,22-0,70-0,90-0,81-0,D-5Fryst,18-6,88-6,D-14,D-14U,78-0,16-6,19-0,75-6,36-0
33-0,0.0,0.6322112631239667,0.7574824355042502,0.6155087755020388,0.3927110532270393,0.6155914820984021,0.5030974482867264,0.6138091946586879,0.49517884969480613,0.8108878429549866,0.5388974614062327,0.623571281411607,0.5155358719745604,0.45370577611717433,0.4375204132083132,0.6034074626036479,0.6695540755344679,0.5424667869537467,0.47065373825756013,0.5322894612279865,0.44850608069582026,0.4938462513832371,0.6518290060515979,0.5602593661401774,0.562379160774831,0.7355248688179591,0.6755834827583371,0.7726384356229465,0.5281233671865088,0.8054695107499722,0.4781694749721006,0.5062997456086501,0.2881243215779967,0.5804608905990009,0.5963776753936447,0.4799116860733319,0.5348426281639731,0.492695135542871,0.5581753303096259,0.5885750617655252,0.49724283040551376,0.5265238832874275,0.44563031566650435,0.4853154528501851,0.5634312143524759,0.5644096058823628,0.7089785294585879,0.7285194593554334,0.48224221556991936,0.6198978009988031,0.5065194095440361,0.3999376765991535,0.3343201640309228,0.520724298675375,0.756244005698929,0.6507949151794885,0.451946935042788,0.4716203840942431,0.6280838692427244,0.8655416119747223,0.4168026412500483,0.5024786519484415,0.47991578195652057,0.6000177159559636,0.542472095126332,0.7065048177736947,0.7089906400192203,0.4413227548031963
D-15U,0.6322112631239667,0.0,0.7147447496589646,0.5271339673960337,0.6140904330161926,0.6088370274070689,0.6687627840225893,0.6391342150048366,0.6988390829580526,0.7776876136244486,0.7574666435198459,0.5683358112737581,0.5325303790161554,0.619702602537551,0.6101259411605383,0.5722107302008818,0.7201401137918364,0.37091836871037615,0.6321699292229652,0.46652118545162097,0.6735947502060771,0.614115020814847,0.7072489731641379,0.5993531011396387,0.7237147945946285,0.7696112695256441,0.6442764230390744,0.7751606025178831,0.5569998246600311,0.79242409006266,0.4903476178933544,0.4428134648813013,0.6143809373877877,0.6697585335221529,0.6047368073596068,0.5218414879056795,0.7225049537793614,0.6250291081071213,0.5855447868474848,0.6118375249110749,0.44660243660362126,0.6513244809516606,0.4436464215265598,0.606309001581188,0.5146161220227585,0.4831478519864802,0.6999574021625983,0.7111451233212862,0.5659987160513382,0.6320057747380895,0.5610352924550429,0.6418619426344226,0.5731609808992878,0.5442432832914559,0.5807827867044509,0.41772887579305845,0.7061157695371182,0.6323285877960299,0.7142599648619531,0.8163569561958063,0.5912247429254565,0.6259029447266731,0.6316880882189944,0.778636159898763,0.6033230265338833,0.5626343447559815,0.44201192614664747,0.45521475516610005
77-6,0.7574824355042502,0.7147447496589646,0.0,0.6295448537902459,0.7548214669260842,0.6214312669214133,0.7974771536551432,0.7599833044263506,0.7638911976026896,0.6524810445794018,0.7975593364441929,0.6495266290427646,0.5941876872936672,0.6650414692280991,0.7514686721344475,0.5257444170046484,0.8237930246696121,0.7441407129711186,0.7039983242004529,0.590956641475724,0.7462597465960097,0.7776581782450248,0.8086554666840992,0.778460692933466,0.7531169824604502,0.8466662729850888,0.6138985026727037,0.6468598540743721,0.5883569282174439,0.5801304232744392,0.7186744129185754,0.7574031159148097,0.694902727570107,0.7815948690828896,0.6648946262801704,0.7446042351793198,0.8068172787159339,0.7443670403372329,0.6222460743545456,0.8003811200077986,0.5989309391469666,0.7832039023019387,0.7835807240117056,0.6516403138554315,0.5668914635277607,0.734309716380951,0.4227731273888506,0.6251285659181526,0.6518633530265648,0.8039775218518876,0.6849652022335858,0.7646957831987685,0.6462527264475828,0.6439895372128267,0.7831925660776204,0.5916934045284793,0.784642203567497,0.7328854274896356,0.8148745469562454,0.6754399495307326,0.6626784717518561,0.7806297034927652,0.7818501855562481,0.7946453081561928,0.740121893923017,0.7933439927238474,0.7252676144584375,0.7010474898627252
22-6,0.6155087755020388,0.5271339673960337,0.6295448537902459,0.0,0.6284853039118199,0.5864507164963914,0.733448208080125,0.6664875893532735,0.6914960080747099,0.7779651090649735,0.7848245973778252,0.5713120048387211,0.49796599357628996,0.6209516314424471,0.5819607648693342,0.6068436366479915,0.729616057000347,0.5338736218535638,0.5847472500125059,0.4216021579467042,0.6704807119761499,0.6478038226140502,0.7295836535912269,0.6792373452975634,0.7448042428381102,0.7844328265797733,0.6384022092189069,0.7330896157169883,0.492838203272948,0.760912428498919,0.549450857397141,0.6152931427660225,0.6162198678534153,0.7011619250888618,0.6248300408743044,0.6377888574152554,0.7464308486919351,0.6050211619461332,0.5251960795004549,0.7071766498347062,0.46099441935074537,0.6787769297472463,0.6548217101606605,0.6002274022563691,0.485924578914105,0.6355564002504733,0.6064563194616189,0.6269661098569004,0.5668507918388469,0.6709874791911317,0.5638683275525461,0.7090067931205533,0.5369959288924038,0.46763691291320564,0.5237924380732673,0.4854684408335318,0.7027112392531758,0.6089790612057883,0.7246821458130993,0.7768528249431701,0.549418694682866,0.6192306389952532,0.6192600332803867,0.7429093762584633,0.6767248875602738,0.5814338317845885,0.6369974975489573,0.5151750909536528
90-6,0.3927110532270393,0.6140904330161926,0.7548214669260842,0.6284853039118199,0.0,0.6847951177187173,0.4058292322336512,0.4710493275633755,0.5256210435462215,0.8136915396254063,0.38879684876503784,0.5107451777899861,0.4596217470288361,0.44926700405641523,0.356073198639957,0.5396963551503623,0.555224348337539,0.441755502465719,0.4196788859137113,0.49393773975011646,0.36436361728582295,0.43726384506795474,0.5472018341212668,0.49450287717492464,0.4651737597808898,0.6166439550950513,0.5955420423102228,0.7405960544019531,0.497155685359162,0.7723357690104713,0.3913228102656141,0.41889653646661523,0.40003006649566575,0.4335138962291934,0.6896181855931468,0.3807546919338408,0.4100924527208477,0.37618203416224716,0.5421974558126218,0.47572667913852457,0.5141657730761859,0.39816278167991315,0.46211281115973507,0.48030257963205025,0.6440972665268767,0.48826733522327126,0.6556681829505683,0.7052858626773917,0.4622663488479339,0.5297892265280332,0.5700816883069287,0.4381188415244752,0.36937384391580647,0.49180679308279857,0.8019114848282495,0.6667991631180286,0.34476442486260933,0.400561377225768,0.5276754355398886,0.8389035701796101,0.3483705982513366,0.4575812846887774,0.4397055350646797,0.6566555995693272,0.4063157153983932,0.5860734242439704,0.6738708748128018,0.42967961711993585
16-0,0.6155914820984021,0.6088370274070689,0.6214312669214133,0.5864507164963914,0.6847951177187173,0.0,0.8517907055936781,0.8236756746228928,0.6605600863781295,0.7686060885289235,0.8043570333460448,0.6715199041507086,0.5790192367084549,0.6356017318242659,0.7248617035019638,0.5440960954092563,0.8699509656199548,0.6804530350490682,0.7541550536108456,0.6105817925227893,0.7921477986379954,0.8297709431872113,0.8618600812621968,0.7245829685718039,0.8337370356031029,0.9051724230269935,0.6565418412708289,0.8019420528555543,0.6731193863891919,0.658318048900001,0.7174462639877102,0.6787112773299252,0.5603401335399266,0.844742136571233,0.1374150003409967,0.7105423239939929,0.9087975481781247,0.7706431564906441,0.6277375712700162,0.8028151514958035,0.5303019071987376,0.8463682978720956,0.5662732859984393,0.6943472210013856,0.4078782004495075,0.6812546465929337,0.6461816750173787,0.6840636068547913,0.6281831911722253,0.7781310115857233,0.43409142082444097,0.52879588021384,0.48393308213178643,0.5790112679516981,0.6575216781065164,0.5092676993177288,0.7828681591692738,0.7512376174924369,0.8466440771294976,0.7841671352731441,0.6710027284329786,0.8091038021289492,0.8312467114548595,0.6293019639663177,0.7257872035199748,0.6833876219275142,0.5903827643746264,0.5403404244592477
D-6Fryst,0.5030974482867264,0.6687627840225893,0.7974771536551432,0.733448208080125,0.4058292322336512,0.8517907055936781,0.0,0.3298586548138945,0.7314580594249286,0.8689058148043504,0.5783293325925708,0.5982655564043341,0.5697320998805119,0.47759606933347376,0.5056809887633031,0.6324920208588201,0.43488121311941447,0.4454230936624557,0.49058907220442605,0.583417864223074,0.36911740173436947,0.2101329554722235,0.3957970363414795,0.60536755999034,0.38678410409723013,0.5470616980192706,0.630286720474036,0.7852393615618418,0.560521203995442,0.8329505779082953,0.32646986534116584,0.5542382914665192,0.49157999996116336,0.3643065722505809,0.8543654995932153,0.4452706556820952,0.21337816724961298,0.5262091738800984,0.5687982804947587,0.2821431884148543,0.6115872006264726,0.17902447308159927,0.5911754542049528,0.4824455428444934,0.727318880398217,0.6157883243396739,0.6743401780713658,0.7986193406544598,0.4520090411882573,0.46532212463291805,0.7510275993777691,0.5145078790018927,0.5581370089697903,0.6732351620352368,0.8883485001533271,0.7417365734204513,0.3724867234938002,0.47740054140046445,0.3608046526539039,0.9004613618960036,0.39728691735598903,0.42062161638918794,0.3457956575051397,0.8464730211417181,0.48010081034949875,0.7333651734918863,0.7930805816620556,0.5785402455128053
D-6Fresk,0.6138091946586879,0.6391342150048366,0.7599833044263506,0.6664875893532735,0.4710493275633755,0.8236756746228928,0.3298586548138945,0.0,0.7355150304378015,0.8359401636939309,0.6501852612998127,0.5198810841188919,0.5862352329169138,0.6156945427682028,0.5053944126391171,0.6070818454059235,0.22753837233938717,0.45271823848072873,0.5209016598329907,0.5446685325194979,0.45933819459480774,0.3356179030722328,0.25245117687611457,0.6482220223329843,0.4229457754904337,0.394331334323522,0.5530405096117369,0.741240909185773,0.5541232149455791,0.8112140802457672,0.38910745785931083,0.5848693677109023,0.5723602385195172,0.4079183959064376,0.8154155918560073,0.4927950415572021,0.2534872619971289,0.5331239178862518,0.48527430329318905,0.24243378502878712,0.6437756843523066,0.2807693076493704,0.6980429700116617,0.4806683774931119,0.7130218067033046,0.6236852193248745,0.6317365826420906,0.7579372923942094,0.5601951139403434,0.3337389718060294,0.7823545587737866,0.5697008957096698,0.6128198675779454,0.6183605228048779,0.8350244572271954,0.684135395923633,0.4652872024723579,0.48895668006835663,0.23351985922641147,0.8443168047468962,0.49195794186356157,0.46171622394186235,0.41645999429095704,0.8138845977177106,0.46474990590491666,0.7229379901879722,0.7963578010718438,0.6116153511443047
78-6,0.49517884969480613,0.6988390829580526,0.7638911976026896,0.6914960080747099,0.5256210435462215,0.6605600863781295,0.7314580594249286,0.7355150304378015,0.0,0.8199785919870362,0.5247132419777528,0.6646492366490635,0.5840429918213975,0.6567488753904098,0.6061723678913867,0.5907882146684182,0.7907654172085753,0.6039958008892881,0.6132312542034567,0.671785181102731,0.6791915563255636,0.7174789520772143,0.7774092360138334,0.589928006298536,0.7552376825004447,0.8333843794697734,0.7604518530795547,0.8143920234221089,0.6795650878835507,0.840250279063526,0.6992355351435826,0.6153594395496732,0.5745053369522801,0.7237741585601472,0.5885051371113446,0.6273076547170618,0.7305496729108907,0.5869690306222032,0.7176121820419376,0.7744558004016516,0.6507586222183077,0.714576760263604,0.6822818012172486,0.6262599460570109,0.7059271393179833,0.5729358603998748,0.7535923607807028,0.7266427115622981,0.6867303373903964,0.781327804985854,0.6308417396617221,0.5049848280284189,0.4961137118069876,0.6147354508329682,0.8416275310355218,0.7557932938954113,0.663676856024439,0.6317765194064329,0.7952800995328838,0.8838090484518157,0.6201335887483044,0.6837956776367748,0.7054637781747461,0.28162269819432895,0.6757047730377003,0.6606651134788621,0.7387650548167362,0.6119334551383634
12-6,0.8108878429549866,0.7776876136244486,0.6524810445794018,0.7779651090649735,0.8136915396254063,0.7686060885289235,0.8689058148043504,0.8359401636939309,0.8199785919870362,0.0,0.8522761180922954,0.7991487142606459,0.7759699259656102,0.7706670209416697,0.8260470935979137,0.6285471665836598,0.8851268271940796,0.8076771574494814,0.8282901890079778,0.7189054528232399,0.8288977211122124,0.859148296701569,0.870326572189158,0.8187754421090542,0.8025628411689572,0.9004035159954253,0.7597410580898568,0.6339337192725961,0.614477030836799,0.7728766693218143,0.825435562866772,0.8230656335178642,0.8064147564596921,0.85111059138035,0.7771247009588239,0.8310920612081307,0.8836844106367424,0.8234045055136142,0.734853674769297,0.867252257108618,0.776008385806663,0.865066736054816,0.856913421379714,0.7832741709525579,0.7516925839214401,0.8116670769164471,0.693876083744491,0.5310611128538208,0.7851935226832327,0.8701321568437143,0.8194551441116167,0.8217016231992712,0.7438405815752009,0.7721302230831673,0.8541745922616998,0.6925900895195696,0.8251555396069055,0.8252625654132784,0.8840906642419337,0.6463968994494007,0.7971405102296666,0.8363348687092624,0.8567404883948911,0.8398920399350448,0.8215944260952882,0.8354924960588186,0.8077628165206653,0.7767274631833987
