day,group,n_recipients,rho_fc,sd_fc,rho_abundance
2,Allogenic,5,0.395217011902037,0.20736357142233686,0.7927263924006707
2,Autologous,5,0.13998075546910344,0.16303199547972563,0.7940822762010852
2,all,10,0.23855122166859843,0.20289226232865556,0.7872585650796385
14,Allogenic,5,0.20976623819749785,0.14877475694672507,0.8118430381696693
14,Autologous,5,0.14371117380571308,0.09385967973292877,0.8775414472008899
14,all,10,0.1826351039801166,0.1562724730982853,0.8333725834136554
42,Allogenic,5,-0.11336839556976683,0.12199872286915381,0.732284287033956
42,Autologous,5,-0.014091991899361677,0.09112621588289428,0.7716705183411752
42,all,10,0.042197580581490556,0.10712203449154657,0.7622063747344339
84,Allogenic,5,0.17296279169526518,0.06412270389963302,0.7618331759404275
84,Autologous,5,0.23674829460540295,0.2262973877234442,0.8166353544926042
84,all,10,0.1878507898232028,0.127439565724632,0.7813245267422251
