sample,shannonD
ERR12542609,4.160936703204221
ERR12542610,3.80412546973463
ERR12542611,4.287324503365312
ERR12542612,3.6741720168357146
ERR12542613,4.040812575753463
ERR12542614,3.70528316793948
ERR12542615,4.117182169383834
ERR12542616,3.984960594506788
ERR12542617,4.24429520906242
ERR12542618,4.102657596214865
ERR12542619,3.625441984244107
ERR12542620,3.6022866384506464
ERR12542621,4.332347902262464
ERR12542622,3.640974386701848
ERR12542623,4.199023776368019
ERR12542624,4.224453264782619
ERR12542625,4.176170275666437
ERR12542626,4.513472936118356
ERR12542627,4.047028006060408
ERR12542628,3.862589723533965
ERR12542629,4.236540720070926
ERR12542630,4.438636648489912
ERR12542631,4.492695296991374
ERR12542632,4.075268403037141
ERR12542633,4.174041256581074
ERR12542634,4.49520136670838
ERR12542635,4.14613491517233
ERR12542636,4.363649213503633
ERR12542637,4.261423567549279
ERR12542638,4.425266182544247
ERR12542639,3.922635190638029
ERR12542640,3.4476637179849705
ERR12542641,3.691905803586991
ERR12542642,3.4044528415154462
ERR12542643,3.6507752459636484
ERR12542644,2.6688948998749806
ERR12542645,2.366858751643847
ERR12542646,3.46458844586588
ERR12542647,3.5203236900001125
ERR12542648,3.821579110786029
ERR12542649,4.124086446201185
ERR12542650,4.468741112778556
ERR12542651,4.547366388778249
ERR12542652,3.9730531575932306
ERR12542653,4.440438379379168
ERR12542654,3.6809180942543263
ERR12542655,3.799874471144192
ERR12542656,3.7469334792622426
ERR12542657,3.955551688638196
ERR12542658,3.7940942239156477
ERR12542659,3.926022666741896
ERR12542660,4.102755176449225
ERR12542661,4.102937937714261
ERR12542662,4.082450931084729
ERR12542663,4.465054673442375
