taxon,average_distance,recipient,donor_subject,n_donor_replicates_used
818,4.132934798890701,FAT_006,FAT_DON_11,3
904,2.2354410270995837,FAT_006,FAT_DON_11,3
205913,6.2738036132792665,FAT_006,FAT_DON_11,3
206672,6.114363576550159,FAT_006,FAT_DON_11,3
207244,1.311986796758137,FAT_006,FAT_DON_11,3
213810,5.267243398945746,FAT_006,FAT_DON_11,3
226186,7.162643453755244,FAT_006,FAT_DON_11,3
246198,1.8654138450790587,FAT_006,FAT_DON_11,3
246201,0.0,FAT_006,FAT_DON_11,3
264199,4.517010551825996,FAT_006,FAT_DON_11,3
264731,2.7120382023279803,FAT_006,FAT_DON_11,3
272559,3.396185143556282,FAT_006,FAT_DON_11,3
272621,3.984626741711936,FAT_006,FAT_DON_11,3
295405,4.2740057205906465,FAT_006,FAT_DON_11,3
314315,2.6511077471921234,FAT_006,FAT_DON_11,3
321967,3.5018369022221,FAT_006,FAT_DON_11,3
326426,2.04965279116624,FAT_006,FAT_DON_11,3
347253,4.011384084646211,FAT_006,FAT_DON_11,3
349741,1.9445267927768322,FAT_006,FAT_DON_11,3
367928,9.738216683400202,FAT_006,FAT_DON_11,3
391904,4.351090370391134,FAT_006,FAT_DON_11,3
398513,2.3793826931927473,FAT_006,FAT_DON_11,3
409438,2.758244312118618,FAT_006,FAT_DON_11,3
411459,7.9351218529522045,FAT_006,FAT_DON_11,3
411460,4.527953071465155,FAT_006,FAT_DON_11,3
411461,12.80445587808324,FAT_006,FAT_DON_11,3
411462,16.080737677648482,FAT_006,FAT_DON_11,3
411463,4.574105918685276,FAT_006,FAT_DON_11,3
411464,7.616796000985642,FAT_006,FAT_DON_11,3
411466,1.3998210213379334,FAT_006,FAT_DON_11,3
411467,4.8785919297945535,FAT_006,FAT_DON_11,3
411468,4.9032188275449196,FAT_006,FAT_DON_11,3
411469,13.582280252276922,FAT_006,FAT_DON_11,3
411470,6.032672290184976,FAT_006,FAT_DON_11,3
411471,8.695085892233084,FAT_006,FAT_DON_11,3
411473,6.553925263768317,FAT_006,FAT_DON_11,3
411474,9.015812341446898,FAT_006,FAT_DON_11,3
411475,7.320949155430554,FAT_006,FAT_DON_11,3
411476,4.653111616779993,FAT_006,FAT_DON_11,3
411477,10.267095445220283,FAT_006,FAT_DON_11,3
411479,7.755968819160387,FAT_006,FAT_DON_11,3
411483,11.203937349985074,FAT_006,FAT_DON_11,3
411484,9.808295613181347,FAT_006,FAT_DON_11,3
411485,11.38838071930155,FAT_006,FAT_DON_11,3
411486,9.205749538255276,FAT_006,FAT_DON_11,3
411487,9.394781769332555,FAT_006,FAT_DON_11,3
411489,13.080185650412687,FAT_006,FAT_DON_11,3
411490,5.55797130531644,FAT_006,FAT_DON_11,3
411901,1.0119014203782521,FAT_006,FAT_DON_11,3
411902,4.6593543430748285,FAT_006,FAT_DON_11,3
411903,14.72669035496178,FAT_006,FAT_DON_11,3
420247,5.065351211865121,FAT_006,FAT_DON_11,3
428125,4.044484852488064,FAT_006,FAT_DON_11,3
428126,1.02981136701441,FAT_006,FAT_DON_11,3
428127,5.550935685657187,FAT_006,FAT_DON_11,3
428128,6.918010451293672,FAT_006,FAT_DON_11,3
435590,11.91402057936441,FAT_006,FAT_DON_11,3
435591,7.454044095363937,FAT_006,FAT_DON_11,3
435830,1.852510934426272,FAT_006,FAT_DON_11,3
442563,2.3929410962976263,FAT_006,FAT_DON_11,3
445970,8.25473156448561,FAT_006,FAT_DON_11,3
445972,6.947077765294476,FAT_006,FAT_DON_11,3
445973,5.782498867560718,FAT_006,FAT_DON_11,3
445975,2.963544366221452,FAT_006,FAT_DON_11,3
449673,4.866916399856039,FAT_006,FAT_DON_11,3
450749,2.06912647520005,FAT_006,FAT_DON_11,3
451640,8.348410547513835,FAT_006,FAT_DON_11,3
457387,3.849157377504829,FAT_006,FAT_DON_11,3
457388,6.181677797299827,FAT_006,FAT_DON_11,3
457390,1.6817464391274164,FAT_006,FAT_DON_11,3
457391,6.750824908392549,FAT_006,FAT_DON_11,3
457392,2.585667403547084,FAT_006,FAT_DON_11,3
457393,10.58520122992193,FAT_006,FAT_DON_11,3
457394,8.09436180055919,FAT_006,FAT_DON_11,3
457395,6.394036133642767,FAT_006,FAT_DON_11,3
457412,12.376856959935472,FAT_006,FAT_DON_11,3
457416,2.077315021469968,FAT_006,FAT_DON_11,3
457421,3.7017728647236416,FAT_006,FAT_DON_11,3
457424,3.4911894043683787,FAT_006,FAT_DON_11,3
469585,3.258349484326851,FAT_006,FAT_DON_11,3
469588,2.963925368185098,FAT_006,FAT_DON_11,3
469589,5.004276547847062,FAT_006,FAT_DON_11,3
469590,4.080461158753521,FAT_006,FAT_DON_11,3
469591,6.660886924094201,FAT_006,FAT_DON_11,3
469592,6.533976008699163,FAT_006,FAT_DON_11,3
469593,8.2737050034132,FAT_006,FAT_DON_11,3
469596,3.6636329585637157,FAT_006,FAT_DON_11,3
469610,1.7388086297456882,FAT_006,FAT_DON_11,3
470145,3.6285056116687806,FAT_006,FAT_DON_11,3
470146,9.88720754622362,FAT_006,FAT_DON_11,3
471870,2.2295704499867957,FAT_006,FAT_DON_11,3
471872,1.629432033682074,FAT_006,FAT_DON_11,3
471875,6.81013291037792,FAT_006,FAT_DON_11,3
473819,2.404408627213808,FAT_006,FAT_DON_11,3
476272,5.125248629945079,FAT_006,FAT_DON_11,3
478749,4.119809800810627,FAT_006,FAT_DON_11,3
479436,2.412482668692355,FAT_006,FAT_DON_11,3
479437,5.670328781890838,FAT_006,FAT_DON_11,3
483215,6.818864892223978,FAT_006,FAT_DON_11,3
483216,4.20526888768357,FAT_006,FAT_DON_11,3
483217,5.5144872641372755,FAT_006,FAT_DON_11,3
483218,6.150589493856525,FAT_006,FAT_DON_11,3
484018,8.274681127432517,FAT_006,FAT_DON_11,3
484020,7.523066671489047,FAT_006,FAT_DON_11,3
500632,6.569270845808227,FAT_006,FAT_DON_11,3
500635,2.5722351252631337,FAT_006,FAT_DON_11,3
511680,8.6939381243486,FAT_006,FAT_DON_11,3
515619,10.218818258423077,FAT_006,FAT_DON_11,3
515620,12.139076345002264,FAT_006,FAT_DON_11,3
518635,11.882052378252553,FAT_006,FAT_DON_11,3
518636,5.847471393991988,FAT_006,FAT_DON_11,3
518637,7.771895802382474,FAT_006,FAT_DON_11,3
521003,3.6156381839615377,FAT_006,FAT_DON_11,3
525259,3.95204030457799,FAT_006,FAT_DON_11,3
525306,3.824583198715898,FAT_006,FAT_DON_11,3
525337,3.2477461964047327,FAT_006,FAT_DON_11,3
525362,3.8530410936706736,FAT_006,FAT_DON_11,3
536231,7.6161894673522355,FAT_006,FAT_DON_11,3
537006,2.1997000652107315,FAT_006,FAT_DON_11,3
537007,6.084752526808708,FAT_006,FAT_DON_11,3
537011,9.553250769757526,FAT_006,FAT_DON_11,3
537012,5.010414218997756,FAT_006,FAT_DON_11,3
537013,3.9831272636222743,FAT_006,FAT_DON_11,3
537937,6.334768972930381,FAT_006,FAT_DON_11,3
537973,3.2281960263245075,FAT_006,FAT_DON_11,3
543734,2.1290989942621734,FAT_006,FAT_DON_11,3
545696,5.526455161127733,FAT_006,FAT_DON_11,3
545697,4.016057692777646,FAT_006,FAT_DON_11,3
546273,5.697055921152438,FAT_006,FAT_DON_11,3
547042,5.340557748856955,FAT_006,FAT_DON_11,3
547043,4.485947448545402,FAT_006,FAT_DON_11,3
548480,6.48653356174976,FAT_006,FAT_DON_11,3
552396,6.447504339707685,FAT_006,FAT_DON_11,3
552398,7.664811989739917,FAT_006,FAT_DON_11,3
552531,2.41554490268869,FAT_006,FAT_DON_11,3
553174,3.4481563348759408,FAT_006,FAT_DON_11,3
555970,2.4171072735057693,FAT_006,FAT_DON_11,3
556258,3.0104555895940703,FAT_006,FAT_DON_11,3
556259,1.5485741333666292,FAT_006,FAT_DON_11,3
556270,0.9720142808757882,FAT_006,FAT_DON_11,3
563192,2.8344003629837027,FAT_006,FAT_DON_11,3
563193,6.318494087718878,FAT_006,FAT_DON_11,3
565040,6.088962385949948,FAT_006,FAT_DON_11,3
565042,6.321786881794942,FAT_006,FAT_DON_11,3
566550,4.679113074173261,FAT_006,FAT_DON_11,3
566552,5.718796870050908,FAT_006,FAT_DON_11,3
568703,1.6544677991636656,FAT_006,FAT_DON_11,3
568816,2.488280512852272,FAT_006,FAT_DON_11,3
573236,2.4138267207615933,FAT_006,FAT_DON_11,3
580050,2.4028482061588394,FAT_006,FAT_DON_11,3
585394,8.98534711090619,FAT_006,FAT_DON_11,3
585543,10.448374400650119,FAT_006,FAT_DON_11,3
585544,1.1675051748415817,FAT_006,FAT_DON_11,3
591001,2.34735146453789,FAT_006,FAT_DON_11,3
592028,0.0,FAT_006,FAT_DON_11,3
622312,8.738421888833718,FAT_006,FAT_DON_11,3
626522,1.599664840009104,FAT_006,FAT_DON_11,3
626939,8.831856398240708,FAT_006,FAT_DON_11,3
633147,5.683493143897579,FAT_006,FAT_DON_11,3
641112,3.1025351611659935,FAT_006,FAT_DON_11,3
645463,4.321842037525521,FAT_006,FAT_DON_11,3
649757,8.01423827562003,FAT_006,FAT_DON_11,3
649764,2.4524601047075874,FAT_006,FAT_DON_11,3
657308,6.194457903214374,FAT_006,FAT_DON_11,3
657309,1.7422134280086887,FAT_006,FAT_DON_11,3
657313,9.606982791802537,FAT_006,FAT_DON_11,3
657314,7.693537449336783,FAT_006,FAT_DON_11,3
657317,10.026555706472097,FAT_006,FAT_DON_11,3
657319,8.446434098843257,FAT_006,FAT_DON_11,3
657321,10.992250388452801,FAT_006,FAT_DON_11,3
657322,10.98071600304259,FAT_006,FAT_DON_11,3
657323,14.082900730363008,FAT_006,FAT_DON_11,3
658089,8.415424720999587,FAT_006,FAT_DON_11,3
658659,5.670168827791197,FAT_006,FAT_DON_11,3
665943,3.0287252633270967,FAT_006,FAT_DON_11,3
665951,5.924881717560315,FAT_006,FAT_DON_11,3
665953,4.290217714205634,FAT_006,FAT_DON_11,3
679189,2.2666759111209545,FAT_006,FAT_DON_11,3
679192,2.3038930965390225,FAT_006,FAT_DON_11,3
679935,6.035051766689553,FAT_006,FAT_DON_11,3
702443,7.343298088756139,FAT_006,FAT_DON_11,3
702444,3.4585177607293933,FAT_006,FAT_DON_11,3
702447,4.161509678511053,FAT_006,FAT_DON_11,3
702459,2.427474453272349,FAT_006,FAT_DON_11,3
706433,2.2816090237358018,FAT_006,FAT_DON_11,3
709991,8.720689065665953,FAT_006,FAT_DON_11,3
717959,8.515887077407639,FAT_006,FAT_DON_11,3
717960,8.833018050086794,FAT_006,FAT_DON_11,3
717962,12.996903855797507,FAT_006,FAT_DON_11,3
718252,11.852481714115676,FAT_006,FAT_DON_11,3
742725,2.8998094096019407,FAT_006,FAT_DON_11,3
742726,5.5357979657930585,FAT_006,FAT_DON_11,3
742727,1.7374104674465454,FAT_006,FAT_DON_11,3
742729,2.40580304192279,FAT_006,FAT_DON_11,3
742733,4.4539774043510345,FAT_006,FAT_DON_11,3
742740,6.657695090518522,FAT_006,FAT_DON_11,3
742741,5.626831262593868,FAT_006,FAT_DON_11,3
742742,3.8452392335681314,FAT_006,FAT_DON_11,3
742743,2.5435366449424026,FAT_006,FAT_DON_11,3
742817,0.0,FAT_006,FAT_DON_11,3
742818,1.9437388887692038,FAT_006,FAT_DON_11,3
742820,3.384429343537932,FAT_006,FAT_DON_11,3
742821,3.391721987267316,FAT_006,FAT_DON_11,3
748224,11.929913860639909,FAT_006,FAT_DON_11,3
752555,2.4842736768427236,FAT_006,FAT_DON_11,3
759350,4.944016946811956,FAT_006,FAT_DON_11,3
762966,2.2963672393167003,FAT_006,FAT_DON_11,3
762968,12.696470389019042,FAT_006,FAT_DON_11,3
762982,7.607531800186425,FAT_006,FAT_DON_11,3
762983,2.6002368372283673,FAT_006,FAT_DON_11,3
762984,1.426075986878276,FAT_006,FAT_DON_11,3
763034,4.0765108725219585,FAT_006,FAT_DON_11,3
767031,2.8575430673458655,FAT_006,FAT_DON_11,3
862962,3.8191930801461567,FAT_006,FAT_DON_11,3
862965,3.6158727711637693,FAT_006,FAT_DON_11,3
866771,2.265666827214378,FAT_006,FAT_DON_11,3
866776,3.4403018361490996,FAT_006,FAT_DON_11,3
868129,7.227105923260176,FAT_006,FAT_DON_11,3
873513,2.954628270039722,FAT_006,FAT_DON_11,3
883156,3.578323702758977,FAT_006,FAT_DON_11,3
888048,2.538958226489146,FAT_006,FAT_DON_11,3
888832,1.9497243287755854,FAT_006,FAT_DON_11,3
888833,2.5108373726024764,FAT_006,FAT_DON_11,3
889204,1.546399933954019,FAT_006,FAT_DON_11,3
890402,6.24550958711584,FAT_006,FAT_DON_11,3
904306,3.2400263098451663,FAT_006,FAT_DON_11,3
927666,3.5106953502714453,FAT_006,FAT_DON_11,3
997884,0.0,FAT_006,FAT_DON_11,3
999410,5.826316196739555,FAT_006,FAT_DON_11,3
999412,3.6778790836946924,FAT_006,FAT_DON_11,3
999413,5.128527437697765,FAT_006,FAT_DON_11,3
1002367,7.75951776062075,FAT_006,FAT_DON_11,3
1035839,3.2427643840439,FAT_006,FAT_DON_11,3
1042156,7.617465801504398,FAT_006,FAT_DON_11,3
1042403,2.4067498845902335,FAT_006,FAT_DON_11,3
1064535,11.314512554353213,FAT_006,FAT_DON_11,3
1077285,4.988684827685527,FAT_006,FAT_DON_11,3
1121100,4.966624098458358,FAT_006,FAT_DON_11,3
1121101,5.164985092277084,FAT_006,FAT_DON_11,3
1121111,3.3588381057183745,FAT_006,FAT_DON_11,3
1121114,4.540099427608609,FAT_006,FAT_DON_11,3
1121115,11.001095941141024,FAT_006,FAT_DON_11,3
1121130,5.825915147057683,FAT_006,FAT_DON_11,3
1121315,3.3390022735992075,FAT_006,FAT_DON_11,3
1121333,4.635255164557887,FAT_006,FAT_DON_11,3
1121334,2.5753017158570137,FAT_006,FAT_DON_11,3
1121344,3.5006587618998033,FAT_006,FAT_DON_11,3
1122975,2.1104211900233945,FAT_006,FAT_DON_11,3
1122978,3.4027013382958238,FAT_006,FAT_DON_11,3
1122981,2.019071347438071,FAT_006,FAT_DON_11,3
1122982,2.03241244502922,FAT_006,FAT_DON_11,3
1122992,2.3783856610680534,FAT_006,FAT_DON_11,3
1122993,2.011024314162119,FAT_006,FAT_DON_11,3
1123075,3.446523318436979,FAT_006,FAT_DON_11,3
1123263,4.060525802684482,FAT_006,FAT_DON_11,3
1123313,3.3023312874111963,FAT_006,FAT_DON_11,3
1125712,3.819285164727445,FAT_006,FAT_DON_11,3
1150460,5.9960207775283765,FAT_006,FAT_DON_11,3
1156431,2.053477197209362,FAT_006,FAT_DON_11,3
1156433,1.937346403849484,FAT_006,FAT_DON_11,3
1160721,11.099235234005064,FAT_006,FAT_DON_11,3
1197728,2.0891045053419552,FAT_006,FAT_DON_11,3
1203465,2.172590081803182,FAT_006,FAT_DON_11,3
1203540,2.7850798812370017,FAT_006,FAT_DON_11,3
1203606,5.811373545475916,FAT_006,FAT_DON_11,3
1203610,1.172462765414098,FAT_006,FAT_DON_11,3
1203611,4.99667861994427,FAT_006,FAT_DON_11,3
1233170,3.78634882189148,FAT_006,FAT_DON_11,3
1235789,1.5520103330299957,FAT_006,FAT_DON_11,3
1235811,2.234132434112531,FAT_006,FAT_DON_11,3
1256908,7.154716792725657,FAT_006,FAT_DON_11,3
1280705,2.0850772042574053,FAT_006,FAT_DON_11,3
1282887,1.9430691224051435,FAT_006,FAT_DON_11,3
1292036,4.58427477153574,FAT_006,FAT_DON_11,3
1322347,6.233326750572119,FAT_006,FAT_DON_11,3
1384484,2.7559823041292724,FAT_006,FAT_DON_11,3
