taxon,met_independence
329,29.28
561,31.07
818,29.11
904,23.81
1246,21.03
1350,20.07
1547,28.34
28112,24.42
66692,29.13
85962,19.68
176280,25.08
190304,18.84
192222,25.48
195103,25.08
203267,17.9
205913,24.89
205921,22.17
205922,30.66
206672,25.09
207244,29.93
213810,22.4
218495,21.99
220668,24.9
223926,31.09
224308,30.22
226185,20.24
226186,29.11
234621,29.18
242619,19.75
244366,32.11
246198,18.6
246201,22.8
257314,9.86
262727,26.73
264199,24.34
264731,28.87
265669,28.27
266835,31.67
267747,27.55
272558,31.16
272559,30.39
272562,31.32
272620,32.19
272621,14.99
272623,26.74
273057,16.72
273526,30.3
278197,16.6
279010,30.55
279808,25.07
283165,19.39
290338,32.36
290339,30.64
290402,32.16
295405,30.39
299033,20.03
300267,30.93
300269,31.07
306263,21.42
314315,15.29
321955,26.39
321956,15.51
321967,22.05
324831,11.29
326426,25.0
333381,27.05
334390,22.4
334413,14.89
339860,18.53
342451,25.61
347253,25.68
347256,4.23
349741,28.37
349966,32.52
349968,32.52
351627,28.19
352165,21.76
354242,25.28
358681,30.01
360104,24.02
360105,25.78
360106,25.82
360107,25.25
362948,19.4
364106,31.07
367737,26.32
367928,25.27
370551,17.11
378753,27.08
380703,29.54
386585,31.07
387344,15.08
388919,27.33
390333,15.23
391904,26.99
393126,28.67
393127,28.67
393130,28.67
393305,32.52
398511,29.21
398513,25.15
398525,30.39
398578,28.82
405531,29.58
405534,29.44
405566,15.79
409438,31.07
411459,29.69
411460,29.93
411461,31.07
411462,28.31
411463,26.73
411464,28.1
411465,12.61
411466,23.67
411467,27.37
411468,27.59
411469,29.85
411470,31.06
411471,28.72
411472,28.51
411473,29.04
411474,27.02
411475,28.82
411476,29.68
411477,29.89
411479,30.29
411483,28.13
411484,27.82
411485,29.4
411486,26.21
411487,31.0
411489,27.23
411490,30.71
411901,29.11
411902,31.82
411903,26.62
413999,23.72
416269,28.27
420247,18.18
420889,17.59
426355,30.77
428125,26.43
428126,27.15
428127,17.97
428128,26.14
435590,30.99
435591,30.59
435830,21.31
435837,23.67
435838,23.45
439375,29.38
440497,10.13
441620,30.22
441770,23.72
441771,23.72
442563,24.15
444177,28.18
445336,24.17
445970,17.81
445971,23.4
445972,25.15
445973,29.52
445975,20.24
449673,29.11
450749,27.8
451515,25.41
451640,25.98
457387,29.03
457388,30.59
457390,29.68
457391,30.88
457392,30.19
457393,29.75
457394,30.99
457395,30.99
457396,28.18
457398,28.37
457400,31.07
457401,31.07
457405,19.04
457412,30.36
457416,27.37
457421,31.17
457424,30.39
465515,26.5
467705,25.08
469378,20.19
469585,29.25
469588,28.94
469589,30.59
469590,29.52
469591,30.59
469592,30.59
469593,30.99
469595,31.19
469596,28.15
469599,23.24
469602,18.59
469603,19.04
469604,20.17
469605,18.06
469606,18.59
469607,18.91
469609,24.73
469610,25.27
469613,30.98
469615,18.06
469616,26.73
469617,25.8
469618,24.84
469621,23.21
470145,28.33
470146,28.01
471854,30.16
471870,30.58
471871,24.34
471872,26.78
471874,29.33
471875,29.18
471881,27.28
473819,25.41
474186,20.24
476272,29.6
478749,29.95
478801,23.7
479436,27.57
479437,24.48
480119,27.05
483215,28.86
483216,29.11
483217,30.63
483218,28.19
484018,30.12
484020,25.15
491074,19.97
491077,19.92
499177,28.86
500632,27.33
500633,22.23
500635,29.62
500637,29.13
500638,30.62
500639,30.5
500640,32.19
502347,31.07
502558,24.43
502800,30.5
504472,28.77
511145,31.07
511680,26.86
512566,24.48
515608,4.34
515619,29.62
515620,31.6
518635,25.8
518636,28.81
518637,18.67
520999,28.73
521000,28.73
521003,19.03
521095,16.1
521097,18.3
523794,28.25
525246,24.8
525258,27.94
525259,27.86
525268,28.33
525278,20.09
525279,20.3
525306,14.99
525309,18.85
525310,26.38
525318,24.47
525325,21.62
525328,9.08
525337,21.8
525338,24.64
525361,21.79
525362,22.5
525365,17.02
525367,27.53
525369,27.87
525370,29.28
525379,27.05
525919,13.69
526997,29.31
527004,32.52
527012,32.52
527025,29.44
536229,29.22
536231,31.15
536233,29.71
537006,29.51
537007,29.22
537011,28.14
537012,29.72
537013,26.93
537937,25.23
537970,25.93
537971,25.68
537972,25.24
537973,21.8
543734,21.72
545696,17.82
545697,30.0
546262,24.82
546263,27.38
546266,28.27
546268,28.27
546269,16.88
546270,15.84
546273,27.7
546274,23.78
547042,28.24
547043,24.99
548476,27.79
548477,28.76
548479,22.42
548480,25.09
