taxon_id,77-6,22-6,90-6,16-0,D-6Fresk,78-6,12-6,11-6,75-0,89-6,89-0,31-0,12-0,D-7Fryst,D-15Fryst,24-6,88-0,D-13U,D-4,19-6,24-0,18-0,3-6,77-0,D-12,25-6,25-0,11-0,D-9Fryst,30-6,D-3,32-6,D-10,32-0,56-6,56-0,59-6,3-0,D-2,59-0,30-0,31-6,22-0,90-0,D-5Fryst,18-6,88-6,D-14,78-0,16-6,19-0,75-6
465515,127,980,53,44,2,110,180,314,7,76,70,86,26,18,18,133,67,5,35,24,50,130,57,16,60,121,15,317,8,62,36,221,15,5,102,8,87,54,15,54,73,44,3,280,13,340,168,84,84,62,29,2
469602,1,8,7,6,1,7,10,4,4,6,48,20,18,5,1,43,23,0,7,14,42,9,2,2064,30,42,2,16,1,23,11,2,2,4,3,3,1,14,6,4,48,70,2,48,2,0,24,5,50,10,9,3
1002364,8,2,9,2,1,46110,3,161,0,19,4,2,5,8,2,9,27,0,9,7,17,7,5,1482,13,12,3,5,5,8,13,0,10,0,4,2,1,1,7,2,9,5,0,16,6,1,15,2,54,28,3,0
469599,10,2,8,5,3,20,4,16,9,5,61,50,34,5,4,53,26,1,9,9,38,2,16,1047,25,60,6,12,8,22,4,2,6,3,6,2,4,30,4,8,58,51,4,19,4,1,32,7,16,1,12,3
502347,21,19,689,0,82,326,156,9929,17,380,36,157,25,33,3,345,45,3,52,488,21,25818,28,3847,21,123,439,22,69,22,130,2,35,1,6,1,80,9,108,120,92,215,2,1197,46,4906,63,29,18811,583,5,46
525367,13,6,14,3,4,16,15,8,1,15,21,31,19,11,6,21,13,0,13,7,30,5,5,36,13,56,3,15,8,13,31,3,11,7,7,5,3,10,4,2,75,24,4,24,9,2,27,3,24,9,13,3
568703,309,35,15,925,2,6,51397,9,2,9,17,14,2099,0,5,18,62,1,7,2,25,117,1,21548,21,106,2,5433,2,17,6,5,5,3,4,202,4,7,3,13,46,32,0,67,2,136,132,7,6,673,266,12
565040,6352,1594,1536,1559,8939,120,191611,7569,15,3410,81,94,10650,669,12990,4402,1224,180,5026,20825,51,79583,5258,14083,5336,120,5,18222,247,2438,1210,4062,824,762,4214,1094,1366,13012,746,1333,860,972,1060,4944,379,4610,3350,7878,267,8168,37,21
546262,8,63,49,3,20,14,19,25,3,28,39,90,7,77,14,170,204,6,202,56,159,46,4,71,66,51,16,51,35,73,99,21,33,16,21,2,12,11,107,7,25,12,1,163,123,10,115,20,18,41,13,2
1121126,12,3,20,4,1,20,11,11,3,20,67,50,19,6,5,43,13,4,7,11,31,7,17,19,38,82,3,34,2,33,6,8,9,10,10,2,7,23,9,7,47,28,1,46,1,2,34,21,34,13,18,4
