donor,recipient,engraftment rate,flux,metabolism
D-10,11,0.321672967,41.90407308,scfa metabolism
D-10,12,-0.057776163,38.64760358,scfa metabolism
D-10,16,0.452984216,31.79353754,scfa metabolism
D-10,18,0.330045397,36.10253799,scfa metabolism
D-10,19,0.159536246,36.77852253,scfa metabolism
D-10,22,0.238976709,39.00021689,scfa metabolism
D-10,23,-0.054116952,29.0065095,scfa metabolism
D-10,24,0.057941854,33.57368488,scfa metabolism
D-10,25,-0.084611503,37.94656627,scfa metabolism
D-10,3,-0.131463246,40.35051161,scfa metabolism
D-10,30,0.067555315,34.18321107,scfa metabolism
D-10,31,-0.189690789,31.31670727,scfa metabolism
D-10,32,0.058548931,37.53630921,scfa metabolism
D-10,33,-0.042288861,38.17434415,scfa metabolism
D-10,36,-0.032252255,32.66977594,scfa metabolism
D-10,37,0.281969562,28.48614765,scfa metabolism
D-10,54,-0.257673088,31.49028875,scfa metabolism
D-10,56,0.421504926,42.23597607,scfa metabolism
D-10,59,0.339801456,30.36038127,scfa metabolism
D-10,70,0.21636762,38.55322494,scfa metabolism
D-10,71,0.144787289,33.45327644,scfa metabolism
D-10,75,-0.074394809,33.76005231,scfa metabolism
D-10,77,0.275303435,45.98888398,scfa metabolism
D-10,78,0.217809213,40.52850861,scfa metabolism
D-10,88,-0.406745026,38.86192668,scfa metabolism
D-10,89,-0.048486541,43.97373896,scfa metabolism
D-10,90,-0.356683863,38.00355738,scfa metabolism
D-12,11,0.178860438,43.85894643,scfa metabolism
D-12,12,-0.180778801,43.60099133,scfa metabolism
D-12,16,0.172467299,42.05660694,scfa metabolism
D-12,18,0.233796696,42.02544352,scfa metabolism
D-12,19,-0.092059237,42.54651922,scfa metabolism
D-12,22,0.09634871,40.75709605,scfa metabolism
D-12,23,-0.11941926,32.25465654,scfa metabolism
D-12,24,-0.137879526,39.23112459,scfa metabolism
D-12,25,-0.257231729,40.97544816,scfa metabolism
D-12,3,-0.35961522,44.9473648,scfa metabolism
D-12,30,-0.195207418,40.31750875,scfa metabolism
D-12,31,-0.411475326,36.55911317,scfa metabolism
D-12,32,-0.169670825,41.54658976,scfa metabolism
D-12,33,-0.387880353,35.72216476,scfa metabolism
D-12,36,-0.261550392,39.70119119,scfa metabolism
D-12,37,0.088446468,38.77953014,scfa metabolism
D-12,54,-0.572786155,33.55147728,scfa metabolism
D-12,56,-0.096407401,38.80776658,scfa metabolism
D-12,59,0.065624311,38.67380786,scfa metabolism
D-12,70,-0.015888602,45.88159695,scfa metabolism
D-12,71,-0.019270375,40.9185309,scfa metabolism
D-12,75,-0.313508219,40.88955598,scfa metabolism
D-12,77,0.202165937,48.34558262,scfa metabolism
D-12,78,0.162870663,41.58018644,scfa metabolism
D-12,88,-0.448031432,43.16466599,scfa metabolism
D-12,89,-0.398592062,40.5866118,scfa metabolism
D-12,90,-0.271388005,41.56988737,scfa metabolism
D-13U,11,0.255517121,41.9060057,scfa metabolism
D-13U,12,-0.060508119,40.99934741,scfa metabolism
D-13U,16,0.296487853,38.32303541,scfa metabolism
D-13U,18,0.275587508,44.30509499,scfa metabolism
D-13U,19,0.014053332,41.02211816,scfa metabolism
D-13U,22,0.204348782,40.69743481,scfa metabolism
D-13U,23,-0.067592748,31.27586075,scfa metabolism
D-13U,24,0.018035503,45.19416005,scfa metabolism
D-13U,25,-0.170420895,39.71890601,scfa metabolism
D-13U,3,-0.404947252,43.79025087,scfa metabolism
D-13U,30,-0.128353328,38.3691972,scfa metabolism
D-13U,31,-0.283073993,35.48876724,scfa metabolism
D-13U,32,-0.049638136,37.41426643,scfa metabolism
D-13U,33,-0.232489776,34.23429255,scfa metabolism
D-13U,36,-0.089758414,37.09949656,scfa metabolism
D-13U,37,0.142180816,32.61818084,scfa metabolism
D-13U,54,-0.421603469,30.22471171,scfa metabolism
D-13U,56,-0.008181091,35.0539028,scfa metabolism
D-13U,59,0.138126739,36.54237717,scfa metabolism
D-13U,70,0.060085187,45.07753411,scfa metabolism
D-13U,71,0.013398915,44.06071514,scfa metabolism
D-13U,75,-0.415450232,33.5831183,scfa metabolism
D-13U,77,0.175500196,56.41302199,scfa metabolism
D-13U,78,0.216733544,44.28256483,scfa metabolism
D-13U,88,-0.48666155,41.22096383,scfa metabolism
D-13U,89,-0.17483659,48.75169701,scfa metabolism
D-13U,90,-0.334040746,38.5716144,scfa metabolism
D-14,11,0.329305622,35.5306842,scfa metabolism
D-14,12,-0.087919749,41.24510932,scfa metabolism
D-14,16,0.262317758,39.76826747,scfa metabolism
D-14,18,0.206895888,44.10107748,scfa metabolism
D-14,19,0.076173116,34.81404587,scfa metabolism
D-14,22,0.211510061,40.5078185,scfa metabolism
D-14,23,-0.001205046,32.15991841,scfa metabolism
D-14,24,-0.08386929,49.70822701,scfa metabolism
D-14,25,-0.173699974,38.45009234,scfa metabolism
D-14,3,-0.477448349,41.03454087,scfa metabolism
D-14,30,-0.086211724,33.62878469,scfa metabolism
D-14,31,-0.195143854,34.79128079,scfa metabolism
D-14,32,0.030829447,37.39273804,scfa metabolism
D-14,33,-0.222181212,35.40659329,scfa metabolism
D-14,36,-0.23239449,39.94477475,scfa metabolism
D-14,37,0.145861302,29.83616463,scfa metabolism
D-14,54,-0.305270492,32.09114198,scfa metabolism
D-14,56,-0.029668933,36.6735275,scfa metabolism
D-14,59,0.106504621,39.39721231,scfa metabolism
D-14,70,0.053403631,44.48630051,scfa metabolism
D-14,71,0.011944842,42.58727001,scfa metabolism
D-14,75,-0.146346874,34.49514975,scfa metabolism
D-14,77,0.184722364,55.04537379,scfa metabolism
D-14,78,0.187533405,41.19009496,scfa metabolism
D-14,88,-0.241223067,42.10784279,scfa metabolism
D-14,89,-0.126134829,47.32048573,scfa metabolism
D-14,90,0.025050557,51.92481693,scfa metabolism
D-15Fryst,11,0.171845524,47.5287796,scfa metabolism
D-15Fryst,12,-0.250805742,42.56770612,scfa metabolism
D-15Fryst,16,0.337383193,37.38892174,scfa metabolism
D-15Fryst,18,0.249008737,42.2816349,scfa metabolism
D-15Fryst,19,-0.068448274,41.24094494,scfa metabolism
D-15Fryst,22,0.204522472,40.3066615,scfa metabolism
D-15Fryst,23,-0.13619863,31.49329752,scfa metabolism
D-15Fryst,24,0.057333559,34.71668879,scfa metabolism
D-15Fryst,25,-0.101174324,36.09149602,scfa metabolism
D-15Fryst,3,-0.278589002,41.46851613,scfa metabolism
D-15Fryst,30,-0.031462908,38.39507881,scfa metabolism
D-15Fryst,31,-0.162820028,35.57339442,scfa metabolism
D-15Fryst,32,0.016429746,38.88144961,scfa metabolism
D-15Fryst,33,-0.181387125,35.19297976,scfa metabolism
D-15Fryst,36,-0.284447306,39.5099698,scfa metabolism
D-15Fryst,37,0.173359144,30.3072367,scfa metabolism
D-15Fryst,54,-0.381775611,32.07119814,scfa metabolism
D-15Fryst,56,0.038114027,36.50891945,scfa metabolism
D-15Fryst,59,0.202486979,38.18006224,scfa metabolism
D-15Fryst,70,-0.020125047,43.3891195,scfa metabolism
