taxon,average_distance,comparison,sample_id
1002367,3.713728318,D-2 vs 11-0,D-2
1077285,7.580318959,D-2 vs 11-0,D-2
1121100,7.853474868,D-2 vs 11-0,D-2
1121101,2.779918739,D-2 vs 11-0,D-2
1121115,5.887753822,D-2 vs 11-0,D-2
1121130,4.687704954,D-2 vs 11-0,D-2
1160721,9.205865938,D-2 vs 11-0,D-2
1203465,3.056572108,D-2 vs 11-0,D-2
1203606,2.168781732,D-2 vs 11-0,D-2
1203610,2.720262605,D-2 vs 11-0,D-2
1203611,7.672904265,D-2 vs 11-0,D-2
1235789,2.594840073,D-2 vs 11-0,D-2
1235811,2.034807459,D-2 vs 11-0,D-2
1256908,3.820881248,D-2 vs 11-0,D-2
1282887,2.259359187,D-2 vs 11-0,D-2
1336236,2.139706347,D-2 vs 11-0,D-2
1408437,2.752838113,D-2 vs 11-0,D-2
1437612,3.515765317,D-2 vs 11-0,D-2
226186,5.957506995,D-2 vs 11-0,D-2
347253,2.336643305,D-2 vs 11-0,D-2
367928,2.85597881,D-2 vs 11-0,D-2
409438,3.262815398,D-2 vs 11-0,D-2
411459,3.948662315,D-2 vs 11-0,D-2
411461,8.917522074,D-2 vs 11-0,D-2
411462,5.410119061,D-2 vs 11-0,D-2
411463,6.08728966,D-2 vs 11-0,D-2
411467,3.723393106,D-2 vs 11-0,D-2
411468,1.963583576,D-2 vs 11-0,D-2
411469,3.562242001,D-2 vs 11-0,D-2
411470,3.445799779,D-2 vs 11-0,D-2
411471,5.672174201,D-2 vs 11-0,D-2
411473,2.422500819,D-2 vs 11-0,D-2
411474,1.817332756,D-2 vs 11-0,D-2
411475,9.030175802,D-2 vs 11-0,D-2
411476,13.41084331,D-2 vs 11-0,D-2
411477,10.85442021,D-2 vs 11-0,D-2
411479,8.732142573,D-2 vs 11-0,D-2
411483,13.34197154,D-2 vs 11-0,D-2
411486,7.085261576,D-2 vs 11-0,D-2
411901,7.374300952,D-2 vs 11-0,D-2
411902,4.360687331,D-2 vs 11-0,D-2
411903,3.534686665,D-2 vs 11-0,D-2
428125,3.887331598,D-2 vs 11-0,D-2
428127,1.668653881,D-2 vs 11-0,D-2
435590,13.73919932,D-2 vs 11-0,D-2
435591,5.52328762,D-2 vs 11-0,D-2
445970,9.11447461,D-2 vs 11-0,D-2
445972,3.392009516,D-2 vs 11-0,D-2
445973,2.415389302,D-2 vs 11-0,D-2
449673,11.07473342,D-2 vs 11-0,D-2
457412,6.12460098,D-2 vs 11-0,D-2
457416,4.887472924,D-2 vs 11-0,D-2
457421,2.483293958,D-2 vs 11-0,D-2
457424,8.701559054,D-2 vs 11-0,D-2
469593,15.23420498,D-2 vs 11-0,D-2
469596,2.153977878,D-2 vs 11-0,D-2
470145,9.765456637,D-2 vs 11-0,D-2
470146,3.336341744,D-2 vs 11-0,D-2
471870,3.942116397,D-2 vs 11-0,D-2
471875,3.800230545,D-2 vs 11-0,D-2
476272,3.229804617,D-2 vs 11-0,D-2
479436,3.345676295,D-2 vs 11-0,D-2
483215,5.748646194,D-2 vs 11-0,D-2
483216,13.75232306,D-2 vs 11-0,D-2
483217,8.594255162,D-2 vs 11-0,D-2
483218,2.824236315,D-2 vs 11-0,D-2
484018,6.636158325,D-2 vs 11-0,D-2
500632,2.503768011,D-2 vs 11-0,D-2
511680,2.662899497,D-2 vs 11-0,D-2
515619,7.094558863,D-2 vs 11-0,D-2
515620,10.16507315,D-2 vs 11-0,D-2
518636,5.652701444,D-2 vs 11-0,D-2
518637,1.675615893,D-2 vs 11-0,D-2
536231,9.50115872,D-2 vs 11-0,D-2
537006,5.520493387,D-2 vs 11-0,D-2
537007,2.75642696,D-2 vs 11-0,D-2
537011,3.481561164,D-2 vs 11-0,D-2
537012,2.588697898,D-2 vs 11-0,D-2
545696,2.125494503,D-2 vs 11-0,D-2
546273,5.00877666,D-2 vs 11-0,D-2
547042,5.817133162,D-2 vs 11-0,D-2
548480,4.693172935,D-2 vs 11-0,D-2
552398,4.768631588,D-2 vs 11-0,D-2
561,2.678000358,D-2 vs 11-0,D-2
563192,7.193161054,D-2 vs 11-0,D-2
563193,5.676572542,D-2 vs 11-0,D-2
566550,2.439482898,D-2 vs 11-0,D-2
585394,5.699113034,D-2 vs 11-0,D-2
592028,10.50548713,D-2 vs 11-0,D-2
622312,7.672069865,D-2 vs 11-0,D-2
626522,2.122570476,D-2 vs 11-0,D-2
645463,2.886120985,D-2 vs 11-0,D-2
649757,2.844331799,D-2 vs 11-0,D-2
657309,9.02140613,D-2 vs 11-0,D-2
