genome_name	genome_score
Abiotrophia_defectiva_ATCC_49176	15.86
Achromobacter_xylosoxidans_A8	28.68
Achromobacter_xylosoxidans_NBRC_15126	29.07
Acidaminococcus_fermentans_DSM_20731	27.06
Acidaminococcus_intestini_RyC_MR95	23.68
Acidaminococcus_sp_D21	23.81
Acinetobacter_baumannii_AB0057	27.05
Acinetobacter_calcoaceticus_PHEA_2	27.31
Acinetobacter_haemolyticus_NIPH_261	26.91
Acinetobacter_johnsonii_SH046	26.33
Acinetobacter_junii_SH205	26.66
Acinetobacter_lwoffii_WJ10621	25.30
Acinetobacter_pittii_ANC_4052	27.31
Acinetobacter_radioresistens_NIPH_2130	26.52
Actinobacillus_pleuropneumoniae_L20	28.27
Actinomyces_cardiffensis_F0333	25.55
Actinomyces_georgiae_DSM_6843	23.92
Actinomyces_graevenitzii_C83	21.31
Actinomyces_naeslundii_str_Howell_279	26.55
Actinomyces_odontolyticus_ATCC_17982	23.67
Actinomyces_oris_K20	22.79
Actinomyces_turicensis_ACS_279_V_Col4	22.77
Actinomyces_urogenitalis_DSM_15434	24.80
Actinomyces_viscosus_C505	26.24
Adlercreutzia_equolifaciens_DSM_19450	25.00
Aerococcus_viridans_ATCC_11563	24.29
Aeromonas_caviae_Ae398	29.54
Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966	29.54
Aeromonas_jandaei_Riv2	29.54
Aeromonas_media_WS	29.14
Aeromonas_veronii_B565	29.94
Afipia_birgiae_34632	27.63
Aggregatibacter_aphrophilus_NJ8700	26.13
Agrobacterium_tumefaciens_F2	30.76
Akkermansia_muciniphila_ATCC_BAA_835	28.37
Alcaligenes_faecalis_subsp_faecalis_NBRC_13111	26.89
Alcaligenes_faecalis_subsp_faecalis_NCIB_8687	26.89
Alistipes_finegoldii_DSM_17242	23.83
Alistipes_indistinctus_YIT_12060	28.01
Alistipes_onderdonkii_DSM_19147	24.03
Alistipes_putredinis_DSM_17216	17.81
Alistipes_shahii_WAL_8301	24.46
Alloprevotella_tannerae_ATCC_51259	18.56
Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850	25.69
Anaerobiospirillum_succiniciproducens_DSM_640001	28.57
Anaerococcus_hydrogenalis_DSM_7454	16.35
Anaerococcus_prevotii_DSM_20548	13.69
Anaerococcus_vaginalis_ATCC_51170	13.32
Anaerofustis_stercorihominis_DSM_17244	23.40
Anaerostipes_caccae_DSM_14662	30.71
Anaerostipes_hadrus_DSM_3319	27.82
Anaerostipes_sp_3_2_56FAA	29.93
Anaerotruncus_colihominis_DSM_17241	25.15
Aneurinibacillus_aneurinilyticus_ATCC_12856	28.38
Arcanobacterium_haemolyticum_DSM_20595	15.71
Arcobacter_butzleri_RM4018	26.32
Arthrobacter_castelli_DSM_16402	29.15
Atopobium_minutum_10063974	15.49
Atopobium_parvulum_DSM_20469	16.10
Atopobium_rimae_ATCC_49626	16.83
Bacillus_altitudinis_41KF2b	29.32
Bacillus_amyloliquefaciens_DSM7	27.93
Bacillus_amyloliquefaciens_subsp_amyloliquefaciens_DC_12	29.13
Bacillus_atrophaeus_ATCC_49822_1	30.02
Bacillus_cereus_AH187_F4810_72	29.44
Bacillus_cereus_G9842	29.58
Bacillus_clausii_KSM_K16	29.13
Bacillus_endophyticus_2102	30.74
Bacillus_firmus_DS1	30.26
Bacillus_flexus_27Col1_1E	31.96
Bacillus_fordii_DSM_16014	27.58
Bacillus_halodurans_C_125	31.16
Bacillus_infantis_NRRL_B_14911	30.51
Bacillus_licheniformis_ATCC_14580	30.55
Bacillus_megaterium_DSM319	31.56
Bacillus_mojavensis_RO_H_1	30.22
Bacillus_mycoides_DSM_2048	29.31
Bacillus_nealsonii_AAU1	30.34
Bacillus_pseudofirmus_OF4	29.21
Bacillus_pumilus_ATCC_7061	29.22
Bacillus_sonorensis_L12	29.47
Bacillus_subtilis_str_168	30.22
Bacillus_thuringiensis_serovar_thuringiensis_str_T01001	29.44
Bacillus_timonensis_10403023	29.61
Bacillus_vallismortis_DV1_F_3	28.09
Bacteroides_caccae_ATCC_43185	29.11
Bacteroides_cellulosilyticus_DSM_14838	29.72
Bacteroides_clarus_YIT_12056	30.29
Bacteroides_coprocola_M16_DSM_17136	28.33
Bacteroides_coprophilus_DSM_18228	28.24
Bacteroides_dorei_DSM_17855	30.63
Bacteroides_eggerthii_1_2_48FAA	29.11
Bacteroides_eggerthii_DSM_20697	29.11
Bacteroides_faecis_MAJ27	29.25
Bacteroides_finegoldii_DSM_17565	28.86
Bacteroides_fluxus_YIT_12057	29.98
Bacteroides_fragilis_3_1_12	30.39
Bacteroides_fragilis_638R	30.19
Bacteroides_fragilis_NCTC_9343	30.39
Bacteroides_fragilis_YCH46	30.39
Bacteroides_graminisolvens_DSM_19988	30.88
Bacteroides_intestinalis_341_DSM_17393	30.58
Bacteroides_nordii_CL02T12C05	29.11
Bacteroides_oleiciplenus_YIT_12058	30.68
Bacteroides_ovatus_ATCC_8483	29.68
Bacteroides_ovatus_SD_CC_2a	28.87
Bacteroides_ovatus_SD_CMC_3f	29.68
Bacteroides_pectinophilus_ATCC_43243	28.19
Bacteroides_plebeius_M12_DSM_17135	30.12
Bacteroides_pyogenes_DSM20611	30.12
Bacteroides_salyersiae_WAL_10018	28.91
Bacteroides_sp_1_1_14	29.25
Bacteroides_sp_1_1_30	29.03
Bacteroides_sp_1_1_6	29.11
Bacteroides_sp_20_3	30.59
Bacteroides_sp_2_1_22	28.94
Bacteroides_sp_2_1_33B	30.59
Bacteroides_sp_2_1_7	30.59
Bacteroides_sp_2_2_4	29.52
Bacteroides_sp_3_1_19	30.59
Bacteroides_sp_3_1_23	29.68
Bacteroides_sp_3_1_33FAA	30.88
Bacteroides_sp_3_1_40A	30.99
Bacteroides_sp_3_2_5	30.19
Bacteroides_sp_4_1_36	29.75
Bacteroides_sp_4_3_47FAA	30.99
Bacteroides_sp_9_1_42FAA	30.99
Bacteroides_sp_D1	29.11
Bacteroides_sp_D2	30.68
Bacteroides_sp_D20	30.29
Bacteroides_sp_D22	29.11
Bacteroides_stercoris_ATCC_43183	29.11
Bacteroides_thetaiotaomicron_VPI_5482	29.11
Bacteroides_timonensis_AP1	30.79
Bacteroides_uniformis_ATCC_8492	30.29
Bacteroides_ureolyticus_DSM_20703	24.17
Bacteroides_vulgatus_ATCC_8482	30.99
Bacteroides_xylanisolvens_SD_CC_1b	28.94
Bacteroides_xylanisolvens_XB1A	28.38
Barnesiella_intestinihominis_YIT_11860	24.86
Bartonella_quintana_Toulouse	19.39
Bifidobacterium_adolescentis_ATCC_15703	25.27
Bifidobacterium_angulatum_DSM_20098	25.80
Bifidobacterium_animalis_lactis_AD011	24.15
Bifidobacterium_animalis_lactis_BB_12	24.15
Bifidobacterium_animalis_lactis_Bi_07	24.15
Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219	24.15
Bifidobacterium_animalis_lactis_CNCM_I_2494	24.15
Bifidobacterium_animalis_lactis_DSM_10140	24.15
Bifidobacterium_animalis_lactis_V9	24.15
Bifidobacterium_bifidum_BGN4	25.15
Bifidobacterium_bifidum_NCIMB_41171	25.15
Bifidobacterium_bifidum_PRL2010	25.15
Bifidobacterium_bifidum_S17	25.15
Bifidobacterium_boum_DSM_20432	25.07
Bifidobacterium_breve_HPH0326	25.00
Bifidobacterium_breve_UCC2003_NCIMB8807	25.00
Bifidobacterium_catenulatum_DSM_16992	25.62
Bifidobacterium_coryneforme_DSM_20216	23.12
Bifidobacterium_dentium_ATCC_27678	25.41
Bifidobacterium_gallicum_DSM_20093	24.02
Bifidobacterium_kashiwanohense_DSM_21854	25.62
Bifidobacterium_longum_DJO10A	24.89
Bifidobacterium_longum_E18	25.09
Bifidobacterium_longum_NCC2705	25.09
Bifidobacterium_longum_infantis_157F_NC	25.09
Bifidobacterium_longum_infantis_ATCC_15697	26.99
Bifidobacterium_longum_longum_ATCC_55813	25.09
Bifidobacterium_longum_longum_BBMN68	25.09
Bifidobacterium_longum_longum_CCUG_52486	25.23
Bifidobacterium_longum_longum_JCM_1217	25.09
Bifidobacterium_longum_longum_JDM301	26.44
Bifidobacterium_mongoliense_DSM_21395	23.73
Bifidobacterium_pseudocatenulatum_DSM_20438	24.99
Bifidobacterium_pseudolongum_subsp_Pseudolongum_DSM_20099	24.40
Bifidobacterium_ruminantium_DSM_6489	25.61
Bifidobacterium_scardovii_JCM_12489	25.07
Bifidobacterium_stercoris_DSM_24849	25.15
Bifidobacterium_thermacidophilum_subsp_thermacidophilum_DSM_15837	25.13
Bifidobacterium_thermophilum_RBL67	25.27
Bilophila_wadsworthia_3_1_6	28.15
Blastococcus_massiliensis_AP3	28.96
Blautia_hansenii_VPI_C7_24_DSM_20583	29.22
Blautia_hydrogenotrophica_DSM_10507	29.60
Blautia_obeum_ATCC_29174	29.69
Blautia_producta_DSM_2950	30.63
Blautia_wexlerae_DSM_19850	29.66
Bordetella_hinzii_OH87_BAL007II	27.83
Brachybacterium_paraconglomeratum_LC44	28.09
Brachyspira_pilosicoli_B2904	23.85
Bradyrhizobium_elkanii_USDA_76	30.39
Bradyrhizobium_japonicum_USDA_6	30.79
Brevibacillus_agri_5_2	30.61
Brevibacillus_agri_BAB_2500	29.61
Brevibacillus_borstelensis_AK1	29.74
Brevibacillus_brevis_NBRC_100599	30.01
Brevibacterium_casei_S18	26.35
Brevibacterium_linens_BL2	26.39
