abundance,growth_rate,reactions,metabolites,taxon,tradeoff,sample_id
0.000149226,0.010342029,878,817,1002367,0.7,Nov-00
0.0001533,0.005864128,1128,1001,1121100,0.7,Nov-00
0.000146372,0.00834392,1131,1023,1121111,0.7,Nov-00
0.000328076,0.004348315,1235,1092,1121114,0.7,Nov-00
0.019591023,0.157815533,1249,1132,1121115,0.7,Nov-00
0.000467253,0.004271402,1215,1065,1121333,0.7,Nov-00
0.000243387,0.003247435,1167,1042,1121334,0.7,Nov-00
0.000666782,0.005621365,1132,1044,1121344,0.7,Nov-00
0.000135142,0.002270135,1175,1033,1122950,0.7,Nov-00
0.000212479,0.003016192,1275,1155,1123075,0.7,Nov-00
0.000157323,0.002338485,1123,979,1123263,0.7,Nov-00
0.000192736,0.003453033,1081,1001,1123313,0.7,Nov-00
0.000334665,0.007126163,1137,1029,1150460,0.7,Nov-00
0.063247866,0.509477826,1032,926,1160721,0.7,Nov-00
0.00015564,0.003367668,2074,1383,1203540,0.7,Nov-00
0.000706177,0.006309922,1915,1442,1203606,0.7,Nov-00
0.001894315,0.029723476,1101,996,1203611,0.7,Nov-00
0.009010822,0.072585755,1129,1030,1256908,0.7,Nov-00
0.003436343,0.053569804,942,904,1384484,0.7,Nov-00
0.00074569,0.006342679,1147,1069,1408437,0.7,Nov-00
0.000244008,0.005733902,1163,1041,1410645,0.7,Nov-00
0.002656833,0.04458085,1117,1009,1410647,0.7,Nov-00
0.024336467,0.379380664,1064,980,1437612,0.7,Nov-00
0.000159578,0.004101407,1589,1316,207244,0.7,Nov-00
0.000427338,0.004785424,1404,1140,213810,0.7,Nov-00
0.003640987,0.033887828,954,851,264199,0.7,Nov-00
0.00095234,0.008521525,1483,1133,272621,0.7,Nov-00
0.000523143,0.004784734,1190,1005,347253,0.7,Nov-00
0.248311775,0.1928511,2274,1386,349741,0.7,Nov-00
0.000143731,0.005574357,1164,1072,352165,0.7,Nov-00
0.019883263,0.309960452,1129,991,367928,0.7,Nov-00
0.000300195,0.005079878,2331,1424,398513,0.7,Nov-00
0.001991463,0.016050811,1225,1088,411459,0.7,Nov-00
0.005463533,0.044010929,2072,1483,411461,0.7,Nov-00
0.011911404,0.110863233,1536,1227,411462,0.7,Nov-00
0.002404371,0.02181932,1389,1167,411463,0.7,Nov-00
0.005443943,0.050668513,1638,1310,411467,0.7,Nov-00
0.002941553,0.026694167,2049,1394,411468,0.7,Nov-00
0.008493164,0.074507629,1894,1451,411469,0.7,Nov-00
0.001113531,0.011409208,2225,1454,411470,0.7,Nov-00
0.004050796,0.03770205,1731,1301,411471,0.7,Nov-00
0.000823039,0.006913624,1142,1037,411473,0.7,Nov-00
0.000878209,0.009043697,1688,1287,411474,0.7,Nov-00
0.005573901,0.044901548,1207,1105,411475,0.7,Nov-00
0.000101714,0.002346248,2474,1514,411477,0.7,Nov-00
0.000528521,0.006595338,2418,1500,411479,0.7,Nov-00
0.030776388,0.257551671,1972,1467,411485,0.7,Nov-00
0.011976323,0.107022662,2126,1547,411486,0.7,Nov-00
0.00024648,0.004844182,1617,1328,411490,0.7,Nov-00
0.001164318,0.010566013,1932,1450,411902,0.7,Nov-00
0.000311409,0.003122818,920,850,411903,0.7,Nov-00
0.001273355,8.00E-13,1931,1313,428125,0.7,Nov-00
0.00019474,0.004613393,1980,1313,428126,0.7,Nov-00
0.003609991,0.033599336,1553,1136,428127,0.7,Nov-00
