taxon,donor,donor_abundance
465515,D-6Fresk,5.94886195376303
465515,D-7Fryst,13.9335493831041
465515,D-15Fryst,29.6216918859908
465515,D-13U,30.7082488001797
465515,D-4,11.6288170386828
465515,D-12,34.0413794448115
465515,D-9Fryst,9.54587990481934
465515,D-3,15.3966270016482
465515,D-10,11.4481965640446
465515,D-2,9.36347512488646
465515,D-5Fryst,12.5766336046588
465515,D-14,39.5829573070868
469602,D-6Fresk,3.96590796917536
469602,D-7Fryst,4.40006822624342
469602,D-15Fryst,3.11807283010429
469602,D-13U,5.11804146669661
469602,D-4,2.58418156415173
469602,D-12,17.299717422773
469602,D-9Fryst,2.12130664551541
469602,D-3,4.99350064918321
469602,D-10,2.14653685575837
469602,D-2,4.09652036713783
469602,D-5Fryst,2.69499291528402
469602,D-14,2.79409110402966
1002364,D-6Fresk,3.96590796917536
1002364,D-7Fryst,6.60010233936512
1002364,D-15Fryst,4.67710924515644
1002364,D-13U,5.11804146669661
1002364,D-4,3.23022695518967
1002364,D-12,7.8127756102846
1002364,D-9Fryst,6.36391993654623
1002364,D-3,5.82575075738041
1002364,D-10,7.87063513778068
1002364,D-2,4.68173756244323
1002364,D-5Fryst,6.28831680232938
1002364,D-14,1.39704555201483
469599,D-6Fresk,7.93181593835071
469599,D-7Fryst,4.40006822624342
469599,D-15Fryst,7.79518207526073
469599,D-13U,10.2360829333932
469599,D-4,3.23022695518967
469599,D-12,14.5094404191
469599,D-9Fryst,9.54587990481934
469599,D-3,2.080625270493
469599,D-10,5.00858599676952
469599,D-2,2.92608597652702
469599,D-5Fryst,4.4916548588067
469599,D-14,3.72545480537288
502347,D-6Fresk,164.585180720777
502347,D-7Fryst,24.9337199487127
502347,D-15Fryst,6.23614566020858
502347,D-13U,20.4721658667864
502347,D-4,17.1202028625052
502347,D-12,12.2772188161615
502347,D-9Fryst,74.2457325930393
502347,D-3,54.5123820869167
502347,D-10,25.7584422691004
502347,D-2,63.788674288289
502347,D-5Fryst,42.221555672783
502347,D-14,13.9704555201483
525367,D-6Fresk,9.91476992293839
525367,D-7Fryst,8.80013645248683
525367,D-15Fryst,10.913254905365
525367,D-13U,5.11804146669661
525367,D-4,4.52231773726553
525367,D-12,7.8127756102846
525367,D-9Fryst,9.54587990481934
525367,D-3,13.3160017311552
