taxon,average_distance,comparison,sample_id
1002367,4.810972004925918,D-2 vs 11-0,D-2
1077285,10.340226224235666,D-2 vs 11-0,D-2
1121100,10.004571065497952,D-2 vs 11-0,D-2
1121101,4.528734981193506,D-2 vs 11-0,D-2
1121115,8.561514927382975,D-2 vs 11-0,D-2
1121130,6.407172643052465,D-2 vs 11-0,D-2
1122992,6.08017633186999,D-2 vs 11-0,D-2
1160721,12.754338141804832,D-2 vs 11-0,D-2
1203465,4.314408832392172,D-2 vs 11-0,D-2
1203606,3.4500365463364857,D-2 vs 11-0,D-2
1203610,4.11684898536246,D-2 vs 11-0,D-2
1203611,10.01746248390943,D-2 vs 11-0,D-2
1235789,3.931410717971878,D-2 vs 11-0,D-2
1256908,5.57434994476352,D-2 vs 11-0,D-2
1282887,3.291539576600311,D-2 vs 11-0,D-2
1322347,2.5840167408983454,D-2 vs 11-0,D-2
1408437,4.418190510383654,D-2 vs 11-0,D-2
1437612,5.3236668110839505,D-2 vs 11-0,D-2
226186,8.245638436815616,D-2 vs 11-0,D-2
272559,4.0302605772679545,D-2 vs 11-0,D-2
295405,5.531894004059123,D-2 vs 11-0,D-2
347253,3.833029923817235,D-2 vs 11-0,D-2
367928,4.182134371792053,D-2 vs 11-0,D-2
411459,5.305856708626516,D-2 vs 11-0,D-2
411460,5.151764063210957,D-2 vs 11-0,D-2
411461,11.95791225992092,D-2 vs 11-0,D-2
411462,7.678862238482249,D-2 vs 11-0,D-2
411463,7.963374229288005,D-2 vs 11-0,D-2
411467,5.247479473157301,D-2 vs 11-0,D-2
411468,3.0552628147602947,D-2 vs 11-0,D-2
411469,4.433155412241765,D-2 vs 11-0,D-2
411470,4.842853408565635,D-2 vs 11-0,D-2
411471,7.076967394358574,D-2 vs 11-0,D-2
411473,3.7360164353100958,D-2 vs 11-0,D-2
411474,2.580786310064781,D-2 vs 11-0,D-2
411475,11.911644373702291,D-2 vs 11-0,D-2
411476,11.953723117722188,D-2 vs 11-0,D-2
411477,14.455823079986251,D-2 vs 11-0,D-2
411479,11.446656543068706,D-2 vs 11-0,D-2
411483,9.618752422343777,D-2 vs 11-0,D-2
411484,5.428686650522092,D-2 vs 11-0,D-2
411485,8.941227299707583,D-2 vs 11-0,D-2
411486,7.531534837399174,D-2 vs 11-0,D-2
411487,3.611890821177584,D-2 vs 11-0,D-2
411489,5.473876319154424,D-2 vs 11-0,D-2
411901,9.2485406190135,D-2 vs 11-0,D-2
411902,6.26076133835109,D-2 vs 11-0,D-2
