sample,shannonD
33-0,3.84690179613189
D-15U,3.66022885727418
77-6,3.68488427777748
22-6,4.16273317399772
90-6,4.17900661737953
16-0,3.81312108152528
D-6Fryst,3.93503318672829
D-6Fresk,4.03678607882612
78-6,3.21739901315116
31-12,4.4048352158754
12-6,3.87532981878712
11-6,3.81654499922758
75-0,4.30520618034502
89-6,4.47501014140892
59-12,3.87067379302857
32_12,4.24576813376277
89-0,3.92605790348804
31-0,4.21826663786948
12-0,4.44241022227797
D-7Fryst,3.60406732619794
56_12,4.03802512883707
11-12,4.37315489777174
12-12,4.17984241061214
D-15Fryst,4.01770700638795
24-6,4.04863825617158
66-6,4.26480525445481
88-0,4.05943594983759
D-13U,3.89118012105745
D-4,3.71742241068001
23-0,3.381649694138
19-6,3.94332687261616
64_12,4.23709376900996
D-9Feresk,3.28418605836603
24-0,4.17053748564503
22_12,4.35171797549002
18-0,4.18922276929229
3-12,4.26239480188275
3-6,4.30746965634779
77-0,4.0984711512743
D-12,4.07407618796208
25-6,4.05513974867638
25-0,4.14340838731735
25-12,3.9924100813712
64-6,4.21827396632302
11-0,3.64501869333098
54-0,4.13307219509887
D-9Fryst,3.80148702929473
30-6,3.84712733388748
16-12,3.80711131921742
66-0,4.08588764461645
D-3,3.99420393319229
32-6,4.13137487927248
D-10,4.003086450637
32-0,3.39778810715608
66_12,4.07832740180385
56-6,4.00832223363629
90-12,3.99398436653707
56-0,4.2587631655346
77-12,3.79886009962392
16_2_12,3.9021486699615
59-6,3.78750993855893
71-0,4.22297199360872
37-0,3.8135313740597
3-0,4.27224957292844
19-12,4.46515823956994
D-2,3.76140413015789
88-12,4.05027656030262
59-0,4.00674140309004
64-0,3.96416815642636
30-0,4.28410838361505
31-6,4.40005327436629
22-0,3.02190872926989
70-0,4.27233628034797
90-0,3.90910928657893
81-0,4.29115859108825
89-12,3.80819601031479
D-5Fryst,3.72833503497537
18-6,3.97308206753399
88-6,4.14320089936923
30-12,3.99654462996264
D-14,3.78551422225103
24-12,3.64117094230884
D-14U,3.76986600429402
78-12,3.98388121469
78-0,3.09100764783689
16-6,3.81291135580556
19-0,3.94205079461595
75-12,4.10589623553163
18_12,4.18072681395395
75-6,3.69885101466274
36-0,4.10927328891119
