run_accession	sample_accession	secondary_sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	sample_alias	sample_title	bam_ftp
ERR4367751	SAMEA7082340	ERS4842935	ERX4311890	PRJEB36140	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/001/ERR4367751/ERR4367751.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/001/ERR4367751/ERR4367751_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/001/ERR4367751/ERR4367751_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR436/ERR4367751/11-0_S2_R1_001.tagged_filter.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR436/ERR4367751/11-0_S2_R2_001.tagged_filter.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR436/001/ERR4367751	11-0_S2	REFIT	
ERR4368182	SAMEA7082341	ERS4842936	ERX4312321	PRJEB36140	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/002/ERR4368182/ERR4368182.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/002/ERR4368182/ERR4368182_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/002/ERR4368182/ERR4368182_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR436/ERR4368182/11-12_S5_R1_001.tagged_filter.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR436/ERR4368182/11-12_S5_R2_001.tagged_filter.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR436/002/ERR4368182	11-12_S5	REFIT	
ERR4368451	SAMEA7082343	ERS4842938	ERX4312590	PRJEB36140	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/001/ERR4368451/ERR4368451.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/001/ERR4368451/ERR4368451_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/001/ERR4368451/ERR4368451_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR436/ERR4368451/12-0_S7_R1_001.tagged_filter.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR436/ERR4368451/12-0_S7_R2_001.tagged_filter.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR436/001/ERR4368451	12-0_S7	REFIT	
ERR4369372	SAMEA7082349	ERS4842944	ERX4313558	PRJEB36140	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/002/ERR4369372/ERR4369372.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/002/ERR4369372/ERR4369372_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/002/ERR4369372/ERR4369372_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR436/ERR4369372/16-12_S1_R1_001.tagged_filter.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR436/ERR4369372/16-12_S1_R2_001.tagged_filter.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR436/002/ERR4369372	16-12_S1	REFIT	
ERR4369556	SAMEA7082354	ERS4842949	ERX4313742	PRJEB36140	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/006/ERR4369556/ERR4369556.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/006/ERR4369556/ERR4369556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/006/ERR4369556/ERR4369556_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR436/ERR4369556/18_12_S1_R1_001.tagged_filter.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR436/ERR4369556/18_12_S1_R2_001.tagged_filter.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR436/006/ERR4369556	18_12_S1	REFIT	
ERR4369565	SAMEA7082355	ERS4842950	ERX4313751	PRJEB36140	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/005/ERR4369565/ERR4369565.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/005/ERR4369565/ERR4369565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/005/ERR4369565/ERR4369565_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR436/ERR4369565/19-0_S4_R1_001.tagged_filter.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR436/ERR4369565/19-0_S4_R2_001.tagged_filter.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR436/005/ERR4369565	19-0_S4	REFIT	
ERR4369672	SAMEA7082357	ERS4842952	ERX4313858	PRJEB36140	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/002/ERR4369672/ERR4369672.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/002/ERR4369672/ERR4369672_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/002/ERR4369672/ERR4369672_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR436/ERR4369672/19-6_S1_R1_001.tagged_filter.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR436/ERR4369672/19-6_S1_R2_001.tagged_filter.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR436/002/ERR4369672	19-6_S1	REFIT	
ERR4369705	SAMEA7082358	ERS4842953	ERX4313891	PRJEB36140	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/005/ERR4369705/ERR4369705.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/005/ERR4369705/ERR4369705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/005/ERR4369705/ERR4369705_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR436/ERR4369705/22_12_S2_R1_001.tagged_filter.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR436/ERR4369705/22_12_S2_R2_001.tagged_filter.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR436/005/ERR4369705	22_12_S2	REFIT	
ERR4369816	SAMEA7082359	ERS4842954	ERX4314002	PRJEB36140	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/006/ERR4369816/ERR4369816.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/006/ERR4369816/ERR4369816_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/006/ERR4369816/ERR4369816_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR436/ERR4369816/22-0_S2_R1_001.tagged_filter.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR436/ERR4369816/22-0_S2_R2_001.tagged_filter.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR436/006/ERR4369816	22-0_S2	REFIT	
ERR4369828	SAMEA7082361	ERS4842956	ERX4314014	PRJEB36140	408170	human gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/008/ERR4369828/ERR4369828.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/008/ERR4369828/ERR4369828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR436/008/ERR4369828/ERR4369828_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR436/ERR4369828/23-0_S5_R1_001.tagged_filter.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR436/ERR4369828/23-0_S5_R2_001.tagged_filter.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR436/008/ERR4369828	23-0_S5	REFIT	
