,metabolite,log_fold_change,p,n,comparison,q,name,-log10q_val,enrichment
0,2omfuc[e],0.28768810362266883,0.40302703814967455,46,recipient vs. donor,0.865286381571741,2-o-methylfucose (rare sugar in rhamnogalacturonan II),0.06284013143438048,n.s.
1,13ppd[e],1.7635279108001445,0.004023039274533794,46,recipient vs. donor,0.04171950267289297,"Propane-1,3-diol",1.379660877323782,enriched
2,2obut[e],-1.1198594576048528,0.00010184125839129438,46,recipient vs. donor,0.002389632384395729,2-Oxobutanoate,2.62166890478748,depleted
3,12ppd_S[e],0.7236030020692742,0.039002209543407086,46,recipient vs. donor,0.23383551454332094,"(S)-propane-1,2-diol",0.6310895282517484,n.s.
4,2mbut[e],2.0213938668894187,0.0004822784210795528,46,recipient vs. donor,0.007728217625591858,2-methylbutyrate,2.1119206567448785,enriched
5,2hyoxplac[e],1.078809390726832,0.00962047029425874,46,recipient vs. donor,0.0734959184107906,2-Hydroxyphenylacetate,1.1337367787510573,n.s.
6,34dhpha[e],1.425973699355275,0.20544797943310655,46,recipient vs. donor,0.799913202518681,"(3,4-dihydroxyphenyl)acetate",0.09695713514837949,n.s.
7,26dap_M[e],0.43691137048583095,0.00327610845723215,46,recipient vs. donor,0.03471618155486327,"meso-2,6-Diaminoheptanedioate",1.4594680490729974,enriched
8,2omxyl[e],0.28768810362266883,0.40302703814967455,46,recipient vs. donor,0.865286381571741,2-O-methylxylose (rare sugar in rhamnogalacturonan II),0.06284013143438048,n.s.
9,2ddglcn[e],2.566557770008778,0.08097633527752884,46,recipient vs. donor,0.42772688077047377,2-Dehydro-3-deoxy-D-gluconate,0.3688334553699296,n.s.
10,15dap[e],4.265101861605677,0.03999371619145794,46,recipient vs. donor,0.23383551454332094,"1,5-Diaminopentane",0.6310895282517484,n.s.
11,12dhchol[e],0.9471161856484438,0.005075719993579333,46,recipient vs. donor,0.04977235874300928,12-Dehydrocholate,1.3030117772829095,enriched
12,3dhcdchol[e],0.46174120145746383,0.18479378870597285,46,recipient vs. donor,0.7723289294466347,3-Dehydrochenodeoxycholate,0.11219769730751812,n.s.
13,3ddlhept[e],0.28768810362266883,0.40302703814967455,46,recipient vs. donor,0.865286381571741,3-deoxy-d-lyxo-heptulosaric acid (rare sugar in rhamnogalacturonan II),0.06284013143438048,n.s.
14,3dhchol[e],0.42593137150152666,0.22596355093035736,46,recipient vs. donor,0.8532072009266942,3-Dehydrocholate,0.06894548783403548,n.s.
15,3mop[e],1.6773716408727415,5.238611671337341e-06,46,recipient vs. donor,0.00029537687729264383,3-methyl-2-oxopentanoate,3.5296235051556124,enriched
16,4abut[e],2.2215174114164538,3.475196654696705e-05,46,recipient vs. donor,0.000951335084223223,4-Aminobutanoate,3.02166648664063,enriched
17,4hbz[e],1.491180171221668,0.019236136999891993,46,recipient vs. donor,0.13029012380339217,4-hydroxybenzoate,0.885088503245574,n.s.
18,4hoxpacd[e],2.951544313143634,0.14463691215819816,46,recipient vs. donor,0.688597473100987,(4-hydroxyphenyl)acetaldehyde,0.16203457532915425,n.s.
19,4hphac[e],2.276253789742957,7.683097471475708e-05,46,recipient vs. donor,0.0018695537180590887,4-hydroxyphenylacetate,2.7282620517071545,enriched
20,4mcat[e],0.5049735385008773,0.02924530304285633,46,recipient vs. donor,0.18475157787650587,4-Methylcatechol,0.7334118438119818,n.s.
21,5mta[e],0.019549238112290368,0.27645040241026075,46,recipient vs. donor,0.865286381571741,5-Methylthioadenosine,0.06284013143438048,n.s.
