,sample_id,metabolite,sample,flux,name
0,11-0,for[e],recipient,15.385417457062623,Formate
1,11-0,ac[e],recipient,35.543701337344004,acetate
2,11-0,ppa[e],recipient,0.06795311744179829,propionate
3,11-0,but[e],recipient,4.121568205543349,butyrate
4,11-0,M03134[e],recipient,0.00029891566062541225,Valeric Acid
5,11-0,so3[e],recipient,0.13747095234566464,Sulfite
6,11-0,tsul[e],recipient,0.1440554933436241,thiosulfate(2-)
7,11-0,ch4s[e],recipient,0.0018785655514106168,Methanethiol
8,11-0,h2[e],recipient,1.3340337460756435,Hydrogen
9,12-0,for[e],recipient,12.08039640691409,Formate
10,12-0,ac[e],recipient,34.32539884661416,acetate
11,12-0,ppa[e],recipient,0.0035254610156609063,propionate
12,12-0,but[e],recipient,4.963167213582309,butyrate
13,12-0,M03134[e],recipient,1.8770389439626463e-05,Valeric Acid
14,12-0,so3[e],recipient,0.0005302268803511912,Sulfite
15,12-0,tsul[e],recipient,0.13201479967115284,thiosulfate(2-)
16,12-0,ch4s[e],recipient,8.489459158450483e-05,Methanethiol
17,12-0,h2[e],recipient,0.5687634866142223,Hydrogen
18,16-0,for[e],recipient,18.87751060171352,Formate
19,16-0,ac[e],recipient,30.18187076014792,acetate
20,16-0,ppa[e],recipient,0.05246852217876959,propionate
21,16-0,but[e],recipient,5.056888881497883,butyrate
22,16-0,M03134[e],recipient,0.00027373762846698865,Valeric Acid
23,16-0,so3[e],recipient,0.14209242262620597,Sulfite
24,16-0,tsul[e],recipient,0.17158680502492327,thiosulfate(2-)
25,16-0,ch4s[e],recipient,0.0014845659470045104,Methanethiol
26,16-0,h2[e],recipient,1.0380889373383109,Hydrogen
27,18-0,for[e],recipient,26.43443347801844,Formate
28,18-0,ac[e],recipient,47.25608969456735,acetate
29,18-0,ppa[e],recipient,2.346186268144079,propionate
30,18-0,but[e],recipient,13.566790625481083,butyrate
31,18-0,M03134[e],recipient,0.0,Valeric Acid
32,18-0,so3[e],recipient,0.03906666477802289,Sulfite
33,18-0,tsul[e],recipient,0.006666451764572279,thiosulfate(2-)
34,18-0,ch4s[e],recipient,1.0112647202177051e-08,Methanethiol
35,18-0,h2[e],recipient,0.8181743624287167,Hydrogen
36,19-0,for[e],recipient,21.34123509956277,Formate
37,19-0,ac[e],recipient,33.386374423683634,acetate
38,19-0,ppa[e],recipient,0.04411269082731623,propionate
39,19-0,but[e],recipient,2.7646136977594162,butyrate
40,19-0,M03134[e],recipient,4.282567426471685e-05,Valeric Acid
41,19-0,so3[e],recipient,0.058286236016218206,Sulfite
42,19-0,tsul[e],recipient,0.20548495765770475,thiosulfate(2-)
43,19-0,ch4s[e],recipient,9.546298420374285e-05,Methanethiol
44,19-0,h2[e],recipient,15.816112652060474,Hydrogen
45,22-0,for[e],recipient,16.06118904678701,Formate
46,22-0,ac[e],recipient,32.14188716449346,acetate
47,22-0,ppa[e],recipient,1.3673615047727035e-05,propionate
48,22-0,but[e],recipient,2.8570852744926603,butyrate
49,22-0,M03134[e],recipient,0.0,Valeric Acid
50,22-0,so3[e],recipient,9.256927063029244e-07,Sulfite
51,22-0,tsul[e],recipient,0.04769636617412182,thiosulfate(2-)
52,22-0,ch4s[e],recipient,7.201941744374873e-07,Methanethiol
53,22-0,h2[e],recipient,0.1981276581948265,Hydrogen
54,23-0,for[e],recipient,8.859978669666509,Formate
55,23-0,ac[e],recipient,28.208076287860674,acetate
56,23-0,ppa[e],recipient,0.02843796291170859,propionate
57,23-0,but[e],recipient,1.7625683823585334,butyrate
58,23-0,M03134[e],recipient,0.0,Valeric Acid
59,23-0,so3[e],recipient,0.12586714446639835,Sulfite
60,23-0,tsul[e],recipient,0.17669784734256191,thiosulfate(2-)
61,23-0,ch4s[e],recipient,0.0,Methanethiol
62,23-0,h2[e],recipient,3.820041635904572,Hydrogen
63,24-0,for[e],recipient,24.03210775699156,Formate
64,24-0,ac[e],recipient,41.90115698667503,acetate
65,24-0,ppa[e],recipient,0.008484677983683105,propionate
66,24-0,but[e],recipient,5.133513038979868,butyrate
67,24-0,M03134[e],recipient,0.0,Valeric Acid
68,24-0,so3[e],recipient,0.13771262634330125,Sulfite
69,24-0,tsul[e],recipient,0.14143183017941466,thiosulfate(2-)
70,24-0,ch4s[e],recipient,0.00019100541690311178,Methanethiol
71,24-0,h2[e],recipient,1.440282024528516,Hydrogen
72,25-0,for[e],recipient,13.806962364933193,Formate
73,25-0,ac[e],recipient,35.521316006227664,acetate
74,25-0,ppa[e],recipient,0.40847197727004525,propionate
75,25-0,but[e],recipient,4.389126315216397,butyrate
76,25-0,M03134[e],recipient,0.0,Valeric Acid
77,25-0,so3[e],recipient,0.0010301552779606016,Sulfite
78,25-0,tsul[e],recipient,0.060426185133989486,thiosulfate(2-)
79,25-0,ch4s[e],recipient,0.00026501997293597237,Methanethiol
80,25-0,h2[e],recipient,0.5387810405510586,Hydrogen
81,3-0,for[e],recipient,15.204222359528126,Formate
82,3-0,ac[e],recipient,42.33537391652558,acetate
83,3-0,ppa[e],recipient,0.02513919620791262,propionate
84,3-0,but[e],recipient,4.454673754763442,butyrate
85,3-0,M03134[e],recipient,0.0,Valeric Acid
86,3-0,so3[e],recipient,0.004951108982035432,Sulfite
87,3-0,tsul[e],recipient,0.02793042400402724,thiosulfate(2-)
88,3-0,ch4s[e],recipient,0.0006183160714352071,Methanethiol
89,3-0,h2[e],recipient,0.5860927692541166,Hydrogen
90,30-0,for[e],recipient,13.751095803597726,Formate
91,30-0,ac[e],recipient,38.41560993638114,acetate
92,30-0,ppa[e],recipient,0.20518398539902005,propionate
93,30-0,but[e],recipient,3.0890213885016156,butyrate
94,30-0,M03134[e],recipient,0.00010282647889405254,Valeric Acid
95,30-0,so3[e],recipient,0.20827652836922889,Sulfite
96,30-0,tsul[e],recipient,0.43846134082494403,thiosulfate(2-)
97,30-0,ch4s[e],recipient,0.00011346558671534039,Methanethiol
98,30-0,h2[e],recipient,1.8061126027891972,Hydrogen
99,31-0,for[e],recipient,14.376080760443424,Formate
100,31-0,ac[e],recipient,37.03400306104983,acetate
101,31-0,ppa[e],recipient,0.16056469971354576,propionate
102,31-0,but[e],recipient,2.436832715064633,butyrate
103,31-0,M03134[e],recipient,9.575104014183313e-06,Valeric Acid
104,31-0,so3[e],recipient,0.08740660977366989,Sulfite
105,31-0,tsul[e],recipient,0.33497331453888124,thiosulfate(2-)
106,31-0,ch4s[e],recipient,3.0000475823126882e-05,Methanethiol
107,31-0,h2[e],recipient,6.409436277624389,Hydrogen
108,32-0,for[e],recipient,10.159516609808975,Formate
109,32-0,ac[e],recipient,33.79505106757544,acetate
110,32-0,ppa[e],recipient,1.4812521420312983,propionate
111,32-0,but[e],recipient,2.5806905508484217,butyrate
112,32-0,M03134[e],recipient,0.0,Valeric Acid
113,32-0,so3[e],recipient,0.031228427351920877,Sulfite
114,32-0,tsul[e],recipient,0.11087698576183784,thiosulfate(2-)
115,32-0,ch4s[e],recipient,0.02251472164083786,Methanethiol
116,32-0,h2[e],recipient,0.6261868686485812,Hydrogen
117,33-0,for[e],recipient,9.174767816249338,Formate
118,33-0,ac[e],recipient,36.018826800926576,acetate
119,33-0,ppa[e],recipient,0.037466486350758166,propionate
120,33-0,but[e],recipient,2.1102794379776095,butyrate
121,33-0,M03134[e],recipient,8.081212380154379e-05,Valeric Acid
122,33-0,so3[e],recipient,0.020110811253221263,Sulfite
123,33-0,tsul[e],recipient,0.08252578462081736,thiosulfate(2-)
124,33-0,ch4s[e],recipient,0.0007382558359362643,Methanethiol
125,33-0,h2[e],recipient,0.504291545766355,Hydrogen
126,36-0,for[e],recipient,10.647670915168806,Formate
127,36-0,ac[e],recipient,39.17194393932099,acetate
128,36-0,ppa[e],recipient,1.9023618573645988,propionate
129,36-0,but[e],recipient,3.7156568668040912,butyrate
130,36-0,M03134[e],recipient,0.001180511239142363,Valeric Acid
131,36-0,so3[e],recipient,0.17522224830627153,Sulfite
132,36-0,tsul[e],recipient,0.45821118372517894,thiosulfate(2-)
133,36-0,ch4s[e],recipient,0.016158470814733036,Methanethiol
