taxon,average_distance,comparison,sample_id
1121130,7.422875007733931,D-2 vs 11-0,D-2
1002367,5.554028675901563,D-2 vs 11-0,D-2
1121101,5.241973054300172,D-2 vs 11-0,D-2
1121100,11.581203084335005,D-2 vs 11-0,D-2
1121115,9.77853586320587,D-2 vs 11-0,D-2
1160721,14.861898445541618,D-2 vs 11-0,D-2
1203611,11.597259613200412,D-2 vs 11-0,D-2
1256908,6.393804209162321,D-2 vs 11-0,D-2
1408437,5.065222843047335,D-2 vs 11-0,D-2
1437612,6.233907015725957,D-2 vs 11-0,D-2
1203606,3.481150774637835,D-2 vs 11-0,D-2
1322347,2.133488769732178,D-2 vs 11-0,D-2
347253,4.4444419063529015,D-2 vs 11-0,D-2
367928,4.717877974867676,D-2 vs 11-0,D-2
411459,5.916105211814985,D-2 vs 11-0,D-2
226186,9.628636806798948,D-2 vs 11-0,D-2
411461,13.92802624732505,D-2 vs 11-0,D-2
411460,5.891625506630635,D-2 vs 11-0,D-2
411462,8.877199262341708,D-2 vs 11-0,D-2
411467,5.9854512138193865,D-2 vs 11-0,D-2
411463,9.108519258966648,D-2 vs 11-0,D-2
411473,3.9333483824850672,D-2 vs 11-0,D-2
411471,8.139756589244922,D-2 vs 11-0,D-2
411468,3.2912721047133813,D-2 vs 11-0,D-2
411469,5.043010314233639,D-2 vs 11-0,D-2
411474,2.0937858701679035,D-2 vs 11-0,D-2
411475,13.914777340618764,D-2 vs 11-0,D-2
411470,5.449741265290945,D-2 vs 11-0,D-2
411477,16.920828728086075,D-2 vs 11-0,D-2
411476,13.887839495185911,D-2 vs 11-0,D-2
411479,13.300514733142183,D-2 vs 11-0,D-2
411483,11.002791382166007,D-2 vs 11-0,D-2
411485,10.230972865343105,D-2 vs 11-0,D-2
411484,6.169867801610784,D-2 vs 11-0,D-2
411486,8.497064060141922,D-2 vs 11-0,D-2
411901,10.670809373311126,D-2 vs 11-0,D-2
411487,3.865134293830123,D-2 vs 11-0,D-2
411489,6.220801218366001,D-2 vs 11-0,D-2
411902,7.148314348570092,D-2 vs 11-0,D-2
411903,6.220897141909836,D-2 vs 11-0,D-2
428125,6.310141792072504,D-2 vs 11-0,D-2
428127,2.2338594181597284,D-2 vs 11-0,D-2
445970,12.807218683299201,D-2 vs 11-0,D-2
445972,5.506932141184173,D-2 vs 11-0,D-2
428128,3.460789703388447,D-2 vs 11-0,D-2
445973,4.49427573781349,D-2 vs 11-0,D-2
435590,19.52380251810801,D-2 vs 11-0,D-2
449673,14.462151861408463,D-2 vs 11-0,D-2
457387,8.31624320154327,D-2 vs 11-0,D-2
457388,7.7604568945095265,D-2 vs 11-0,D-2
457390,9.822485666741908,D-2 vs 11-0,D-2
457391,10.213484778027873,D-2 vs 11-0,D-2
457393,12.491971875229787,D-2 vs 11-0,D-2
457412,7.596218283595204,D-2 vs 11-0,D-2
457394,14.170069924521684,D-2 vs 11-0,D-2
457395,9.620832412829767,D-2 vs 11-0,D-2
