taxon,D-15Fryst_vs_16-0,D-6Fresk_vs_78-0,D-14_vs_24-0,D-3_vs_22-0,D-2_vs_71-0,D-4_vs_37-0,D-10_vs_12-0,D-14_vs_19-0,D-5Fryst_vs_36-0,D-4_vs_56-0,D-9Fryst_vs_3-0,D-5Fryst_vs_12-0,D-6Fresk_vs_24-0,D-14_vs_78-0,D-10_vs_36-0,D-14_vs_3-0,D-15Fryst_vs_77-0,D-15Fryst_vs_32-0,D-6Fresk_vs_19-0,D-9Fryst_vs_23-0,D-15Fryst_vs_75-0,D-15Fryst_vs_30-0,D-15Fryst_vs_88-0,D-13U_vs_22-0,D-2_vs_12-0,D-4_vs_54-0,D-4_vs_11-0,D-7Fryst_vs_78-0,D-10_vs_71-0,D-9Fryst_vs_59-0,D-4_vs_70-0,D-2_vs_36-0,D-5Fryst_vs_71-0,D-12_vs_18-0,D-7Fryst_vs_19-0,D-7Fryst_vs_24-0,D-12_vs_25-0,D-5Fryst_vs_88-0,D-5Fryst_vs_75-0,D-5Fryst_vs_30-0,D-12_vs_59-0,D-2_vs_32-0,D-2_vs_77-0,D-4_vs_89-0,D-4_vs_31-0,D-3_vs_19-0,D-3_vs_24-0,D-14_vs_22-0,D-4_vs_90-0,D-15Fryst_vs_71-0,D-9Fryst_vs_25-0,D-10_vs_88-0,D-9Fryst_vs_18-0,D-6Fresk_vs_22-0,D-10_vs_30-0,D-10_vs_75-0,D-3_vs_78-0,D-2_vs_16-0,D-13U_vs_19-0,D-10_vs_32-0,D-10_vs_77-0,D-5Fryst_vs_16-0,D-15Fryst_vs_36-0,D-13U_vs_24-0,D-7Fryst_vs_22-0,D-15Fryst_vs_12-0,D-12_vs_23-0,D-5Fryst_vs_77-0,D-5Fryst_vs_32-0,D-10_vs_16-0,D-13U_vs_78-0,D-2_vs_88-0,D-4_vs_33-0,D-2_vs_30-0,D-2_vs_75-0,D-10_vs_70-0,D-5Fryst_vs_11-0,D-5Fryst_vs_54-0,D-12_vs_78-0,D-2_vs_56-0,D-15Fryst_vs_31-0,D-15Fryst_vs_89-0,D-13U_vs_23-0,D-7Fryst_vs_25-0,D-12_vs_24-0,D-5Fryst_vs_70-0,D-12_vs_19-0,D-10_vs_54-0,D-10_vs_11-0,D-7Fryst_vs_18-0,D-15Fryst_vs_90-0,D-3_vs_59-0,D-4_vs_71-0,D-2_vs_37-0,D-10_vs_56-0,D-14_vs_18-0,D-5Fryst_vs_37-0,D-2_vs_70-0,D-4_vs_36-0,D-3_vs_23-0,D-14_vs_25-0,D-15Fryst_vs_33-0,D-9Fryst_vs_22-0,D-6Fresk_vs_18-0,D-5Fryst_vs_56-0,D-6Fresk_vs_25-0,D-13U_vs_59-0,D-10_vs_37-0,D-4_vs_12-0,D-2_vs_54-0,D-2_vs_11-0,D-15Fryst_vs_37-0,D-6Fresk_vs_59-0,D-6Fresk_vs_3-0,D-13U_vs_25-0,D-2_vs_90-0,D-2_vs_3-0,D-4_vs_16-0,D-13U_vs_18-0,D-10_vs_33-0,D-2_vs_89-0,D-4_vs_32-0,D-4_vs_77-0,D-2_vs_31-0,D-5Fryst_vs_33-0,D-14_vs_59-0,D-7Fryst_vs_23-0,D-15Fryst_vs_56-0,D-12_vs_22-0,D-10_vs_90-0,D-15Fryst_vs_11-0,D-15Fryst_vs_54-0,D-14_vs_23-0,D-3_vs_25-0,D-2_vs_33-0,D-4_vs_88-0,D-3_vs_18-0,D-4_vs_30-0,D-4_vs_75-0,D-7Fryst_vs_59-0,D-5Fryst_vs_89-0,D-5Fryst_vs_31-0,D-9Fryst_vs_78-0,D-7Fryst_vs_3-0,D-10_vs_89-0,D-6Fresk_vs_23-0,D-9Fryst_vs_19-0,D-10_vs_31-0,D-5Fryst_vs_90-0,D-15Fryst_vs_70-0,D-9Fryst_vs_24-0,D-9Fryst_vs_90-0,D-6Fresk_vs_12-0,D-5Fryst_vs_24-0,D-4_vs_25-0,D-4_vs_18-0,D-3_vs_30-0,D-3_vs_75-0,D-3_vs_88-0,D-12_vs_70-0,D-5Fryst_vs_19-0,D-14_vs_36-0,D-10_vs_78-0,D-7Fryst_vs_71-0,D-13U_vs_16-0,D-13U_vs_77-0,D-10_vs_19-0,D-13U_vs_32-0,D-9Fryst_vs_89-0,D-14_vs_12-0,D-12_vs_11-0,D-9Fryst_vs_31-0,D-12_vs_54-0,D-5Fryst_vs_78-0,D-6Fresk_vs_36-0,D-10_vs_24-0,D-6Fresk_vs_71-0,D-3_vs_16-0,D-2_vs_78-0,D-9Fryst_vs_33-0,D-12_vs_56-0,D-13U_vs_88-0,D-15Fryst_vs_22-0,D-13U_vs_75-0,D-13U_vs_30-0,D-7Fryst_vs_12-0,D-2_vs_19-0,D-3_vs_32-0,D-3_vs_77-0,D-7Fryst_vs_36-0,D-14_vs_71-0,D-12_vs_37-0,D-10_vs_3-0,D-2_vs_24-0,D-14_vs_88-0,D-9Fryst_vs_56-0,D-12_vs_33-0,D-7Fryst_vs_77-0,D-7Fryst_vs_32-0,D-14_vs_75-0,D-14_vs_30-0,D-3_vs_36-0,D-4_vs_23-0,D-5Fryst_vs_22-0,D-6Fresk_vs_75-0,D-6Fresk_vs_30-0,D-10_vs_22-0,D-6Fresk_vs_88-0,D-13U_vs_71-0,D-7Fryst_vs_16-0,D-9Fryst_vs_37-0,D-3_vs_12-0,D-9Fryst_vs_70-0,D-15Fryst_vs_24-0,D-13U_vs_36-0,D-14_vs_16-0,D-13U_vs_3-0,D-12_vs_90-0,D-6Fresk_vs_77-0,D-6Fresk_vs_32-0,D-15Fryst_vs_19-0,D-2_vs_22-0,D-6Fresk_vs_16-0,D-15Fryst_vs_78-0,D-14_vs_77-0,D-14_vs_32-0,D-7Fryst_vs_75-0,D-13U_vs_12-0,D-7Fryst_vs_30-0,D-12_vs_89-0,D-9Fryst_vs_54-0,D-12_vs_31-0,D-9Fryst_vs_11-0,D-7Fryst_vs_88-0,D-4_vs_3-0,D-5Fryst_vs_3-0,D-4_vs_59-0,D-3_vs_71-0,D-9Fryst_vs_32-0,D-9Fryst_vs_77-0,D-12_vs_12-0,D-13U_vs_89-0,D-15Fryst_vs_23-0,D-3_vs_3-0,D-14_vs_11-0,D-14_vs_54-0,D-13U_vs_31-0,D-7Fryst_vs_56-0,D-6Fresk_vs_70-0,D-2_vs_25-0,D-6Fresk_vs_11-0,D-6Fresk_vs_54-0,D-13U_vs_90-0,D-7Fryst_vs_37-0,D-14_vs_70-0,D-9Fryst_vs_16-0,D-12_vs_36-0,D-2_vs_18-0,D-3_vs_33-0,D-12_vs_71-0,D-5Fryst_vs_18-0,D-14_vs_37-0,D-7Fryst_vs_70-0,D-3_vs_31-0,D-4_vs_19-0,D-3_vs_89-0,D-4_vs_24-0,D-12_vs_3-0,D-15Fryst_vs_3-0,D-6Fresk_vs_56-0,D-5Fryst_vs_25-0,D-3_vs_90-0,D-6Fresk_vs_37-0,D-15Fryst_vs_59-0,D-10_vs_25-0,D-7Fryst_vs_11-0,D-10_vs_18-0,D-13U_vs_33-0,D-7Fryst_vs_54-0,D-9Fryst_vs_88-0,D-14_vs_56-0,D-9Fryst_vs_30-0,D-9Fryst_vs_75-0,D-4_vs_78-0,D-6Fresk_vs_33-0,D-15Fryst_vs_18-0,D-7Fryst_vs_90-0,D-3_vs_54-0,D-3_vs_11-0,D-9Fryst_vs_71-0,D-15Fryst_vs_25-0,D-13U_vs_37-0,D-10_vs_59-0,D-3_vs_70-0,D-14_vs_33-0,D-7Fryst_vs_31-0,D-13U_vs_56-0,D-12_vs_88-0,D-12_vs_75-0,D-12_vs_30-0,D-7Fryst_vs_89-0,D-5Fryst_vs_59-0,D-2_vs_23-0,D-5Fryst_vs_23-0,D-4_vs_22-0,D-3_vs_37-0,D-2_vs_59-0,D-14_vs_89-0,D-9Fryst_vs_12-0,D-12_vs_77-0,D-12_vs_32-0,D-7Fryst_vs_33-0,D-13U_vs_11-0,D-13U_vs_54-0,D-6Fresk_vs_90-0,D-14_vs_31-0,D-3_vs_56-0,D-13U_vs_70-0,D-9Fryst_vs_36-0,D-12_vs_16-0,D-6Fresk_vs_31-0,D-14_vs_90-0,D-10_vs_23-0,D-6Fresk_vs_89-0
213810,1982,0,1209,2069,0,0,0,2822,0,0,0,0,0,1776,0,6471,847,12847,0,0,1792,2950,2409,1835,0,0,0,0,0,0,0,0,0,271,0,0,12325,0,0,0,3623,0,0,0,0,1271,848,2126,0,607,0,0,0,0,0,0,1658,0,2271,0,0,0,7988,845,0,7662,4189,0,0,0,1852,0,0,0,0,0,0,0,1956,0,2077,2209,2625,0,1752,0,1565,0,0,0,2722,3989,0,0,0,158,0,0,0,3670,10885,2788,0,0,0,0,5041,0,0,0,0,4160,0,0,5092,0,0,0,86,0,0,0,0,0,0,2442,0,1261,2028,0,3369,12954,3332,10902,0,0,157,0,0,0,0,0,0,0,0,0,0,0,0,5649,0,0,0,0,0,0,2990,2239,2344,5740,0,5818,0,0,2611,327,0,12563,0,3827,3211,0,11938,0,0,0,0,1931,0,0,2044,1491,2028,3490,5264,0,0,12285,918,0,402,11010,0,0,1872,0,3336,0,0,4946,5566,6519,0,0,0,0,0,0,349,0,0,9628,0,1393,3862,3283,6152,3027,0,0,2912,0,0,2023,330,12309,0,9635,0,2010,0,2865,0,0,0,0,0,422,0,0,8185,2296,3706,2751,1787,9134,1984,0,0,0,0,0,2510,0,9171,0,6948,0,2124,1127,0,6974,0,1970,0,1634,0,3000,2657,0,0,3975,0,4554,0,0,0,1594,0,0,5131,0,0,0,0,208,0,9630,3205,0,16713,8535,0,5054,2442,0,3897,1883,2164,3388,0,0,0,0,0,3458,0,3941,0,809,12112,0,3125,4908,0,5089,1992,9237,0,2825,0,4475,0,0
226186,6877,34213,35328,42844,11933,30910,16582,12556,20664,54057,20979,8220,29908,18593,17142,30358,15717,8075,28963,26506,12369,18591,38876,14498,7373,20436,27242,18565,17124,12428,9044,15274,9044,29611,5415,9680,19044,35816,5925,8200,10753,13690,10315,10665,23339,33757,35487,9545,72617,18176,18126,39736,25040,39483,15800,16705,35425,8505,17155,19124,18550,12217,20309,28458,12404,19479,24356,16006,13623,12168,18234,35074,29924,21678,11606,17360,23223,19908,30081,54591,28796,15812,26422,8579,30801,18253,8390,21381,9110,7575,10595,17584,9161,24781,48342,33281,29939,18363,18027,22301,21522,10681,32113,32031,69117,29065,9319,15028,7769,21945,26897,10094,19236,13947,15215,47856,26674,10435,25349,21277,10479,14932,9262,25044,49025,3723,28670,35111,10998,58239,4201,20835,36244,23761,25687,30477,32522,8265,5553,3073,9696,22107,24577,10879,18798,22201,53411,24642,73545,13297,30100,55218,17565,29544,14877,28010,30044,27947,39315,16425,26883,17532,33020,7424,8417,13304,18165,15410,14079,8335,6909,22118,27517,28210,21239,30061,16528,27013,26900,51675,47931,39286,14848,6194,16836,6472,14236,17859,35858,20727,14753,11464,15020,31424,32779,41076,63948,6298,15045,9990,27796,20779,26314,32487,27785,29915,31218,36811,9781,1669,25376,18985,18395,30483,16913,5192,18029,25621,27954,17506,21824,27243,15657,34819,10754,11834,5882,22994,6643,7425,19672,21959,22452,39632,12544,20983,4088,14691,13655,20813,17673,17646,21017,14565,9583,22847,21847,32143,18134,16132,11377,23618,54759,18329,21063,16861,21350,26935,24590,19332,28815,13954,10077,33099,18229,26646,32703,17904,13906,53859,16887,64052,19667,8196,17208,7453,27867,19253,30132,37181,52767,22331,11016,28404,25826,24859,64007,19693,11431,5292,18901,22647,12261,22898,31631,9966,50327,37446,17125,18909,9042,3941,25762,26447,24894,20687,4197,13724,7566,17170,12613,18061,6442,16283,21490,24729,42253,15823,19441,5227,39225,46134,20443,16035
347253,9527,0,781,9239,6917,2113,9368,1235,1873,826,0,15716,0,1297,8036,1665,16892,9477,0,0,5318,1150,414,0,14046,259,1108,960,5558,0,2735,1691,7731,12017,332,780,779,183,5578,1124,3033,3000,15063,1802,3600,464,2184,3246,3193,6127,0,645,0,0,1227,11895,1905,2715,0,5422,21145,3667,5826,0,2965,10978,817,17829,4056,16180,0,247,1898,846,4777,4954,1127,253,1456,808,2566,2386,0,790,1566,1982,1436,1658,30481,25438,3495,7236,7714,2781,1354,33490,2380,2976,1794,2477,782,9164,0,0,902,0,0,29334,14241,350,546,21992,0,0,0,3360,2340,2719,0,20597,1466,3053,16874,3235,1362,7693,1013,1536,3178,10050,19150,1670,1081,3972,2304,170,26091,1341,7593,8814,1723,3341,0,1367,10851,0,0,15883,3383,1921,0,0,0,976,745,25293,1035,3907,507,1116,310,1655,2293,4854,0,0,2149,0,0,15475,1498,0,738,1538,0,7581,0,2616,1579,0,1072,0,24493,0,0,15475,555,10485,18265,1649,7250,1813,2653,1104,300,0,1457,23908,3560,4054,767,3377,914,3076,0,0,24607,0,0,1353,0,16618,0,1874,0,4603,0,2099,0,0,2160,3031,0,2309,6664,4899,4514,0,600,1385,0,2901,0,570,2748,1797,3488,5094,0,0,10837,0,8814,1841,754,480,0,607,0,807,0,0,0,872,1928,0,2153,32259,5468,3817,18311,3728,1901,2395,306,2579,724,1736,1862,0,747,12197,0,8406,6329,1578,24381,0,1015,0,783,0,0,985,0,24007,3517,1874,4064,0,7617,0,13575,1851,2186,4710,0,421,2229,895,2818,3730,1321,871,3110,3128,3860,1951,0,3891,2163,1140,0,0,0,2583,1280,0,0,2821,0,4328,11346,0
411459,19206,55433,19682,28381,31225,42268,26023,16475,34995,61330,15830,29058,15899,52504,14524,15830,35879,28340,37708,9569,35126,11397,14567,24795,36436,13083,39060,61858,10559,16575,15633,25855,20644,9524,19410,7640,17252,9892,22491,15851,17777,30016,48934,10035,13410,8801,24718,23730,8578,13368,25724,8598,13388,26969,10628,34596,55705,17458,20678,21773,35116,18899,23564,25730,20272,36444,9032,32136,27004,7417,45139,10856,13278,25598,45291,15885,28450,14238,44587,67996,11789,56663,7297,8898,23963,27055,11397,11435,24915,9648,8063,21491,17324,36075,58451,8555,42201,31882,20200,9220,27433,19811,26156,9180,83773,14904,20954,7577,29058,17910,8088,20337,20305,20036,15683,9939,49385,20714,10883,7004,21705,27108,31295,16283,14583,15324,7933,64829,27421,6372,28520,19645,10958,16368,17009,10595,6231,16706,22984,33612,11793,13521,54113,14722,22032,7415,14332,7211,6739,17747,20352,8800,29207,16707,24536,10776,17336,36809,9189,16438,15513,19074,57458,12640,59191,66877,7511,27634,14021,26415,28861,10543,12066,54113,18848,23986,13208,6703,45027,16648,59838,9778,27759,61823,23889,16560,23577,23549,29281,15977,15328,71937,24453,48263,7169,74821,31757,44753,30656,38972,27545,22488,10357,26441,32449,9985,21758,9410,33654,10625,40645,31111,26540,15272,17441,21401,31905,4537,40766,29563,39522,24918,53438,52989,21519,27004,18913,55861,9204,10759,16185,12847,8030,8737,14824,24708,15863,9628,27157,31071,46053,13929,7108,31646,4481,12729,9575,63134,12721,24624,27283,20044,8043,22471,33107,21319,22260,12104,8227,15220,13136,43711,12217,7505,12120,11552,18093,28537,25026,76130,25382,6800,76816,19734,15226,18790,4138,15351,16282,6291,87960,26433,33072,53678,18929,9270,7196,14283,40289,17572,15181,40551,15964,13916,17735,6885,122604,5799,33941,13850,13540,15548,7790,10958,26525,8760,15461,13514,25136,38683,23250,8787,28909,9753,8248,11877,38007,25164,14971,52937,11356,9455,8992,18529
411461,15476,47602,16979,33942,20416,52046,22444,34574,25678,50503,20285,13744,30099,38643,35640,30733,89932,59861,51307,8118,40193,43961,23193,23771,12908,24286,53713,40906,39220,27866,40365,21240,27898,36677,34400,13443,38098,15792,26417,23074,29327,45862,116072,30527,22247,21179,25265,27597,9575,21324,17121,28581,18651,42336,36526,40081,38773,33474,24765,56658,106970,41639,37771,19497,28273,22617,21175,49339,26855,16259,33005,61239,24494,31965,32711,56040,52291,25113,47831,108240,35804,43211,6007,16947,33608,48703,23234,46204,32988,38240,13682,27457,27296,41713,43179,45999,51963,52820,21688,5578,16813,27106,23110,26867,51609,32591,30005,24950,13744,12996,10819,26749,31337,17759,20037,39542,24591,38412,38187,26473,95806,27285,52963,31861,32850,32947,7014,52920,42052,13365,35454,39232,7354,21899,47148,15504,39144,22303,22796,43573,31002,21929,46365,13959,46942,20069,16099,31547,9325,47126,15166,6445,22873,24080,24833,37931,26449,23006,9415,56774,31624,16906,61514,14665,68844,111538,39516,44238,12637,14289,35454,8586,43908,38980,30135,55420,22380,15424,65384,15171,49498,10746,41829,27228,27254,14418,77783,41146,97029,20532,28604,57338,18756,13309,8632,33642,62381,73614,48573,34818,29243,20940,7418,27599,49907,36310,54073,24708,26137,27685,31736,18494,18339,30832,22604,40117,17808,15117,91242,57675,52565,54549,47180,47370,64198,43705,19787,20614,16736,39337,15177,37662,12777,11455,18670,27598,37213,23623,24052,46821,22200,23484,16641,23043,10388,15525,7477,58508,41328,20057,40093,33797,6171,70064,47999,19736,37975,49416,16014,35117,38075,56363,32652,8872,28955,25921,27496,19510,21168,73351,24833,8443,58296,36842,37527,29746,54768,30229,18761,3948,63648,12920,13572,39940,26502,26118,5790,27801,52190,15995,29497,76575,41624,43899,36359,6021,74756,23276,39041,36668,14952,40767,38196,7677,27599,29914,36197,33492,8514,96380,57684,30491,52010,16529,10769,8597,58048,49569,8481,47265,35682,9553,21497,32150
411462,129099,120358,64855,216771,37887,39014,40636,27964,48007,34219,34710,34133,42488,109214,32247,49121,66991,78180,38413,7302,95579,78217,26165,117349,21365,30245,50286,94244,40779,51932,23279,34297,46968,227388,34268,81321,37132,8802,29172,24251,43756,56434,56056,21054,36012,9632,66399,127258,4457,117603,49993,14615,72898,118168,26142,30856,149489,66141,29951,51323,52138,77126,76567,64660,132838,54066,30450,69160,94162,35978,125512,9977,27262,43418,35748,25165,35895,30008,111815,39807,39763,105384,21202,32989,50145,45321,21484,25963,131492,74231,40491,44695,49908,59652,40659,147314,70230,33438,39126,12204,40461,67786,135623,154550,61073,36997,38584,34482,27593,26148,27942,67691,38370,43615,32766,6543,31370,48287,146610,7362,19026,76819,41852,18496,26894,57899,6940,115836,137684,12714,123666,76229,34340,35520,24271,11497,113626,28467,21656,47879,17563,19838,90577,19796,25597,35319,22438,14889,4774,106478,54051,6732,45780,76388,41348,70089,22007,26936,15100,34111,20076,38581,131077,48112,82641,75747,9561,52270,28390,26992,110389,16831,37223,90577,43402,46095,47171,42980,102508,25201,62139,20866,112197,54904,49147,35252,20351,45271,51213,48665,32825,159938,20652,62833,17598,55438,24409,89937,92545,47766,42128,26911,8133,135513,35915,57421,220043,33328,34009,130524,55825,39247,50384,137981,48993,109253,28131,18308,69736,50571,66424,164267,212960,128030,60668,47090,29911,46028,24599,14058,29610,21434,15260,8091,21971,30002,36656,48802,99559,66076,40301,21287,44048,22029,39597,29644,17016,59751,52104,37641,142247,38002,18153,65473,38458,94205,47994,122389,6383,33740,71613,104340,31586,17988,22352,15485,126695,51570,68646,78951,48312,10907,131306,82339,32005,52556,113712,25742,36776,8050,48647,43021,49806,106725,15776,96649,6519,17537,131621,41996,66316,74341,53732,27128,26181,8918,33258,18076,46675,50115,24914,45589,9268,6686,152404,43164,36117,25156,28860,84864,48866,24285,120586,28589,31663,8675,48313,51216,38758,176558,16455,22652,8561,21619
411463,8372,10912,22303,22303,29432,51055,15671,18593,24143,19285,16944,6616,13962,11228,15661,16502,15224,79913,27895,16102,26168,10521,27446,13648,7165,14027,10620,11468,13712,18003,5497,17521,22303,10183,9737,15364,29972,24113,29120,8178,14606,98220,9219,23971,31151,7729,20914,18746,12035,16181,24917,26141,2496,21943,8812,24504,12437,16950,10004,106231,17145,22766,18327,23380,20413,21090,21801,8622,173189,10360,9200,13036,24481,9981,30674,8390,13594,11001,11196,12889,15145,26159,21262,15310,22931,11787,10910,17447,19892,3002,8660,11800,29931,33330,10407,2636,40371,10376,23250,24669,24055,4696,16939,9483,13778,10906,17127,14656,6744,12727,4024,13740,11012,7573,30613,4224,7470,19201,7735,5454,14342,158931,9367,8980,17001,15604,14427,10423,18190,6750,26394,22223,14427,27151,14860,34372,19093,6142,38954,16411,28713,19397,12025,12091,23872,4499,20543,11692,9674,10471,21830,9392,10253,22293,27922,9109,15778,64977,40505,16580,14194,24705,13332,18748,18083,16939,13017,157272,42087,7776,17225,18253,16065,12109,12350,13512,13731,13576,9570,14654,17841,36509,33209,48208,9298,7015,15517,131239,15119,26896,21075,77109,7179,17553,26221,11585,20597,12265,168436,38029,12447,26542,24581,20702,23257,9772,27117,15184,21741,23121,55788,8850,11485,17502,20748,22577,26433,28091,16111,101965,39600,20846,26930,13073,12615,180950,29844,10384,9270,29136,12087,34589,13954,25313,22683,14097,16284,21629,126929,13247,8977,35782,4028,28240,9132,12308,23717,9244,13192,16194,14740,16072,17736,36109,12195,19406,23214,3459,28897,26610,3093,37215,8646,24741,10569,43052,30273,17895,7527,13672,23364,36139,65797,15909,14500,14368,5994,22861,16218,23194,14150,12164,43069,9808,5602,4979,4897,14219,11732,23387,17247,46965,13221,18004,14650,12918,13833,47023,34639,15879,17672,14405,5128,12581,15898,35540,12944,35989,6120,14791,107254,16089,11994,14542,4640,17536,14381,9504,25223,24830,12040,9892,3961,4906
411467,15326,14598,9374,17221,4306,22681,22240,17765,15269,22617,11332,12644,14256,14249,22335,7664,6043,20530,48089,13884,20578,20242,28931,13337,21393,22287,37313,11598,3660,18761,20799,21849,8021,1802,42403,10902,13094,20587,12129,29975,16919,26550,4854,9299,34415,14935,11952,12978,14523,3905,15419,29446,1523,21269,19349,20038,17179,34809,21354,20394,5889,26726,23479,8994,11847,22320,12562,5721,25262,16076,14604,21967,25147,45629,29132,16340,22475,19290,16638,27315,21814,30481,16569,12663,11578,22367,9998,25421,75419,2339,4869,26259,4874,21212,15919,905,25267,31183,20838,14334,20134,6769,16020,1583,21855,21342,24135,7508,18990,23557,15105,8263,13719,10931,15486,21624,7634,40011,952,7231,10660,21495,5076,34725,22458,24100,13815,16373,16256,51398,75856,25422,17231,17235,22245,26329,1150,32158,14331,37137,9099,26998,16191,6407,35685,15874,17600,24371,9369,20042,10980,9424,20906,11575,15961,1316,19610,20687,28548,17856,12578,22892,16345,3159,56041,3787,14717,24874,10637,22016,75227,19211,20417,15163,11868,13199,5106,11539,15963,22061,14820,20487,16825,22251,36510,14402,17982,18889,6288,19599,3309,35978,8020,10334,20557,15176,37295,6077,26641,29138,46349,24329,16827,15330,10686,15365,15520,15929,3268,29517,22988,22870,26589,14584,17655,33157,10767,4461,7179,22138,48565,14244,44286,16688,3922,24694,15281,28391,25625,4696,15250,21199,9477,20425,9610,13783,29050,3791,27560,4926,15879,15643,14033,9230,14337,23255,20396,13875,17846,22333,65855,15056,13512,21198,21359,30140,13758,929,6714,3101,1612,20537,16752,23254,14057,9138,12568,9975,8498,11670,19493,35712,34982,25139,18591,24268,1132,13377,22313,8894,25563,37489,22407,13623,5603,1415,8239,22869,73169,5624,19286,29977,25729,21012,22185,14634,18558,19925,15514,19298,10118,24030,17265,16306,12652,7484,24073,19004,14076,8406,13873,18139,75200,16968,3264,30739,16490,21719,6529,65053,17691,20411,13665,3283
411468,4716,0,0,3015,11758,0,4786,0,3642,0,0,2621,0,0,4388,0,17664,2730,0,0,5046,4364,7210,2921,2226,0,0,0,6852,0,0,3001,10212,6394,0,0,7542,5284,10825,7293,5308,2923,23662,0,0,7180,5209,0,0,8235,0,6424,0,0,4010,4601,5995,14997,8964,2500,8498,13641,5648,4903,0,5912,2292,20301,2949,3301,4559,5040,0,13686,5827,4405,16035,4611,5036,9659,4084,6542,1394,0,6085,7049,2428,6541,19316,0,2514,2861,0,5638,4694,0,4893,9526,0,2231,0,4892,0,0,9230,0,6319,3220,0,6757,4310,3998,0,0,5225,4521,4540,0,4605,3998,5497,0,0,3709,6276,0,0,6253,3698,3517,56312,12397,0,5915,6976,0,5216,0,0,0,5238,4265,0,0,7304,0,0,3878,3243,5206,0,0,0,6350,0,0,6302,5921,7614,4206,5690,0,4672,0,15992,12866,7410,2676,0,0,53510,0,17194,3871,0,4835,0,3515,4219,0,7588,4488,2345,6487,6474,0,8541,2605,14468,0,0,3890,1862,6733,0,0,4652,0,0,0,0,5237,0,1692,0,0,1699,0,10816,0,0,5838,0,6987,4551,0,4685,4077,0,0,8105,2825,0,6578,0,0,0,5076,0,3513,0,5135,0,0,0,1603,0,7077,0,0,4665,7391,2142,4029,0,0,3077,0,0,6200,0,0,2239,0,0,0,6357,6748,3401,10464,6627,0,0,2897,0,5243,0,3584,3571,0,7649,3657,0,3105,8763,0,4549,4024,0,0,0,0,0,0,0,6756,0,13816,38470,0,7052,4461,3079,4449,0,0,7617,4219,4690,4150,0,4709,2159,1955,0,3327,10370,0,0,14829,2599,0,27432,13496,0,0,4487,6142,0,78927,0,0,2334,0
411469,21782,27257,0,27997,24691,0,60752,0,0,0,20070,0,20204,0,10993,0,18476,24935,10166,5020,38495,34686,18314,0,165259,0,0,22672,16842,27970,0,19636,0,67673,3848,35359,10469,0,0,0,27917,32636,43165,0,0,4043,35649,0,0,18440,15097,10259,88661,28632,30635,43053,27434,90174,0,20937,24224,0,14547,0,20330,74262,8457,0,0,10165,0,7608,0,39069,43667,15073,0,0,25576,138551,16753,108656,0,8568,25399,0,9935,11503,38905,77690,17297,29783,0,16275,72462,0,0,30944,0,7781,0,16333,9102,57747,0,11560,0,9799,0,9139,3730,26408,25238,11701,0,8877,33876,0,0,4316,15828,0,0,15278,0,0,8258,75420,29058,9488,58238,15193,0,17714,15998,0,42345,0,0,32093,0,0,26155,11922,32499,9261,3395,10346,0,22439,33247,6069,77515,0,0,0,31196,37405,9222,23966,0,0,27199,12589,0,0,4025,0,9091,0,62238,7623,11484,0,13256,22946,17700,12674,23457,7194,71639,0,26608,0,0,87580,3833,24588,30708,17999,0,71038,12024,52276,0,60065,14691,18619,27225,0,0,20412,0,0,33270,15976,30780,11956,0,49909,17312,110286,36036,23243,0,0,0,7902,22991,24313,18013,24992,107341,33876,0,0,24002,0,21183,14836,7147,8093,5870,7571,0,0,0,17320,23390,20845,74183,0,19329,13052,0,0,0,73601,15084,21791,60737,12293,0,15990,0,39773,14783,119546,6359,18108,0,0,6184,7830,0,17309,0,10888,11074,74786,0,8019,81262,31665,16437,21784,79726,0,12057,4686,0,16535,15873,0,10883,61137,7846,9505,55817,19349,13545,0,30720,15414,0,9251,0,10311,33131,16028,13294,0,9961,0,0,11636,36367,0,85930,27752,21230,8994,0,0,9628,0,105933,0,10678,108983,6819,0,8967,10261
