MicrobeID	NCBI Taxonomy ID	Strain
Abiotrophia_defectiva_ATCC_49176	592010	Abiotrophia defectiva ATCC 49176
Achromobacter_xylosoxidans_A8	762376	Achromobacter xylosoxidans A8
Achromobacter_xylosoxidans_NBRC_15126	1216976	Achromobacter xylosoxidans NBRC 15126 = ATCC 27061
Acidaminococcus_fermentans_DSM_20731	591001	Acidaminococcus fermentans DSM 20731
Acidaminococcus_intestini_RyC_MR95	568816	Acidaminococcus intestini RyC-MR95
Acidaminococcus_sp_D21	904	Acidaminococcus
Acinetobacter_baumannii_AB0057	480119	Acinetobacter baumannii AB0057
Acinetobacter_calcoaceticus_PHEA_2	871585	Acinetobacter pittii PHEA-2
Acinetobacter_haemolyticus_NIPH_261	1217986	Acinetobacter haemolyticus NIPH 261
Acinetobacter_johnsonii_SH046	575586	Acinetobacter johnsonii SH046
Acinetobacter_junii_SH205	575587	Acinetobacter junii SH205
Acinetobacter_lwoffii_WJ10621	1046625	Acinetobacter lwoffii WJ10621
Acinetobacter_pittii_ANC_4052	1217689	Acinetobacter pittii ANC 4052
Acinetobacter_radioresistens_NIPH_2130	1217674	Acinetobacter radioresistens NIPH 2130
Actinobacillus_pleuropneumoniae_L20	416269	Actinobacillus pleuropneumoniae serovar 5b str. L20
Actinomyces_cardiffensis_F0333	888050	Schaalia cardiffensis F0333
Actinomyces_georgiae_DSM_6843	1120942	Schaalia georgiae DSM 6843
Actinomyces_graevenitzii_C83	435830	Actinomyces graevenitzii C83
Actinomyces_naeslundii_str_Howell_279	1115803	Actinomyces naeslundii str. Howell 279
Actinomyces_odontolyticus_ATCC_17982	411466	Schaalia odontolytica ATCC 17982
Actinomyces_oris_K20	871541	Actinomyces oris K20
Actinomyces_turicensis_ACS_279_V_Col4	883077	Schaalia turicensis ACS-279-V-Col4
Actinomyces_urogenitalis_DSM_15434	525246	Actinomyces urogenitalis DSM 15434
Actinomyces_viscosus_C505	562973	Actinomyces viscosus C505
Adlercreutzia_equolifaciens_DSM_19450	1384484	Adlercreutzia equolifaciens DSM 19450
Aerococcus_viridans_ATCC_11563	655812	Aerococcus viridans ATCC 11563 = CCUG 4311
Aeromonas_caviae_Ae398	878320	Aeromonas caviae Ae398
Aeromonas_hydrophila_subsp_hydrophila_ATCC_7966	380703	Aeromonas hydrophila subsp. hydrophila ATCC 7966
Aeromonas_jandaei_Riv2	1458276	Aeromonas jandaei Riv2
Aeromonas_media_WS	1208104	Aeromonas media WS
Aeromonas_veronii_B565	998088	Aeromonas veronii B565
Afipia_birgiae_34632	1197906	Afipia birgiae 34632
Aggregatibacter_aphrophilus_NJ8700	634176	Aggregatibacter aphrophilus NJ8700
Agrobacterium_tumefaciens_F2	1050720	Agrobacterium tumefaciens F2
Akkermansia_muciniphila_ATCC_BAA_835	349741	Akkermansia muciniphila ATCC BAA-835
Alcaligenes_faecalis_subsp_faecalis_NBRC_13111	1218102	Alcaligenes faecalis subsp. faecalis NBRC 13111
Alcaligenes_faecalis_subsp_faecalis_NCIB_8687	1156918	Alcaligenes faecalis subsp. faecalis NCIB 8687
Alistipes_finegoldii_DSM_17242	679935	Alistipes finegoldii DSM 17242
Alistipes_indistinctus_YIT_12060	742725	Alistipes indistinctus YIT 12060
Alistipes_onderdonkii_DSM_19147	1203611	Alistipes onderdonkii WAL 8169 = DSM 19147
Alistipes_putredinis_DSM_17216	445970	Alistipes putredinis DSM 17216
Alistipes_shahii_WAL_8301	717959	Alistipes shahii WAL 8301
Alloprevotella_tannerae_ATCC_51259	626522	Alloprevotella tannerae ATCC 51259
Anaerobaculum_hydrogeniformans_OS1_ATCC_BAA_1850	649746	Acetomicrobium hydrogeniformans
Anaerobiospirillum_succiniciproducens_DSM_640001	1120988	Anaerobiospirillum succiniciproducens DSM 6400
Anaerococcus_hydrogenalis_DSM_7454	561177	Anaerococcus hydrogenalis DSM 7454
Anaerococcus_prevotii_DSM_20548	525919	Anaerococcus prevotii DSM 20548
Anaerococcus_vaginalis_ATCC_51170	655811	Anaerococcus vaginalis ATCC 51170
Anaerofustis_stercorihominis_DSM_17244	445971	Anaerofustis stercorihominis DSM 17244
Anaerostipes_caccae_DSM_14662	411490	Anaerostipes caccae L1-92
Anaerostipes_hadrus_DSM_3319	649757	Anaerostipes hadrus DSM 3319
Anaerostipes_sp_3_2_56FAA	207244	Anaerostipes
Anaerotruncus_colihominis_DSM_17241	445972	Anaerotruncus colihominis DSM 17241
Aneurinibacillus_aneurinilyticus_ATCC_12856	649747	Aneurinibacillus aneurinilyticus ATCC 12856
Arcanobacterium_haemolyticum_DSM_20595	644284	Arcanobacterium haemolyticum DSM 20595
Arcobacter_butzleri_RM4018	367737	Aliarcobacter butzleri RM4018
Arthrobacter_castelli_DSM_16402	1121019	Arthrobacter castelli DSM 16402
Atopobium_minutum_10063974	997872	Atopobium minutum 10063974
Atopobium_parvulum_DSM_20469	521095	Lancefieldella parvulum DSM 20469
Atopobium_rimae_ATCC_49626	553184	Lancefieldella rimae ATCC 49626
Bacillus_altitudinis_41KF2b	1178544	Bacillus altitudinis 41KF2b
Bacillus_amyloliquefaciens_DSM7	692420	Bacillus amyloliquefaciens DSM 7 = ATCC 23350
Bacillus_amyloliquefaciens_subsp_amyloliquefaciens_DC_12	1198291	Bacillus amyloliquefaciens DC-12
Bacillus_atrophaeus_ATCC_49822_1	743710	Bacillus atrophaeus ATCC 49822-1
Bacillus_cereus_AH187_F4810_72	405534	Bacillus cereus AH187
Bacillus_cereus_G9842	405531	Bacillus cereus G9842
Bacillus_clausii_KSM_K16	66692	Alkalihalobacillus clausii KSM-K16
Bacillus_endophyticus_2102	1196029	Priestia endophytica 2102
Bacillus_firmus_DS1	1307436	Cytobacillus firmus DS1
Bacillus_flexus_27Col1_1E	1292043	Priestia flexa 27Col1.1E
Bacillus_fordii_DSM_16014	1121090	Siminovitchia fordii DSM 16014 = CIP 108821
Bacillus_halodurans_C_125	272558	Alkalihalobacillus halodurans C-125
Bacillus_infantis_NRRL_B_14911	1367477	Bacillus infantis NRRL B-14911
Bacillus_licheniformis_ATCC_14580	279010	Bacillus licheniformis DSM 13 = ATCC 14580
Bacillus_megaterium_DSM319	592022	Priestia megaterium DSM 319
Bacillus_mojavensis_RO_H_1	1051501	Bacillus mojavensis RO-H-1 = KCTC 3706
Bacillus_mycoides_DSM_2048	526997	Bacillus mycoides DSM 2048
Bacillus_nealsonii_AAU1	1202533	Niallia nealsonii AAU1
Bacillus_pseudofirmus_OF4	398511	Alkalihalophilus pseudofirmus OF4
Bacillus_pumilus_ATCC_7061	536229	Bacillus pumilus ATCC 7061
Bacillus_sonorensis_L12	1274524	Bacillus sonorensis L12
Bacillus_subtilis_str_168	224308	Bacillus subtilis subsp. subtilis str. 168
Bacillus_thuringiensis_serovar_thuringiensis_str_T01001	527025	Bacillus thuringiensis serovar thuringiensis str. T01001
Bacillus_timonensis_10403023	1033734	Bacillus timonensis
Bacillus_vallismortis_DV1_F_3	1051502	Bacillus vallismortis DV1-F-3
Bacteroides_caccae_ATCC_43185	411901	Bacteroides caccae ATCC 43185
Bacteroides_cellulosilyticus_DSM_14838	537012	Bacteroides cellulosilyticus DSM 14838
Bacteroides_clarus_YIT_12056	762984	Bacteroides clarus YIT 12056
Bacteroides_coprocola_M16_DSM_17136	470145	Phocaeicola coprocola DSM 17136
Bacteroides_coprophilus_DSM_18228	547042	Phocaeicola coprophilus DSM 18228 = JCM 13818
Bacteroides_dorei_DSM_17855	483217	Phocaeicola dorei DSM 17855
Bacteroides_eggerthii_1_2_48FAA	665953	Bacteroides eggerthii 1_2_48FAA
Bacteroides_eggerthii_DSM_20697	483216	Bacteroides eggerthii DSM 20697
Bacteroides_faecis_MAJ27	1077285	Bacteroides faecis MAJ27
Bacteroides_finegoldii_DSM_17565	483215	Bacteroides finegoldii DSM 17565
Bacteroides_fluxus_YIT_12057	763034	Bacteroides fluxus YIT 12057
Bacteroides_fragilis_3_1_12	457424	Bacteroides fragilis 3_1_12
Bacteroides_fragilis_638R	862962	Bacteroides fragilis 638R
Bacteroides_fragilis_NCTC_9343	272559	Bacteroides fragilis NCTC 9343
Bacteroides_fragilis_YCH46	295405	Bacteroides fragilis YCH46
Bacteroides_graminisolvens_DSM_19988	1121097	Bacteroides graminisolvens DSM 19988 = JCM 15093
Bacteroides_intestinalis_341_DSM_17393	471870	Bacteroides intestinalis DSM 17393
Bacteroides_nordii_CL02T12C05	997884	Bacteroides nordii CL02T12C05
Bacteroides_oleiciplenus_YIT_12058	742727	Bacteroides oleiciplenus YIT 12058
Bacteroides_ovatus_ATCC_8483	411476	Bacteroides ovatus ATCC 8483
Bacteroides_ovatus_SD_CC_2a	702444	Bacteroides xylanisolvens SD CC 2a
Bacteroides_ovatus_SD_CMC_3f	702443	Bacteroides ovatus SD CMC 3f
Bacteroides_pectinophilus_ATCC_43243	483218	[Bacteroides] pectinophilus ATCC 43243
Bacteroides_plebeius_M12_DSM_17135	484018	Phocaeicola plebeius DSM 17135
Bacteroides_pyogenes_DSM20611	1121100	Bacteroides pyogenes DSM 20611 = JCM 6294
Bacteroides_salyersiae_WAL_10018	1121101	Bacteroides salyersiae WAL 10018 = DSM 18765 = JCM 12988
Bacteroides_sp_1_1_14	469585	Bacteroides sp. 1_1_14
Bacteroides_sp_1_1_30	457387	Bacteroides sp. 1_1_30
Bacteroides_sp_1_1_6	818	Bacteroides thetaiotaomicron
Bacteroides_sp_2_1_22	469588	Bacteroides sp. 2_1_22
Bacteroides_sp_2_1_33B	469589	Bacteroides sp. 2_1_33B
Bacteroides_sp_2_1_7	457388	Parabacteroides sp. 2_1_7
Bacteroides_sp_2_2_4	469590	Bacteroides sp. 2_2_4
Bacteroides_sp_20_3	469591	Parabacteroides sp. 20_3
Bacteroides_sp_3_1_19	469592	Bacteroides sp. 3_1_19
Bacteroides_sp_3_1_23	457390	Bacteroides sp. 3_1_23
Bacteroides_sp_3_1_33FAA	457391	Bacteroides sp. 3_1_33FAA
Bacteroides_sp_3_1_40A	469593	Bacteroides sp. 3_1_40A
Bacteroides_sp_3_2_5	457392	Bacteroides sp. 3_2_5
Bacteroides_sp_4_1_36	457393	Bacteroides sp. 4_1_36
Bacteroides_sp_4_3_47FAA	457394	Bacteroides sp. 4_3_47FAA
Bacteroides_sp_9_1_42FAA	457395	Bacteroides sp. 9_1_42FAA
Bacteroides_sp_D1	556258	Bacteroides sp. D1
Bacteroides_sp_D2	556259	Bacteroides sp. D2
Bacteroides_sp_D20	585543	Bacteroides sp. D20
Bacteroides_sp_D22	585544	Bacteroides sp. D22
Bacteroides_stercoris_ATCC_43183	449673	Bacteroides stercoris ATCC 43183
Bacteroides_thetaiotaomicron_VPI_5482	226186	Bacteroides thetaiotaomicron VPI-5482
Bacteroides_timonensis_AP1	1203465	Bacteroides timonensis AP1
Bacteroides_uniformis_ATCC_8492	411479	Bacteroides uniformis ATCC 8492
Bacteroides_ureolyticus_DSM_20703	1121102	Campylobacter ureolyticus DSM 20703
Bacteroides_vulgatus_ATCC_8482	435590	Phocaeicola vulgatus ATCC 8482
Bacteroides_xylanisolvens_SD_CC_1b	702447	Bacteroides xylanisolvens SD CC 1b
Bacteroides_xylanisolvens_XB1A	657309	Bacteroides xylanisolvens XB1A
Barnesiella_intestinihominis_YIT_11860	742726	Barnesiella intestinihominis YIT 11860
Bartonella_quintana_Toulouse	283165	Bartonella quintana str. Toulouse
Bifidobacterium_adolescentis_ATCC_15703	367928	Bifidobacterium adolescentis ATCC 15703
Bifidobacterium_angulatum_DSM_20098	518635	Bifidobacterium angulatum DSM 20098 = JCM 7096
Bifidobacterium_animalis_lactis_AD011	442563	Bifidobacterium animalis subsp. lactis AD011
Bifidobacterium_animalis_lactis_BB_12	552531	Bifidobacterium animalis subsp. lactis BB-12
Bifidobacterium_animalis_lactis_Bi_07	742729	Bifidobacterium animalis subsp. lactis Bi-07
Bifidobacterium_animalis_lactis_Bl_04_ATCC_SD5219	580050	Bifidobacterium animalis subsp. lactis Bl-04
Bifidobacterium_animalis_lactis_CNCM_I_2494	1042403	Bifidobacterium animalis subsp. lactis CNCM I-2494
Bifidobacterium_animalis_lactis_DSM_10140	555970	Bifidobacterium animalis subsp. lactis DSM 10140
Bifidobacterium_animalis_lactis_V9	573236	Bifidobacterium animalis subsp. lactis V9
Bifidobacterium_bifidum_BGN4	484020	Bifidobacterium bifidum BGN4
Bifidobacterium_bifidum_NCIMB_41171	398513	Bifidobacterium bifidum NCIMB 41171
Bifidobacterium_bifidum_PRL2010	702459	Bifidobacterium bifidum PRL2010
Bifidobacterium_bifidum_S17	883062	Bifidobacterium bifidum S17
Bifidobacterium_boum_DSM_20432	1410645	Bifidobacterium boum DSM 20432
Bifidobacterium_breve_HPH0326	1203540	Bifidobacterium breve HPH0326
Bifidobacterium_breve_UCC2003_NCIMB8807	326426	Bifidobacterium breve UCC2003
Bifidobacterium_catenulatum_DSM_16992	566552	Bifidobacterium catenulatum DSM 16992 = JCM 1194 = LMG 11043
Bifidobacterium_coryneforme_DSM_20216	1437599	Bifidobacterium coryneforme DSM 20216
Bifidobacterium_dentium_ATCC_27678	473819	Bifidobacterium dentium ATCC 27678
Bifidobacterium_gallicum_DSM_20093	561180	Bifidobacterium gallicum DSM 20093 = LMG 11596
Bifidobacterium_kashiwanohense_DSM_21854	1150460	Bifidobacterium catenulatum subsp. kashiwanohense JCM 15439 = DSM 21854
Bifidobacterium_longum_DJO10A	205913	Bifidobacterium longum DJO10A
Bifidobacterium_longum_E18	1322347	Bifidobacterium longum E18
Bifidobacterium_longum_infantis_157F_NC	565040	Bifidobacterium longum subsp. infantis 157F
Bifidobacterium_longum_infantis_ATCC_15697	391904	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088
Bifidobacterium_longum_longum_ATCC_55813	548480	Bifidobacterium longum subsp. longum ATCC 55813
Bifidobacterium_longum_longum_BBMN68	890402	Bifidobacterium longum subsp. longum BBMN68
Bifidobacterium_longum_longum_CCUG_52486	537937	Bifidobacterium longum subsp. infantis CCUG 52486
Bifidobacterium_longum_longum_JCM_1217	565042	Bifidobacterium longum subsp. longum JCM 1217
Bifidobacterium_longum_longum_JDM301	759350	Bifidobacterium longum subsp. longum JDM301
Bifidobacterium_longum_NCC2705	206672	Bifidobacterium longum NCC2705
Bifidobacterium_mongoliense_DSM_21395	1437603	Bifidobacterium mongoliense DSM 21395
Bifidobacterium_pseudocatenulatum_DSM_20438	547043	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505
Bifidobacterium_pseudolongum_subsp_Pseudolongum_DSM_20099	1437595	Bifidobacterium pseudolongum subsp. pseudolongum DSM 20099
Bifidobacterium_ruminantium_DSM_6489	1410647	Bifidobacterium ruminantium DSM 6489
Bifidobacterium_scardovii_JCM_12489	1150461	Bifidobacterium scardovii JCM 12489 = DSM 13734
Bifidobacterium_stercoris_DSM_24849	1437612	Bifidobacterium stercoris JCM 15918
Bifidobacterium_thermacidophilum_subsp_thermacidophilum_DSM_15837	1121111	Bifidobacterium thermacidophilum subsp. thermacidophilum DSM 15837
Bifidobacterium_thermophilum_RBL67	1254439	Bifidobacterium thermophilum RBL67
Bilophila_wadsworthia_3_1_6	563192	Bilophila wadsworthia 3_1_6
