taxon_id,ERR12542609,ERR12542610,ERR12542611,ERR12542612,ERR12542613,ERR12542614,ERR12542615,ERR12542616,ERR12542617,ERR12542618,ERR12542619,ERR12542620,ERR12542621,ERR12542622,ERR12542623,ERR12542624,ERR12542625,ERR12542626,ERR12542627,ERR12542628,ERR12542629,ERR12542630,ERR12542631,ERR12542632,ERR12542633,ERR12542634,ERR12542635,ERR12542636,ERR12542637,ERR12542638,ERR12542639,ERR12542640,ERR12542641,ERR12542642,ERR12542643,ERR12542644,ERR12542645,ERR12542646,ERR12542647,ERR12542648,ERR12542649,ERR12542650,ERR12542651,ERR12542652,ERR12542653,ERR12542654,ERR12542655,ERR12542656,ERR12542657,ERR12542658,ERR12542659,ERR12542660,ERR12542661,ERR12542662,ERR12542663
329,49,9,5,38,15,7,29,8,39,22,24,33,145,31,52,59,46,16,52,39,23,81,20,99,20,36,10,46,106,36,28,2,3,29,18,75,124,12,18,135,41,41,14,127,81,5,10,2,10,15,3,11,20,7,31
561,257,6848,29687,232,44,128,647,46080,1163,827,7921,19397,768994,650,385,2953,121,481840,5,137,23,390391,342870,187,162,34476,2034,10371,117006,31672,110,375,28188,48,57,20,45,89,3,1311,1852,34780,6482,681,4565,22,17538,14,16,74,248,299,379,10,169
818,4562,5081,16247,3724,1244,21377,172522,9779,11594,5564,421,973,46942,821,20643,13594,19211,17538,14868,7377,28406,33620,14813,121715,18964,72783,21521,87799,28293,22322,74746,16477,22817,27160,58308,2042,7286,9184,779,21661,1344,10576,8484,2736,7007,1602,12832,1989,35356,22425,50688,32174,30448,54208,41798
904,2008,1057,728,1680,957,1185,1361,823,1881,2092,2797,16543,11639,5672,45185,2462,3070,1556,1207,3274,389,1850,865,1359,908,1249,495,989,1983,648,431,180,130,458,173,648,47381,13481,11538,117843,3323,67350,25965,64033,65787,4201,21560,6921,6103,10509,658,689,573,38385,996
1246,8,1,2,2,4,5,51,41,14,15,3,3,7,15,13,532,355,163,22,36,4,2,10,14,9,1,3,3,404,47,33,2,1,12,0,1,3,0,2,12,2,116,1,20,10,469,96,31,44,26,48,81,13,15,38
1350,6,1,2,3,8,11,18,53,32,10,6,4,3,25,8,99,112,2858,25,57,4,8,36,20,12,69,13,8,8,27,15,3,1,6,2,22,0,4,1,11405,0,41,6,21,14,120,3265,20,36,35,13,14,16,66,211
1547,94,126,944,72,52,2299,1045,3047,1580,1482,353,415,581,1310,165,1381,212,548,173,121,658,639,949,358,756,2233,1001,1046,2013,626,321,830,1411,310,372,111,100,498,122,568,28,286,78,153,474,2762,2635,2964,2564,1300,528,1045,706,1169,1033
28112,243,93,33,155,81,3,17,17,11,5,3,8,155,22,62,86,167,108,33,51,34,78,24,112,20,80,81,76,218,150,49,6,13,29,17,75,107,42,6,132,14,50,27,51,50,5,29,4,22,33,65,27,88,5,58
66692,37,7,7,25,52,9,4,23,11,10,20,16,24,12,13,16,46,30,71,14,20,5,3,17,24,6,11,13,23,19,6,4,2,9,1,31,8,7,1,22,31,38,12,27,36,13,11,3,57,51,9,11,25,0,84
85962,1,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,0,3,1,1,0,0,3,0,0,0,3,0,0,0,0,0,2
176280,9,1,3,5,10,6,0,6,19,3,17,3,8,26,0,10,5,3,11,0,11,3,1,4,2,15,7,3,47,2,15,4,5,10,2,15,15,3,1,19,7,3,5,8,2,62,59,4,22,26,4,6,11,10,19
190304,8,1,1,4,10,1,3,2,2,0,1,0,5,0,1,10,9,11,15,4,8,3,6,1,4,470,1,7,10,5,18,9,0,28,2,15,3,5,1,6,16,27,18,14,26,65,48,2,38,30,17,17,27,15,65
192222,0,1,0,1,7,0,2,0,1,1,0,0,0,0,0,3,3,0,4,1,0,0,0,3,0,1,2,1,3,1,2,0,0,1,0,3,0,2,0,1,0,1,0,1,3,3,2,0,5,2,0,1,1,1,4
195103,152,20,28,81,83,21,30,132,61,54,74,141,115,110,62,3687,186,267,156,29,35,68,57,65,41,174,146,217,137,99,140,49,15,178,27,375,23,217,7,74,67,157,172,128,111,168,478,93,239,340,61,174,113,306,279
203267,4,0,0,1,2,1,0,1,1,2,0,0,1,3,0,1,0,2,3,1,0,0,0,1,0,0,0,2,3,1,0,0,0,1,2,3,0,0,0,4,4,1,0,4,3,0,2,1,0,0,0,1,1,1,1
205913,25421,2739,7884,14686,4304,613,2377,23334,7903,7414,206,35456,363,73596,17493,6947,11891,11156,200,33322,174,816,201,7020,1489,21709,24394,23449,137217,38312,4615,4370,5544,5129,958,6426,937,1113,8793,8003,3286,7298,3573,12341,4297,8757,10681,13688,23760,1830,1062,6280,2421,5779,39606
205921,13,4,15,12,3,13,21,35,75,23,11,9,16,17,4,306,199,61,9,42,18,14,4,60,42,39,35,18,9,8,24,9,15,10,3,0,9,5,1,48,3,24,5,18,16,91,34,10,36,23,71,125,22,12,28
205922,38,7,6,23,23,2,11,24,13,14,12,10,33,20,10,23,31,12,39,12,5,24,12,23,1,19,2,16,27,14,31,2,2,20,7,25,30,9,1,43,8,12,7,40,34,12,15,2,31,15,0,11,8,5,20
206672,23549,2168,6649,13587,4259,143,1948,21347,6556,6378,296,31970,614,66555,15554,7538,11516,10592,56,33707,188,722,153,6069,1207,16360,18550,20427,106137,30139,4902,4565,5779,7859,1165,6141,907,1154,8625,7640,3566,8081,3930,13260,4511,9742,12355,16390,25171,1956,894,5236,1997,5766,37729
207244,570,220,517,490,156,1484,1101,1747,1121,875,817,1354,840,1500,646,1515,1032,876,652,371,766,548,549,1062,738,887,575,1459,750,427,559,599,452,809,342,124,366,657,176,1083,106,815,340,786,654,631,1380,149,1476,780,1069,1779,875,837,1031
213810,7503,2668,2214,5404,2657,1719,10762,12965,8024,3842,7978,5701,11679,12294,7305,10338,5598,13525,9195,1064,759,1049,1877,1928,1293,4679,11651,7353,14058,3243,2597,1923,2608,1767,649,612,1324,2537,425,4724,1266,10060,1305,8941,7365,841,1368,249,2189,1097,17444,29425,16899,3022,9772
218495,12,3,3,3,2,5,1,13,22,6,6,7,6,14,3,1010,778,66,7,18,9,5,2,14,7,11,18,3,6,3,9,5,15,10,2,5,9,0,0,28,4,8,5,10,4,44,11,5,20,10,18,46,11,5,13
220668,8,3,8,6,1,21,13,14,11,17,5,20,11,11,3,36,37,21,23,142,4,3,4,13,3,36,14,53,11,16,8,5,4,9,1,8,14,5,7,17,9,68,5,28,15,50,217,12,11,5,17,51,10,0,44
223926,8,1,8,25,30,1,2,2,1,2,0,0,1,0,1,2,4,3,2,2,4,4,0,5,0,4,0,0,4,0,0,1,0,2,1,6,0,2,1,3,0,1,3,5,3,1,0,1,5,0,4,2,2,1,3
224308,10,4,6,8,3,5,10,9,10,6,9,8,13,5,2,9,11,17,20,8,9,3,7,24,6,9,3,22,5,6,5,3,4,11,1,4,13,2,3,7,7,19,7,11,16,3,14,1,12,4,0,18,13,6,12
226185,70,34,48,56,17,126,245,612,94,88,140,142,217,186,121,2328,1735,5258,54,481,226,145,206,168,81,198,54,319,34,29,104,42,50,106,37,12,31,101,17,4835,27,145,53,183,124,693,3046,322,2650,1830,268,352,301,389,247
226186,18341,23265,24626,25569,5536,18067,168495,9284,10667,5302,333,659,32296,749,14085,7189,12551,10230,12650,3028,17711,19910,6124,65120,8260,62861,10492,86019,5568,8053,73839,17833,23679,26111,58635,3409,9403,4494,440,8880,1945,14652,13426,8428,13532,1115,10188,1560,25830,13748,47722,31946,30914,42804,30095
234621,33,2,2,8,3,3,4,9,11,11,13,23,23,41,21,11,19,12,37,10,2,1,19,14,1,11,1,7,25,10,12,0,1,19,1516,7,13,2,2,44,10,9,7,25,23,4,7,4,3,6,2,8,3,4,9
242619,133,70,12,106,39,3,27,20,13,10,5,9,49,12,37,78,188,104,27,41,133,132,36,242,67,105,112,97,142,139,54,13,12,35,9,61,114,33,7,116,6,19,7,17,36,2,7,1,8,5,71,36,98,10,47
244366,11,24,154,26,11,5,11,318,19,7,12,30,56,30,16,12,15,99,418,10,6,21,21,11,4,17,94,35,25,15,13,10,3,14,3,30,25,3,5,28,6,33,7,20572,57,3,12,4,14,11,293,8,10,4,6
246198,1041,793,363,1408,289,13,19,33,16,7,6,4,25,17,11,163,405,224,533,122,193,208,58,376,97,348,537,270,1011,633,233,302,479,91,613,1819,4455,869,153,475,5,141,296,175,311,24,12,2,24,11,19,13,19,8,128
246201,6,11,9,4,25,79,280,213,222,71,18,18,101,62,21,734,432,334,39,223,295,106,116,656,263,169,172,107,12,159,13,111,42,94,41,10,22,67,31,916,6,214,61,291,40,917,448,162,323,759,614,723,204,77,80
257314,4,0,2,9,1,9,6,6,1,5,9,17,15,11,2,8,10,2,10,4,5,3,5,1,7,7,3,4,8,2,10,3,3,9,2,8,2,1,6,32,2,14,5,10,5,8,9,9,22,12,2,6,17,1,21
262727,10,6,8,17,57,0,10,10,3,5,0,0,10,0,0,19,93,57,0,50,3,6,8,4,19,60,22,165,3,5,4,1,0,4,1,4,4,3,0,8,0,0,1,6,2,2,11,5,6,4,65,202,82,8,12
264199,255,114,1056,121,34,2347,168,33977,1603,258,196,668,323,2935,181,606807,392209,146895,107,36328,1566,278,772,1014,874,1974,2658,1490,94,276,203,473,180,3147,143,287,2519,146,71,1669,39,3067,56,681,2139,337560,16046,7424,37979,35639,121140,204400,6201,9041,2817
264731,3212,2672,1025,5316,1004,25,54,28,29,22,11,12,89,18,53,373,853,453,663,417,68,134,51,380,82,724,1147,557,2218,1654,759,1114,1399,268,1438,1176,3413,816,89,451,16,429,949,1694,2278,16,24,3,59,43,59,60,63,15,43
265669,4,0,3,6,5,2,2,0,3,4,3,8,4,3,3,4,3,14,12,1,2,1,3,4,1,5,1,3,9,3,3,2,1,4,0,5,2,2,2,7,4,10,2,10,4,3,1,1,6,1,3,3,6,0,8
266835,43,5,5,35,11,1,26,24,61,36,43,79,120,70,57,50,44,11,118,15,16,25,23,57,5,15,5,40,109,28,37,7,6,24,20,44,53,34,12,81,40,45,8,110,100,2,6,4,20,12,10,14,33,8,45
