id,abundance,sample_id,kingdom,phylum,class,order,family,genus,species
AZC3J_13,6712.7233134113385,C,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,Clostridium,
AZC3J_18,38895.09213980606,C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides thetaiotaomicron
AZC3J_28,7394.595593006168,C,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila
AZC3J_3,6130.21968742079,C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-56,
AZC3J_34,19947.542176657713,C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,GCA_002490665.1
AZC3J_46,7214.373641473334,C,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,Clostridium,
AZC3J_51,10951.968095941733,C,Bacteria,Firmicutes_A,Clostridia,4C28d-15,CAG-727,UBA11940,
AZC3J_55,10941.094389943244,C,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii
AZC3J_64,6184.2120003225,C,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,Ruminococcaceae,UBA1394,
AZC3J_73,8094.316437975714,C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,
AZC3J_74,17833.14908943022,C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-485,CAG-485 sp1
AZC3J_76,47954.5223220873,C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,UBA7173,GCA_001689485.1
AZC3J_79,8901.531209731931,C,Bacteria,Firmicutes,Bacilli,RF39,UBA660,CAG-582,
AZC3J_80,31662.4316597668,C,Bacteria,Firmicutes_A,Clostridia,Oscillospirales,DTU089,Eubacterium_R,
AZC3J_81,6149.476774438846,C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,COE1,GCF_000403335.2
AZC3J_87,71284.51703224909,C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,GCA_002428825.1
AZC3J_91,6648.933840061774,C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,28-4,
AZC3J_99,8637.829390317016,C,Bacteria,Firmicutes_A,Clostridia,TANB77,CAG-508,CAG-273,
AZC5T_104,6330.942718160121,C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-303,
AZC5T_107,52891.49357782485,C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,UBA7173,GCA_001689485.1
AZC5T_109,8892.90901952529,C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Prevotella,Prevotella sp21
AZC5T_119,6552.468409837052,C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-56,
AZC5T_120,7947.779595839705,C,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus intestinalis
AZC5T_122,8066.070370950544,C,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,CAG-1031,
AZC5T_14,13346.754443159112,C,Bacteria,Firmicutes_A,Clostridia,Lachnospirales,Lachnospiraceae,CAG-65,
